"Country","Quarter","S_mean_tw","y_t_pct","F_CP_above_3","F_CP_loans","F_CP_guar_adj","F_DI","F_H","debt_dR"
"AUS","Q4.2019",0,-0.282231954869116,0,0,0,0,0,0.334479524413091
"AUS","Q1.2020",23.0654761904762,-1.07796790107596,8.48440881024051,0.752035006728207,1.00271334230428,1.19202562133132,0,0.726695571598881
"AUS","Q2.2020",51.860119047619,-8.30762211086111,0.188510108353204,0,0.00451221004036924,0.0340922536383454,0,4.67454702903402
"AUS","Q3.2020",49.6050824175824,-5.68089819253432,0.01782824322617,0,0,0.040108533692171,0,4.11156584938844
"AUS","Q4.2020",46.7834249084249,-3.08686069948452,1.07315395460115,0.00501356671152138,0,1.51540067422445,0.226061723022499,-0.369037025854595
"AUS","Q1.2021",43.4237637362637,-1.54227479740552,0.0703654087962025,0,0,0.23338153042132,0,0.0544776722351514
"AUS","Q2.2021",37.1050824175824,-1.35058012670238,0,0,0,1.03530152592916,0.360976803229539,-2.21674246330294
"AUS","Q3.2021",47.9510073260073,-3.61445868836841,0.337362904018274,0,0,0.0350949669806496,0,0.673685621156686
"AUS","Q4.2021",46.324616529304,-0.744445907750114,0,0,0,0,0,0.461207050330195
"AUS","Q1.2022",28.7151568223443,-0.365339989907966,0,0,0,0,0,-0.693941151015025
"AUS","Q2.2022",18.1447836538462,-0.0218112285005581,0,0,0,0,0,-3.60130057968907
"AUS","Q3.2022",0.469471153846154,-0.149640713715138,0,0,0,0,0,-0.273859896264902
"AUS","Q4.2022",0,0.0964370068879578,0,0,0,0,0,-0.203343343848445
"AUT","Q4.2019",0,-1.4562287706597,0,0,0,0,0,-0.773333419372605
"AUT","Q1.2020",35.625,-3.06341430416197,1.16046589218655,0,1.75600113387502,0,1.50398988543347,1.95620780500469
"AUT","Q2.2020",58.4821428571428,-15.7356933914895,3.58841591137713,0,0.16205381892618,0.911088645445811,0,6.35736720650804
"AUT","Q3.2020",30.540293040293,-6.52765852275028,0.0514257474920541,0.0376285957258932,0,0,0,-3.80070698830433
"AUT","Q4.2020",60.1648351648352,-8.37917808222789,0.957271475266724,0.250857304839288,0,0.0915629162663402,0,3.61323811280438
"AUT","Q1.2021",72.5389194139194,-9.75101839637165,0.946233753853795,0,0.0752571914517865,0,0.176754056989763,3.64454310365069
"AUT","Q2.2021",57.7392445054945,-6.09705708273847,0.354963086347593,0,0,0,0,1.44389927059672
"AUT","Q3.2021",41.3780580357143,-3.64322655917424,0.544360351501256,0,0,0.184881833666555,0,-0.854939013177685
"AUT","Q4.2021",40.6629120879121,-3.87882889907359,0,0,0,0,0,-0.845232946649091
"AUT","Q1.2022",39.2939583333333,-4.09752440305642,0,0,0,0,0,1.99109890655041
"AUT","Q2.2022",27.3351648351648,-1.81436386149205,0,0,0,0,0,1.152556134126
"AUT","Q3.2022",25,-2.30115242529974,0,0,0,0,0,-1.25203754384685
"AUT","Q4.2022",25,-2.83831912699925,0,0,0,0,0,-1.75739154010209
"BEL","Q4.2019",0,0.62916119730768,0,0,0,0,0,-1.9428031297897
"BEL","Q1.2020",33.4523809523809,-2.43524762089809,1.56844869315239,0,0,0.721857594301236,0.0247312850756207,3.48572570544134
"BEL","Q2.2020",68.4065934065934,-13.4717436658636,0.910808839849076,0,10.8501392086727,0.0507308411807603,0.00211378504919835,4.20045267527888
"BEL","Q3.2020",47.6762820512821,-3.97619525122789,2.57814134880624,0.21708572455267,0.0845514019679339,0.211378504919835,0.935349884270269,-3.1080380493575
"BEL","Q4.2020",52.3466117216117,-4.85134709730173,0,0,0,0,0,1.21690002453352
"BEL","Q1.2021",57.3031135531135,-3.74434800488771,0,0,0,0,0,2.19926411818268
"BEL","Q2.2021",52.6327838827839,-2.7166756760687,0,0,0,0.443894860331653,0,1.2482917063403
"BEL","Q3.2021",39.41163003663,-1.26054908080352,0.0214612596045108,0,0,0,0,-0.0440570486357643
"BEL","Q4.2021",24.9869734432234,-0.80453775659491,0.516270860416204,0.00207150934821438,0,0.274792056395785,0.824376169187355,-1.21100434032535
"BEL","Q1.2022",18.980695970696,-0.695810772518613,0,0,0,0,0,0.0669895899710014
"BEL","Q2.2022",2.06043956043956,-0.0602793806423167,0,0,0,0,0,-0.0419112657829999
"BEL","Q3.2022",0,0.216739996606507,0,0,0,0,0,-1.30942879625974
"BEL","Q4.2022",0,0.124699647265761,0,0,0,0,0,-1.10065824221256
"CAN","Q4.2019",0,-0.266857315933791,0,0,0,0,0,0.0681941553345595
"CAN","Q1.2020",22.6785714285714,-2.77308281479379,3.36389340060541,0,3.52666243611858,1.31842918765664,0,2.53749065140909
"CAN","Q2.2020",51.1675824175824,-13.9648420897419,0.121729536025779,0,0,3.03822511435067,0.0224838294388852,11.6202424843074
"CAN","Q3.2020",45.8333333333333,-6.68869612302472,0.811935354215804,0,0,0.106602866992089,0.824696446600037,-0.207622877337144
"CAN","Q4.2020",45.8562271062271,-5.48181052100265,0.268677421287065,0.631891098400176,0,1.4757725886527,0.0043405076136844,1.2115384692953
"CAN","Q1.2021",50.3663003663004,-4.42357619106719,0.0434050761368441,0,0,0,0,-3.24788872375682
"CAN","Q2.2021",50.904304029304,-5.08374305569427,0.440127472027599,0,0,0.109163766484163,0,0.97676084229289
"CAN","Q3.2021",44.9537786172161,-3.72762578178272,0.0610275370484027,0,0,0.097965256840857,0.857293658778807,1.36572353406789
"CAN","Q4.2021",44.8873843864469,-2.56664686352219,0.131300355313953,0.000477455837505285,0,0.324843589808141,0,-0.143747370760479
"CAN","Q1.2022",43.8792857142857,-2.12168137151852,0,0,0,0,0,0.760131173293161
"CAN","Q2.2022",12.4555299908425,-1.57658166343608,0,0,0,0,0,-2.07155642518943
"CAN","Q3.2022",7.79841117216117,-1.35027462210264,0,0,0,0,0,0.637721118684752
"CAN","Q4.2022",0.767428784013605,-1.85500741764109,0,0,0,0,0,0.371618772091416
"CHE","Q4.2019",0,-0.514773969558783,0,0,0,0,0,0.0194899280304348
"CHE","Q1.2020",35.922619047619,-2.1235489562737,1.33116706974779,0.0312661506086192,2.93816155034421,0,0,0.215840553390276
"CHE","Q2.2020",55.5517399267399,-8.81269817015487,2.21904008634597,0,3.14503210848069,0,0.0414026651894957,1.2079113037298
"CHE","Q3.2020",29.9278846153846,-3.74685952125627,0,0.0999374676987828,0.0171321373197913,0.180886816534797,0.671008711691827,-0.574946702033984
"CHE","Q4.2020",39.0396062271062,-3.37479367431213,0.259123576961844,0.00856606865989567,0,0,0,0.345057669207929
"CHE","Q1.2021",55.2083333333333,-3.15267933276602,1.07075858248696,0,0.0128491029898435,0,0,-0.104508587869521
"CHE","Q2.2021",46.1423992673993,-0.977519444779599,0.0042116504244487,0,0,0,0,-0.808242194345315
"CHE","Q3.2021",38.4615384615385,0.657192547555303,0,0,0,0,0,0.584478583454121
"CHE","Q4.2021",43.9903846153846,0.878208979677395,0.0285535621996522,0,0,0,0,0.702928781885717
"CHE","Q1.2022",28.9377289377289,0.624573845474765,0,0,0,0,0,-0.786771161713066
"CHE","Q2.2022",0.183150183150183,1.06669253918897,0,0,0,0,0,-0.145190121810661
"CHE","Q3.2022",0,1.102879365943,0,0,0,0,0,0.483315722251156
"CHE","Q4.2022",0,0.745602318732979,0,0,0,0,0,1.00219432742219
"CHL","Q4.2019",0,-3.60198698000457,0,0,0,0,0,-1.28847721537299
"CHL","Q1.2020",21.9940476190476,-2.27888190729147,1.09056920061099,0,0,0.21625928516176,0.178341968921836,0.233867253687134
"CHL","Q2.2020",66.025641025641,-15.0920189076078,0.110643559035456,1.55680095234208,9.00318623041204,1.60383386063193,0.202368763220763,2.51594851452317
"CHL","Q3.2020",64.9038461538462,-11.276403160005,0.0252086876861888,0,0.196478440337616,0.778356898260557,0,-0.411854800638679
"CHL","Q4.2020",57.967032967033,-5.62018456268174,0.000546613096836702,0,0,0.131713100911866,0,-0.230217870407692
"CHL","Q1.2021",56.25,-2.59570093768106,0.447970843969765,0,0,8.31513636503026,0,-1.03477286203281
"CHL","Q2.2021",56.7078754578755,-2.1540344833061,0.941112081373148,0.0660756994855403,0,0.841438568589875,0,-0.444882528492499
"CHL","Q3.2021",42.7002472527472,1.4565983594613,0.0645824633389745,0,0,0,0,2.15348471559514
"CHL","Q4.2021",21.9873901098901,3.12522914920444,0,0,0,0,0,1.22495261977058
"CHL","Q1.2022",19.0608390567766,1.1520882811121,0,0,0,0,0,-0.613683946526152
"CHL","Q2.2022",22.6647149725275,0.481067973903417,0,0,0,0,0,1.90303073661345
"CHL","Q3.2022",23.8655860805861,-0.187340951424123,0,0,0,0,0,-2.48468864620368
"CHL","Q4.2022",4.29526254251701,-0.923556859472747,0,0,0,0,0,1.01182893360151
"COL","Q4.2019",0,0.666880658816729,0,0,0,0,0,-1.11734872400249
"COL","Q1.2020",28.422619047619,-2.3518374029484,0,0.0235464760343967,0,0.113321447072231,0.0782196980399913,5.79375390194239
"COL","Q2.2020",85.6570512820513,-17.9932208200171,0.770723253557873,0.162998125700508,1.27150970585742,0.32442202819926,0.407547862891884,3.22692484355338
"COL","Q3.2020",76.7971611721612,-10.4710400791986,0.188960658547842,0.0441468169873697,0.682586680724949,1.41493306207793,0,1.92625784156437
