"Country","Quarter","t_idx","S_mean_tw","S_max_tw","theta_pct","vax_rate","y_t_pct","y_lag1","F_CP","F_DI","F_DI_lag1","F_DI_lag2","F_H","F_CP_above_3","F_CP_loans","F_CP_guar","F_CP_guar_adj","F_CP_below","F_CP_below_adj_lo","F_CP_below_adj_mid","F_CP_below_adj_hi","debt_dR","excess_mortality"
"AUS","Q4.2019",2,0,0,0,0,-0.282231954869116,-0.256095897534534,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334479524413091,0
"AUS","Q1.2020",3,23.0654761904762,58.3333333333333,0.0582871663019925,0,-1.07796790107596,-0.282231954869116,10.239157159273,1.19202562133132,0,0,0,8.48440881024051,0.752035006728207,1.00271334230428,0.350949669806496,1.75474834903248,0.43868708725812,0.614161922161369,0.877374174516241,0.726695571598881,1.81210817573522
"AUS","Q2.2020",4,51.860119047619,58.3333333333333,0.000433555270276188,0,-8.30762211086111,-1.07796790107596,0.193022318393573,0.0340922536383454,1.19202562133132,0,0,0.188510108353204,0,0.00451221004036924,0.00157927351412923,0.00451221004036924,0.00112805251009231,0.00157927351412923,0.00225610502018462,4.67454702903402,-1.87063374047605
"AUS","Q3.2020",5,49.6050824175824,51.0416666666667,0,0,-5.68089819253432,-8.30762211086111,0.01782824322617,0.040108533692171,0.0340922536383454,1.19202562133132,0,0.01782824322617,0,0,0,0,0,0,0,4.11156584938844,-6.28684043864811
"AUS","Q4.2020",6,46.7834249084249,53.125,0.02733398738533,0,-3.08686069948452,-5.68089819253432,1.07816752131267,1.51540067422445,0.040108533692171,0.0340922536383454,0.226061723022499,1.07315395460115,0.00501356671152138,0,0,0.00501356671152138,0.00125339167788034,0.00175474834903248,0.00250678335576069,-0.369037025854595,-0.718928750119154
"AUS","Q1.2021",7,43.4237637362637,57.2916666666667,0.0615565046712256,0.28,-1.54227479740552,-3.08686069948452,0.0703654087962025,0.23338153042132,1.51540067422445,0.040108533692171,0,0.0703654087962025,0,0,0,0,0,0,0,0.0544776722351514,2.14795224980626
"AUS","Q2.2021",8,37.1050824175824,51.0416666666667,0.148651076175347,6.24,-1.35058012670238,-1.54227479740552,0,1.03530152592916,0.23338153042132,1.51540067422445,0.360976803229539,0,0,0,0,0,0,0,0,-2.21674246330294,4.68230622238677
"AUS","Q3.2021",9,47.9510073260073,48.9583333333333,0.0600107487991853,43.5,-3.61445868836841,-1.35058012670238,0.337362904018274,0.0350949669806496,1.03530152592916,0.23338153042132,0,0.337362904018274,0,0,0,0,0,0,0,0.673685621156686,-0.758846959865077
"AUS","Q4.2021",10,46.324616529304,55.2083333333333,0.342535329186573,75.47,-0.744445907750114,-3.61445868836841,0,0,0.0350949669806496,1.03530152592916,0,0,0,0,0,0,0,0,0,0.461207050330195,6.30738407601073
"AUS","Q1.2022",11,28.7151568223443,40.1571875,4.70453325057097,81.14,-0.365339989907966,-0.744445907750114,0,0,0,0.0350949669806496,0,0,0,0,0,0,0,0,0,-0.693941151015025,16.6836215835727
"AUS","Q2.2022",12,18.1447836538462,26.70875,5.37957906286994,82.7,-0.0218112285005581,-0.365339989907966,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.60130057968907,15.4820829709938
"AUS","Q3.2022",13,0.469471153846154,4.746875,3.04438330995308,82.7,-0.149640713715138,-0.0218112285005581,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.273859896264902,11.571733489638
