"Country","Quarter","S_mean_tw","theta_pct","F_CP","F_CP_above","F_CP_below_adj_mid","F_DI","F_H","y_t_pct","debt_dR","excess_mortality","vax_rate"
"AUS","Q4.2019",0,0,0,0,0,0,0,-0.282231954869116,0.334479524413091,0,0
"AUS","Q1.2020",23.0654761904762,0.0582871663019925,10.239157159273,8.48440881024051,1.1029846765347,1.19202562133132,0,-1.07796790107596,0.726695571598881,1.81210817573522,0
"AUS","Q2.2020",51.860119047619,0.000433555270276188,0.193022318393573,0.188510108353204,0.00157927351412923,0.0340922536383454,0,-8.30762211086111,4.67454702903402,-1.87063374047605,0
"AUS","Q3.2020",49.6050824175824,0,0.01782824322617,0.01782824322617,0,0.040108533692171,0,-5.68089819253432,4.11156584938844,-6.28684043864811,0
"AUS","Q4.2020",46.7834249084249,0.02733398738533,1.07816752131267,1.07315395460115,0.00501356671152138,1.51540067422445,0.226061723022499,-3.08686069948452,-0.369037025854595,-0.718928750119154,0
"AUS","Q1.2021",43.4237637362637,0.0615565046712256,0.0703654087962025,0.0703654087962025,0,0.23338153042132,0,-1.54227479740552,0.0544776722351514,2.14795224980626,0.28
"AUS","Q2.2021",37.1050824175824,0.148651076175347,0,0,0,1.03530152592916,0.360976803229539,-1.35058012670238,-2.21674246330294,4.68230622238677,6.24
"AUS","Q3.2021",47.9510073260073,0.0600107487991853,0.337362904018274,0.337362904018274,0,0.0350949669806496,0,-3.61445868836841,0.673685621156686,-0.758846959865077,43.5
"AUS","Q4.2021",46.324616529304,0.342535329186573,0,0,0,0,0,-0.744445907750114,0.461207050330195,6.30738407601073,75.47
"AUS","Q1.2022",28.7151568223443,4.70453325057097,0,0,0,0,0,-0.365339989907966,-0.693941151015025,16.6836215835727,81.14
"AUS","Q2.2022",18.1447836538462,5.37957906286994,0,0,0,0,0,-0.0218112285005581,-3.60130057968907,15.4820829709938,82.7
"AUS","Q3.2022",0.469471153846154,3.04438330995308,0,0,0,0,0,-0.149640713715138,-0.273859896264902,11.571733489638,82.7
"AUS","Q4.2022",0,3.80288684059597,0,0,0,0,0,0.0964370068879578,-0.203343343848445,10.710903431068,82.7
"AUT","Q4.2019",0,0,0,0,0,0,0,-1.4562287706597,-0.773333419372605,0,0
"AUT","Q1.2020",35.625,0.223387588974403,2.91646702606157,1.16046589218655,0.614600396856256,0,1.50398988543347,-3.06341430416197,1.95620780500469,-2.17944151274352,0
"AUT","Q2.2020",58.4821428571428,0.0335150412370272,3.75046973030331,3.58841591137713,0.0567188366241631,0.911088645445811,0,-15.7356933914895,6.35736720650804,3.87590980754512,0
"AUT","Q3.2020",30.540293040293,0.100919444191745,0.0890543432179473,0.0514257474920541,0.0376285957258932,0,0,-6.52765852275028,-3.80070698830433,2.80880475124762,0
"AUT","Q4.2020",60.1648351648352,0.957482273002283,1.20812878010601,0.957271475266724,0.250857304839288,0.0915629162663402,0,-8.37917808222789,3.61323811280438,31.0492441182038,0
"AUT","Q1.2021",72.5389194139194,0.117835331135276,1.02149094530558,0.946233753853795,0.0263400170081253,0,0.176754056989763,-9.75101839637165,3.64454310365069,0.363801439590769,4.93
"AUT","Q2.2021",57.7392445054945,0.318479325800825,0.354963086347593,0.354963086347593,0,0,0,-6.09705708273847,1.44389927059672,8.28521964475667,33.57
"AUT","Q3.2021",41.3780580357143,0.405059829469979,0.544360351501256,0.544360351501256,0,0.184881833666555,0,-3.64322655917424,-0.854939013177685,6.08601234933398,61.36
"AUT","Q4.2021",40.6629120879121,1.23337671734693,0,0,0,0,0,-3.87882889907359,-0.845232946649091,22.1096085290109,70.64
