Country,TotalF_pct,CP_share_obs,CP_share_optA,ExDebt_comp,ExDebt_timing,b_obs,b_optA,b_optB,J_comp,J_timing
AUS,16.0213086612373,74.5001785272271,99.6383767509672,0.572163256767036,0.0976379589222157,10.8871152336696,10.3149519769025,10.2173140179803,0.11788121523575,0.0558516280476931
AUT,11.072467658222,89.2748984956674,63.832329927395,-0.212198126578095,0.451780470387311,11.3546211937793,11.5668193203574,11.1150388499701,0.0168046172479843,0.248397409767
BEL,18.4516327034992,90.7723403967045,35.9857250601863,-0.499593276161092,0.746528072020675,13.1639119015942,13.6635051777553,12.9169771057346,0.225262628560331,0.559200651653549
CAN,15.8721295138024,59.2304084643583,99.7265327497542,0.819273296553143,0.22695054199348,11.6101093230761,10.790836026523,10.5638854845295,0.137294613457115,0.120444753566777
CHE,11.3466859308033,98.4058180720087,99.962882109806,0.026661586831353,0.224796708714056,10.2203174889585,10.1936559021271,9.96885919341307,0.00649670504191757,0.202487478263778
CHL,25.4404702795099,53.2762643615123,51.5534819276384,0.382733224502715,1.34846058203277,16.5863497634232,16.2036165389204,14.8551559568877,0.482270314672282,0.861261848151225
COL,6.56127453922005,59.7463294966592,25.9247528418322,0.0328250826417215,0.375880748044,13.3650800913017,13.33225500866,12.956374260616,0.215731305745628,0.192835656434724
CRI,9.07031768571525,84.2888960053935,42.1825750130908,-0.210707314498945,0.182508624677877,12.0625525255733,12.2732598400723,12.0907512153944,0.115980570868156,0.154623796980992
CZE,22.8852450790422,88.8795712802265,99.6731980549285,0.261482479276867,0.100521926035024,13.7466533818625,13.4851709025856,13.3846489765506,0.0378558930986008,0.539931743431064
DEU,30.2389891337547,91.3191123121173,100,0.259138359431865,-1.05066029691968,14.0484016914182,13.7892633319863,14.839923628906,0.0399582755855157,0.344556709323152
DNK,27.1706210692953,82.4431575426129,91.3313341728562,0.34263579810406,0.361553352789695,13.8101081533691,13.467472355265,13.1059190024753,0.111220757655242,0.812874749329635
ESP,21.626580633309,91.2745207409971,89.9789205962287,0.102358361418217,-0.245551777888711,13.2133559443397,13.1109975829215,13.3565493608102,0.0639692658406776,0.223319039095946
EST,16.6359016312724,97.0992271305067,100,0.0559024973034367,0.438722643753592,9.85070551786595,9.79480302056252,9.35608037680892,0.00664154279371543,0.2722646366677
FIN,11.674637749874,80.1129877777279,100,0.284370431796629,-0.0261178884032945,9.02939342043095,8.74502298863432,8.77114087703762,0.0295142254978704,0.128350648158289
FRA,23.5850402262254,94.8701348858075,86.7672962869439,0.0210404147365451,0.00741345116890835,13.7098123110728,13.6887718963363,13.6813584451674,0.109323549495732,0.500249665686923
GBR,26.3438098366218,92.0534223534628,85.9834153569085,0.0436606552453284,0.6018897959544,13.746665055946,13.7030044007007,13.1011146047463,0.116536941844581,0.307722755359821
GRC,17.7122902221157,86.0077135362859,78.2485288305164,-0.00209334205666656,0.253104618205494,14.394366072708,14.3964594147646,14.1433547965591,0.0754774500613831,0.235173048208678
HUN,10.9029520645541,84.4877598760903,53.9042856672056,-0.184971065860361,0.853523488971313,11.3925116582056,11.577482724066,10.7239592350947,0.067097871334334,0.363813725214044
IRL,11.3186484757125,63.3946362624946,73.9610838985755,0.568659067633873,0.532885893203809,12.5377369629771,11.9690778953433,11.4361920021394,0.25323375890498,0.167562885889416
ISL,10.8066093853272,67.2790879733829,100,0.528254434957245,0.192599256792711,9.27561826896981,8.74736383401256,8.55476457721985,0.104640288025781,0.0661275139474578
ISR,11.4627413987854,50.128370500831,69.6762035006875,0.449009404690405,-0.102171310998295,12.3586742283086,11.9096648236181,12.0118361346164,0.133487308064643,0.171418419825542
ITA,30.0259444582738,96.9167042530665,19.8249954868376,-0.956584256241094,2.19204813350064,18.0284058421852,18.9849900984263,16.7929419649256,0.696064022257974,1.34869867514742
JPN,35.1294062409709,84.801005075756,100,0.872126037029525,-0.334414539058965,12.5732252250659,11.7010991880364,12.0355137270954,0.285672550965791,0.0693888641657279
KOR,13.4489654670007,80.8447020624508,66.2374511315776,-0.119869541999627,0.736502116882093,10.7926872851233,10.912556827123,10.1760547102409,0.0948283604166553,0.155630428067411
LTU,11.3503189973778,69.0029650919542,53.7773088607134,-0.00895854126626155,0.816036688564066,12.0132636469429,12.0222221882092,11.2061854996451,0.0624253448117145,0.353467045426412
LUX,8.6321276322959,98.7560976741811,94.2060895567142,-0.0375099715497942,0.0803197728585073,9.05434522503121,9.091855196581,9.01153542372249,0.000839066124967314,0.0564294280514419
LVA,13.0009843811524,98.1071026556088,99.9835948896819,0.0266011204401256,0.0801677648075941,10.4357992301468,10.4091981097067,10.3290303448991,0.00267433808543505,0.0580672447292359
MEX,1.8932386925779,46.6478961636695,14.0604433441717,-0.0342367751755238,0.246385031065516,10.9307054164881,10.9649421916636,10.7185571605981,0.024068731215444,0.06537776628352
NLD,10.3852899177658,88.9686439721201,47.7926904893649,-0.2508446696852,0.714253273410532,11.6318722421138,11.882716911799,11.1684636383885,0.0883856704702253,0.207343631914319
NOR,6.8154258795952,98.1976321185264,86.7773550778028,-0.0731088741932423,0.176529085897204,8.80899203712225,8.88210091131549,8.70557182541829,0.00187941050381912,0.0626792195859598
