Country,obs_y,condA_y,obs_b,condA_b,excess_debt,comp_gap,cont_gap
AUS,-2.69771913487161,-2.74450588906322,12.3428167455514,11.8263677667996,0.516448978751777,0.3631181865548,62.1796827195288
AUT,-3.08792606544858,-2.95859795758919,11.2781342057905,12.461939026245,-1.18380482045449,-0.404816087724896,70.4777033221536
BEL,-2.82115869998697,-2.94050801403085,14.0288432355278,12.8140209206299,1.21482231489794,0.499417345141183,592.141790745788
CAN,-2.81465272641229,-2.82290122165546,12.3884097208852,12.0747676096325,0.313642111252711,0.260205661073087,76.5218730512614
CHE,-2.89484143695828,-2.65575957276118,11.0003158908704,13.2517101001664,-2.25139420929603,-0.866545923676199,225.371351024284
CHL,-2.54210708846894,-2.930234023908,15.7200730879501,11.5781620367547,4.14191105119537,1.8054028785559,40.7648369616929
COL,-3.37379267663935,-3.15626131284423,9.63875273641866,11.6937180950918,-2.05496535867315,-0.578561996339104,20.8687060373119
CRI,-3.24030588765588,-3.12212008150205,10.380650912303,11.4873037435687,-1.10665283126566,-0.319434109393896,30.0396951848943
CZE,-2.53052026794079,-2.91305880220278,14.946592102316,11.2339974021945,3.71259470012146,1.58202743799649,54.5491896666161
DEU,-2.31913838956988,-2.97928937699306,17.6848274487246,11.4995276657516,6.18529978297296,3.42980503784429,61.3916166590733
DNK,-2.23944982732089,-2.66733205369574,16.1278315266808,11.9032400775132,4.22459144916758,2.1121059652414,83.9255733321949
ESP,-2.77999610715026,-3.06180200508245,15.571579570267,12.956252623321,2.61532694694607,1.30915615312438,1052.37458028335
EST,-2.3419551199419,-2.34996927390276,12.1978500873809,12.1284292758846,0.0694208114963055,0.0692817948486777,114.834652351626
FIN,-2.50983021641387,-2.26256900796835,10.3374412393892,12.5438414658628,-2.20640022647356,-0.751032989886397,164.12601099429
FRA,-2.6573040896314,-2.96048300213681,15.7468228448221,12.8576537770177,2.88916906780443,1.4861337514177,208.319618055944
GBR,-2.52199442030876,-2.97644078094523,16.6573011841966,12.5037045270191,4.15359665717749,2.30905688930602,366.094466858311
GRC,-3.14108453421257,-3.33778883734255,13.9618748050463,12.0387818265535,1.9230929784928,0.815094820563772,14.1751731610133
HUN,-2.87878805192503,-2.75789314495766,10.5310349449452,11.588935468011,-1.05790052306575,-0.364873395698055,73.5092684485422
IRL,-3.1785835096682,-3.03874574812431,11.1443972252374,12.36684936829,-1.22245214305253,-0.445789446485293,110.125109041827
ISL,-2.60690466462551,-2.26442489180003,10.0421154454878,13.0545237616765,-3.01240831618866,-1.09968260000551,180.236691689427
ISR,-3.11591267963566,-3.04500353659055,11.0231543265271,11.5438757599686,-0.520721433441484,-0.109468695656901,40.540418602517
ITA,-2.77801430363434,-3.41459769641294,18.8227837653524,12.6747537913572,6.14802997399511,3.13415394357673,229.525061162084
JPN,-1.76828158199005,-2.49476970036577,18.9099006897108,11.8588714255107,7.05102926420018,3.54066235419992,87.0021522980438
KOR,-2.82086503780495,-2.80342467978214,11.5252666600731,11.5573733282907,-0.0321066682175894,0.0671473090294512,61.1227002907325
LTU,-2.86308848668366,-2.67052195641038,10.6753956719865,12.37258531722,-1.69718964523346,-0.581542248937438,112.168749100676
LUX,-2.94695878981362,-2.62111445404056,9.95974572222188,12.9620937606506,-3.00234803842872,-1.1031746062641,122.526962439037
LVA,-2.71800581266478,-2.69724908142791,11.2080305317174,11.4694043750298,-0.261373843312405,0.0453567073283097,61.2079813984447
MEX,-3.15625805758694,-2.67886125570801,7.39393102768353,11.9528335842937,-4.55890255661014,-1.22731229183231,59.6626758067079
NLD,-3.22963478883385,-3.07585922608715,11.2130786447785,12.6775702492499,-1.4644916044714,-0.493923898000162,292.834018842293
NOR,-2.93414040431721,-2.64057179832004,9.0061219432378,11.7705059066494,-2.76438396341164,-0.838153267023955,94.124422096468
NZL,-2.31388196284381,-2.31959906821747,12.7464049399543,12.5125703955734,0.233834544380929,0.195180630217152,124.615834895136
POL,-2.93247558146852,-2.92678479508869,11.1045683239028,11.1772429890945,-0.0726746651917382,0.0508660083991259,39.7358584824148
PRT,-3.06087577185962,-3.03623157895697,12.2069700478534,12.4812069588652,-0.274236911011747,0.0454471563604102,90.9501329104091
SVK,-3.01737780926904,-2.81419532983782,9.54727725256086,11.4548561843288,-1.90757893176791,-0.61815629573249,61.583253332841
SVN,-2.78334145231939,-2.98960247850381,13.2674017523646,11.3114779434949,1.95592380886976,0.820414184317031,44.3409533517673
SWE,-2.99077725480631,-2.69869135547229,9.93780762481717,12.7240947479669,-2.78628712314972,-0.897247324042382,241.998268533621
TUR,-3.03774505881707,-3.01616763933644,11.0564138811464,11.3126406247018,-0.256226743555395,0.0461477609026133,40.2419196427876
USA,-2.55240409918967,-2.59820532774124,14.0458797716972,13.2356401158644,0.810239655832731,0.359972101921414,223.455488009307
