VSL,MCPF,cum_y,cum_d,end_b,avg_S,avg_CP,avg_DI,CP_share
10,0.1,-2.46058507990703,0.0701407964056167,11.8923378149771,0.520064183216674,1.33333333333333,0.0849652523505885,0.940093536573882
10,0.3,-2.4163099181179,0.0704724375124858,12.4402438766646,0.517885704753919,1.33333333333333,0.280668045842751,0.826104209411502
10,0.5,-2.38954516847069,0.0708110068623705,12.750201872586,0.516007346445175,1.33333333333333,0.392501376025111,0.772573019944061
10,1,-2.37028112015931,0.0716496103415268,12.8797075204187,0.512138181794043,1.33333333333333,0.444444444444444,0.75
10,2,-2.33151682829745,0.0757490772071893,12.4377948535457,0.485482354287908,1.23922145967991,0.444444444444444,0.736025749909337
20,0.1,-2.69052349674744,0.0586690497010745,12.4672178722824,0.618573038205201,1.33333333333333,0.0985199158964192,0.931194124852238
20,0.3,-2.64340462901224,0.0588744215894096,13.058500294846,0.61651617129788,1.33333333333333,0.309353545706273,0.811678324302964
20,0.5,-2.61254958685393,0.0591854191545323,13.3835109974123,0.613486273486877,1.33333333333333,0.428658102004323,0.756719531430539
20,1,-2.5938206834912,0.059836399723423,13.3928761837316,0.607092864084121,1.33333333333333,0.444444444444444,0.75
20,2,-2.57175776985341,0.0621097025486314,13.0409795171906,0.588189271370579,1.25364061861035,0.444444444444444,0.738267266985491
40,0.1,-2.95309426151974,0.0499132452383271,13.0639912917568,0.729909837813949,1.33333333333333,0.0905801694397129,0.936386466408732
40,0.3,-2.902457073581,0.0501082311405642,13.7054489180647,0.727787725534524,1.33333333333333,0.318976350212175,0.806951231122898
40,0.5,-2.87624551309216,0.0501466532460404,14.0615137142629,0.727317028066413,1.33333333333333,0.444444444444444,0.75
40,1,-2.8711897599249,0.0505327352914988,14.0505554906885,0.723785102007763,1.33333333333333,0.444444444444444,0.75
40,2,-2.88037351993503,0.0506795126011963,13.8747837870101,0.722118387311903,1.28132405794385,0.444444444444444,0.742465780416448
60,0.1,-3.09225459361428,0.0464619566897536,13.3711189291374,0.788822890922406,1.33333333333333,0.0824925479977609,0.9417353863314
60,0.3,-3.0404491109467,0.0465792047355355,14.0504681520105,0.787168293245561,1.33333333333333,0.32312972633669,0.804927900776091
60,0.5,-3.01437331876528,0.0466341356309237,14.3930623180454,0.78643837567549,1.33333333333333,0.444444444444444,0.75
60,1,-3.01380363733781,0.0466465200936956,14.3917270815241,0.786280991855433,1.33333333333333,0.444444444444444,0.75
60,2,-3.02155538027664,0.0466528063012184,14.2864983700935,0.786207280286962,1.30082780722582,0.444444444444444,0.745343774291316
80,0.1,-3.17351092450481,0.0449949589510343,13.528942410399,0.81826221477862,1.33333333333333,0.0707853921616629,0.949587317029257
80,0.3,-3.1232575386719,0.0450152404846905,14.2331629259242,0.817956294882292,1.33333333333333,0.317826519258856,0.807513173991062
80,0.5,-3.09587735583123,0.0450510225767919,14.5902030460065,0.817246470653948,1.33333333333333,0.444444444444444,0.75
80,1,-3.0953921952541,0.0450589431692214,14.5890592932468,0.817146823231449,1.33333333333333,0.444444444444444,0.75
80,2,-3.10103533127122,0.0450626355507629,14.5119828252445,0.817062530720892,1.30955002648557,0.444444444444444,0.746610122317668
100,0.1,-3.21261235001,0.0443631722356472,13.627733074592,0.828849757074557,1.3536645597938,0.0493626589682692,0.964817033976131
100,0.3,-3.16811782643993,0.0443867456538917,14.2522774399092,0.828495784026436,1.33333333333333,0.291560681043425,0.820566339426602
100,0.5,-3.13911601360764,0.0444139296325043,14.6414286065439,0.827961106006296,1.33333333333333,0.428962891934051,0.756588656445107
100,1,-3.12739774421385,0.0445470292834118,14.6649660743168,0.825028154282949,1.33333333333333,0.444444444444444,0.75
100,2,-3.13210530103253,0.0445490363440179,14.6004543975518,0.824718092573278,1.31345746539568,0.444444444444444,0.747173353668599
140,0.1,-3.26669567973586,0.0435334651782767,13.7317547791962,0.841910554609814,1.38362130675711,0.00792911380915573,0.994301957232761
140,0.3,-3.23212717007322,0.0435549085107291,14.2254804903731,0.841583787634377,1.33333333333333,0.237940166764546,0.848568586722984
140,0.5,-3.25509549391504,0.0431309082047149,14.3714580342324,0.850732074855117,1.33333333333333,0.265146362341575,0.834125911602759
140,1,-3.25108892907155,0.0429195917980535,14.6693745239763,0.855336164066695,1.33333333333333,0.357251457964397,0.78868172729144
140,2,-3.18681622137159,0.04368934038654,14.7334870516898,0.83820765708811,1.31429218207132,0.444444444444444,0.747293348109242
