Country,Cum_y_zeropolicy,Dcum_zeropolicy,Delta_b_zeropolicy,Cum_y_nofiscal,Delta_b_nofiscal,Fiscal_dy_per_db,Deaths_avoided_by_policy
AUS,12.4469124982341,1590.61046759016,-12.0807109691124,-36.1127865370521,-6.38574739383543,1.76037781829055,796.156963086829
AUT,-27.2533594609589,7459.91838170817,-3.76330423242509,-89.7837299441156,3.22402390853141,2.42287619308528,4826.4647605381
BEL,-3.73222215882015,22215.7749650621,-9.94690867163091,-52.7953612642648,-4.1758912855869,2.9356190860478,17181.1609433928
CAN,-11.6489023786477,3339.87876184513,-1.51430045130863,-63.6132347345026,4.55395157713006,0.902998528605867,2020.1976519046
CHE,13.9977679191091,11182.1484274035,-7.0283615604153,-32.1116732042245,-1.60800394014711,3.57160131294542,7361.21788829052
CHL,7.41649787057687,6308.01894179493,-13.892198752805,-48.8916449200925,-7.39366642001691,-0.17966760140273,4249.73164840858
COL,16.3000733727773,7591.71933314342,5.96505492552921,-46.5525838939498,13.2119183244442,-0.024552699707005,4905.59937155966
CRI,-2.60204449434855,2733.50623765872,2.59533021186994,-59.8922726970316,9.33187394957739,1.87820157328742,1518.51539402193
CZE,-61.8991041379808,10235.6698302595,-1.03955765732364,-112.446307637908,4.8964511792509,2.96069754395146,6377.31511801047
DEU,-34.7419927733872,5783.51042420012,-9.84380906960066,-87.6938745356753,-3.6228509674734,3.61800716349848,3442.61718048288
DNK,-3.82656248051541,1837.723711519,-20.8249691568789,-47.4884021531123,-15.685803051626,2.81407553956036,922.763286841488
ESP,-88.400362700199,30555.7058067281,-1.23139826754692,-140.803423862588,4.89292788282383,2.81871755343471,24358.6486036412
EST,-31.5932750228812,3952.85691436897,-2.48353747142045,-68.3537144274939,1.82882683013047,3.51661176194588,1629.43748849721
FIN,-25.5743477827043,2501.85120910114,-4.58927114666639,-59.7547522208207,-0.574315094249812,2.95253098264151,1018.19040992991
FRA,-40.0414671115018,13014.8894167009,-6.87754463079676,-94.4191510956135,-0.496016137885988,3.74370634508719,10288.6349322587
GBR,-67.8683377304924,16355.8182473063,-8.67448340821602,-119.139122304184,-2.6447633150776,2.92299563989011,12511.24932435
GRC,-8.4142752304053,5234.84264452797,-13.3692341145641,-78.0502036028095,-5.2143826293206,2.08026866175969,2913.17402873297
HUN,-42.9459112808886,9210.45033161493,-6.98020489002483,-88.4645390274806,-1.6239898998235,2.28952325865167,5453.47192853549
IRL,127.629602804523,7574.5887213304,-17.5421624955053,72.6652715591697,-11.07474606144,0.304036495239296,5821.02145936421
ISL,-81.3382844454847,3532.77090344863,-0.365369140047903,-116.155046874606,3.72915232086353,1.70827813175513,1833.68351644299
ISR,35.8675419827124,2911.90446643423,-7.86111928836301,-20.1397752335034,-1.33492831981263,-0.500154297992738,1858.39622983331
ITA,-21.9531946772364,25272.2266942083,-11.4366552536737,-90.2951684839488,-3.51523698933283,3.87517365667066,20993.8741225374
JPN,-39.2164698486635,959.299313467179,-14.5168314638473,-88.6599548175515,-9.13885311650733,3.30176328116003,230.116494619883
KOR,7.14770833940116,1074.25841390221,-7.07611301157344,-42.1288106451171,-1.29879850098069,2.39816951840787,347.507724788242
LTU,10.824204218689,14049.393024653,-7.1742653189089,-34.0895276255313,-1.89054444459653,1.3996076685013,8013.90305900958
LUX,29.6593782920926,5334.37795064707,-1.49472563479527,-18.5012370835047,4.12792010588095,2.92623765643027,3593.7777520275
LVA,-20.2582650307124,7041.21957540652,3.50305704718598,-64.8480377417227,8.74274807191097,3.65178639984784,3118.4790655863
MEX,-60.0987715350428,12628.1082320563,-4.82268015818014,-107.96344624221,0.726215715674032,-0.143917617349778,9027.24411336092
NLD,9.72850356082633,15658.5752958826,-6.11716705366798,-46.8886786082429,0.523527639500571,2.17147033980745,12005.8294486966
NOR,15.7695961011866,2373.12719663817,-3.0202974652809,-26.7826593638367,1.98516291435465,3.73814667457105,1183.45875325149
NZL,-23.6092781596815,681.000762272717,4.2059038725338,-61.1379805236479,8.59710131770937,2.32361650101166,242.420551731878
POL,-11.5966211667668,9054.83280992234,-7.12162888017038,-62.9606164155543,-1.14196708137992,1.76624481882499,5367.66667087896
PRT,-55.7329447545687,8925.02016479777,-14.6351195860962,-112.418327668236,-7.97729611287018,2.80587990239674,6341.80252023468
SVK,-10.3325237211209,9527.26963032423,0.132443167805725,-58.011934914922,5.73728180842863,2.72008538087677,5318.74970431125
SVN,-37.1832593437719,8890.74468534645,-7.70492510648906,-89.7333208650165,-1.52689575193865,2.85535288892286,5721.93832316663
SWE,9.94406845155788,9552.75349112647,-7.45672444627593,-35.0109957043791,-2.16704406402429,3.12199119131286,7064.98133179872
TUR,49.5545834954872,4627.96063278136,-9.09357121043807,-3.69643045751026,-2.82998285962498,4.09246648141605,2663.84809627403
USA,10.8168550830661,9489.04695673971,-2.90252780972335,-38.9165641498498,2.69525480958936,1.11860058624836,6036.21816883692
