Country,ImpA_output_pct,ImpA_cum_y_abs,FeasA,ImpB_deaths_pct,ImpB_deaths_abs,FeasB,ImpC_debt_pp,ImpC_pct_of_debt_increase,FeasC,ExitA,ExitB,ExitC
AUS,100,22.111316016791,1,28.6309732946353,227.459770712643,1,8.9285847350181,NaN,1,2,2,2
AUT,67.9094447865637,44.8440070166523,1,16.4235784285812,432.50732085318,1,6.32433087426202,NaN,1,2,2,1
BEL,61.3072126199131,24.600200145277,1,22.0234827944691,1108.79735283028,1,5.6187400775797,NaN,1,2,2,1
CAN,91.8136867443057,42.9070689459271,1,27.0452568300555,356.911145521146,1,9.1900109017926,79.1231688865814,1,2,2,2
CHE,82.1010720072195,14.7405615663386,1,23.4963820198215,897.780436182013,1,4.45173551634284,NaN,1,2,2,2
CHL,92.9173977479408,43.6033720563887,1,27.3658966415481,563.268773294227,1,11.6941811448455,NaN,1,2,1,1
COL,80.6508197917246,32.300355217503,1,19.9148172077873,534.935880331293,1,5.07016355961208,31.6731249365646,1,2,2,1
CRI,89.1704678268288,42.8832627513391,1,21.9194947471791,266.319854149674,1,5.33645426799021,42.7854809375505,1,2,1,1
CZE,80.3348896900822,60.7341158894294,1,17.632537638235,680.325846853928,1,7.57003554606101,75.684220212856,1,2,2,1
DEU,76.7496905583702,36.938866902787,1,15.5604638078066,364.253845968011,1,6.64681264705464,NaN,1,2,2,2
DNK,100,18.724047069164,1,20.563387875352,188.146861032405,1,8.31029142445253,NaN,1,2,2,2
ESP,59.0466346280086,57.7627206262364,1,22.1906657205617,1375.16824844901,1,7.68240390459168,75.9367720632215,1,2,2,1
EST,90.6024568247199,39.9573295721408,1,20.7103329663355,481.187899302563,1,6.12100710166547,NaN,1,2,2,1
FIN,62.3095584228042,25.7302658543037,1,13.3201079604389,197.625220216318,1,3.67753430530838,NaN,1,2,2,2
FRA,52.1464830061344,41.9446518021516,1,13.2594062157746,361.485156567966,1,5.58429340401878,NaN,1,2,2,1
GBR,59.7244360311207,53.2558217562728,1,21.9477403241926,843.796003795056,1,8.1700387788389,NaN,1,1,2,1
GRC,93.1766506326252,46.4952126873942,1,14.1733117857054,329.057331547496,1,8.58694983612,NaN,1,2,2,2
HUN,80.5038886537858,50.2206432993166,1,16.9713772286601,637.610977185902,1,5.61113931405188,NaN,1,2,2,1
IRL,90.9133168860395,-56.5201480204969,1,16.3169847913656,286.12930344139,1,6.9987069466965,NaN,1,2,1,1
ISL,60.7945217521437,42.021390891682,1,28.511524454817,484.435715854822,1,5.59135224725911,NaN,1,2,2,1
ISR,100,23.2974078707783,1,27.5318833697656,290.050658991838,1,7.8481749093249,NaN,1,2,1,2
ITA,NaN,NaN,0,-2.98827153784767,-127.848792188015,1,NaN,NaN,0,NaN,2,NaN
JPN,99.6385786831394,52.1534959572595,1,21.2279250660828,154.790382379655,1,10.783149392927,NaN,1,2,2,2
KOR,99.9423942308267,30.4910932805644,1,23.9579435509551,174.114519854101,1,7.78843855615252,NaN,1,2,2,2
LTU,94.8170862829855,23.5110865235071,1,20.2015770584241,1219.26415626291,1,5.85226982376173,NaN,1,2,2,2
LUX,83.8643192334868,6.90166033538295,1,21.9698768266607,382.40771968133,1,4.00666278314177,NaN,1,2,2,2
LVA,89.0777529864559,39.2981696304488,1,18.9420123247661,743.045990838739,1,5.85260936905532,46.1670232120702,1,2,2,1
MEX,35.2661530082731,27.252454608351,1,16.6269913811081,598.715366660899,1,2.20715110414273,NaN,1,1,1,1
NLD,69.232810332433,26.916972054117,1,17.1099324834615,624.98234824597,1,5.72741121742927,NaN,1,2,2,1
NOR,77.939471531554,10.4887464571935,1,12.490109741534,148.590894139395,1,2.95915274905127,NaN,1,2,2,2
NZL,100,41.9447590400593,1,38.6517625946425,169.518981765328,1,10.221794138889,60.6376803159805,1,2,2,1
POL,96.2799236534624,49.2355867172598,1,19.6208588418558,723.453663406406,1,7.87673848537088,NaN,1,2,2,1
PRT,48.7386105006763,41.0415357403819,1,16.192263563038,418.281409414558,1,5.00654044586544,NaN,1,-2,2,1
SVK,88.8837154249482,40.5491082114932,1,18.1484833544393,763.782538240728,1,5.97746552049863,NaN,1,2,2,1
SVN,87.8414275581984,54.0411741201473,1,14.9512735026369,473.776905978462,1,8.63970448970046,NaN,1,2,2,-2
SWE,58.4575547632093,13.5495473246458,1,21.3002813059885,529.902468188878,1,3.71426917407437,NaN,1,2,2,2
TUR,96.015934722994,-6.61230713612515,1,21.7479215763463,427.153654110799,1,4.01942640657811,NaN,1,2,2,1
USA,100,28.3289476119677,1,34.605195599889,1194.85815578304,1,10.6490539175554,87.5722222661762,1,2,2,2
