Country,b0,mu_y,mu_b,onset_eps_y,wave_severity,cum_theta_zeropolicy
AUS,37.6,1.1057,-0.8525,-3.62,0.0890795455812929,0.264879899612867
AUT,69.7,-1.04,-0.6001,-8.55,0.153580366947153,0.645047920192988
BEL,77.9,0.3009,-0.8731,-6.46,0.0999342670605112,1.16130168311761
CAN,44.2,-0.0979,-0.2648,-7.79,0.0971921656950697,0.34975460113822
CHE,16.3,1.2987,-0.4315,-4.73,0.105510120475369,0.704911590037887
CHL,29.6,1.3246,-1.0291,-10.1,0.141661676382878,0.575929068737632
COL,47.7,1.9894,0.5492,-11.2,0.0837056795394383,0.486264645159544
CRI,53.2,0.1466,0.1213,-3.75,0.0557098324356997,0.20785580522535
CZE,30.2,-3.5623,-0.657,-5.1,0.10532612118916,0.661433001820597
DEU,34,-1.7381,-1.0947,-5.98,0.176969108710753,0.60121874674062
DNK,34.1,-0.0832,-1.6607,-1.95,0.0647529740692495,0.211116901402074
ESP,86,-4.8958,-0.9624,-9.57,0.112997860979222,1.53040509595639
EST,11.8,-1.8327,-0.481,-2.43,0.135955628678051,0.469741460023006
FIN,54.5,-1.4833,-0.6315,-1.97,0.15409188335385,0.4411763854357
FRA,85.4,-1.8693,-0.9667,-8.49,0.091348248808899,0.743950528988561
GBR,107,-3.3268,-1.3722,-12.5,0.112869167920552,0.932314225593041
GRC,205,0.2908,-1.3041,-9.94,0.163006475977859,0.558168873004487
HUN,52.1,-2.0146,-0.967,-8.99,0.101765252599521,0.618695604816949
IRL,54.3,8.3187,-0.2702,-1.1,0.0931038936639915,0.519371763266184
ISL,69.9,-4.8488,-0.8165,-4.7,0.140939198340839,0.421956210632377
ISR,56.9,2.3672,-0.3418,-0.66,0.0730845757361001,0.238426643681759
ITA,122,-0.5014,-1.193,-10.9,0.152441759157337,1.4217437804124
JPN,199,-1.9561,-1.6567,-6.82,0.140704507091309,0.339814131878899
KOR,35.1,0.6141,-0.5136,-1.83,0.146975397888672,0.295160881690217
LTU,29.3,0.7002,-0.4824,-0.03,0.24637176783215,1.15453118641086
LUX,26.6,2.3568,0.1193,-5.31,0.0259917417618716,0.281209622640122
LVA,39.7,-0.683,0.0475,-7.43,0.188525837026904,0.66634604653111
MEX,7.25,-3.2057,-0.9082,-7.97,0.1200797674665,0.686043640075761
NLD,43.9,1.0604,-0.4272,-5.17,0.116393160430369,0.907501132418692
NOR,16.6,1.2218,-0.1091,-2.45,0.101195952972729,0.323513118803172
NZL,73,-1.0616,0.0389,-5.49,0.0554468287599816,0.139064153650797
POL,45.6,-0.5966,-0.6929,-1.8,0.0899959319670606,0.560096306342222
PRT,111,-2.7751,-1.7242,-9.75,0.147815371799243,0.667302459765198
SVK,48.4,-0.2578,-0.1307,-4.87,0.143378688923881,0.704414265528265
SVN,72.1,-1.8284,-0.991,-6.78,0.103652596951128,0.591881361102646
SWE,27.7,1.0349,-0.5114,-4.7,0.0710523844691894,0.557308062396312
TUR,54,4.0658,-0.315,-10.4,0.0857281795448187,0.323879126459937
USA,97.3,1.0987,-0.2251,-4.79,0.123134670071771,0.633525354200994
