Outcome,Observed_policy,Planner_benchmark,Difference
"Cumulative output gap",-60.0378215920722,-23.8239292913532,36.213892300719
"Cumulative deaths per million",2504.7455619603,1792.47136881456,-712.274193145743
"Terminal debt",75.2749734601247,84.891481186845,9.61650772672033
"Terminal infection prevalence",0.0355091370742159,0.0235245043665247,-0.0119846327076912
"Average stringency",34.1287978278075,52.0984137756452,17.9696159478377
"Total above-the-line CP",5.11903856591593,7.06589784365447,1.94685927773854
"Total below-the-line liquidity",2.7374619761742,22.2908833366701,19.5534213604959
"Total demand injection",2.61469650210992,0,-2.61469650210992
"Objective value",54.8971488640131,34.8957949057969,-20.0013539582161
"Objective gain, percent",NaN,36.4342308700984,NaN
