"Country","Quarter","theta_hat"
"CRI","Q1.2020",0.000142955683862195
"CRI","Q1.2021",0.00156493966951767
"CRI","Q1.2022",0.0272838061076405
"CRI","Q2.2020",0
"CRI","Q2.2021",0.00625787455797415
"CRI","Q2.2022",0.0326208038651118
"CRI","Q3.2020",0.00226708606098121
"CRI","Q3.2021",0.0118300146107331
"CRI","Q3.2022",0.0127793916778596
"CRI","Q4.2020",0.00279492036406083
"CRI","Q4.2021",0.00156280513033559
"CRI","Q4.2022",0.00589817865240091
"JPN","Q1.2020",0
"JPN","Q1.2021",0.000274926483988557
"JPN","Q1.2022",0.0405500156182289
"JPN","Q2.2020",0
"JPN","Q2.2021",0.00127771997828286
"JPN","Q2.2022",0.0205903329060673
"JPN","Q3.2020",0.000116390160332837
"JPN","Q3.2021",0.0022438299752556
"JPN","Q3.2022",0.0685981598073917
"JPN","Q4.2020",0.00040130779045879
"JPN","Q4.2021",0.000673398992037684
"JPN","Q4.2022",0.0800403672243192
"TUR","Q1.2020",0.000257170052901917
"TUR","Q1.2021",0.0040575373604052
"TUR","Q1.2022",0.0544843192781936
"TUR","Q2.2020",0.000280170865866835
"TUR","Q2.2021",0.00439163017232538
"TUR","Q2.2022",0.0101374032612892
"TUR","Q3.2020",0.00323376493055586
"TUR","Q3.2021",0.0147135837437654
"TUR","Q3.2022",0.0154008104843006
"TUR","Q4.2020",0.00708333676642399
"TUR","Q4.2021",0.0115329974225214
"TUR","Q4.2022",0.0177373450208748
