Country,obs_y,condA_y,obs_b,condA_b,excess_debt,comp_gap,cont_gap
AUS,-3.88949424894145,-3.73410322502349,11.6059166778625,13.4738090081148,-1.86789233025227,-0.569758029055492,60.6542410703589
AUT,-4.69477853925703,-4.14653743356531,11.4568900758468,15.1318949357064,-3.67500485985957,-1.39568960535726,68.8459045529227
BEL,-4.92050210563251,-4.13662338395253,13.4493695643124,15.0319379056311,-1.58256834131875,-0.0527689617670148,589.778021054944
CAN,-3.99592633189937,-3.83943174181699,12.4471963233602,13.6257363201373,-1.1785399967771,-0.360929009714937,74.436652469557
CHE,-4.23067569080964,-3.77207430880363,10.2340386733122,13.7166177460941,-3.48257907278194,-1.03524053927424,222.305306744706
CHL,-4.55104415253957,-3.98671637574799,16.8427135668204,15.0461388847598,1.79657468206063,1.43509965202271,39.8815632303131
COL,-5.25464364741144,-4.65872075483998,11.7231109163262,15.130348447647,-3.40723753132083,-1.06106498026331,21.1502854412931
CRI,-5.11648948966237,-4.6087224776884,11.4400801358917,15.2550581828113,-3.81497804691962,-1.38356431980867,30.2448767525109
CZE,-4.435286836653,-3.89292354362918,13.3432858992079,13.7935001905294,-0.450214291321491,0.276623547570708,53.3250941119416
DEU,-4.34602004564054,-4.15406367392246,14.6467244049293,14.3736889993924,0.273035405536856,0.4366200362727,59.9398091892193
DNK,-4.26137448124969,-3.71718227017493,14.5007101575109,14.1844883162533,0.316221841257658,0.740718170578134,82.8126671028657
ESP,-4.71799210914524,-4.30847901997887,14.0723482464418,15.4543520327182,-1.38200378627648,-0.246948117406646,1049.96291854087
EST,-3.4281400693563,-2.90564792876508,9.98161577738107,12.344498910128,-2.36288313274697,-0.567352958327319,112.495117795513
FIN,-3.34741732671173,-3.00830991034063,9.41057110856722,12.5015064079018,-3.09093529933461,-0.82224063354434,161.703473376642
FRA,-4.87355675452154,-4.20245326999719,14.0671097827347,15.1676174250179,-1.10050764228318,0.00497585892662755,206.124207370716
GBR,-4.46723078954917,-4.01001225078574,14.157135019968,16.0768058361265,-1.91967081615857,-0.489163952588115,364.403666753231
GRC,-5.5396610945137,-4.89110171695385,14.408895984079,15.9622221465616,-1.55332616248266,-0.662464335360241,14.1834232505866
HUN,-4.39356616476788,-3.78717194727244,10.6758703663142,14.002163063306,-3.32629269699182,-0.922887732277985,72.1946532406937
IRL,-4.94084499391323,-4.16329649908328,12.3867497001164,16.252323357832,-3.86557365771561,-1.29265631657546,108.664906078309
ISL,-3.43037967643185,-3.14489627569355,9.66750234732772,12.4538918831512,-2.78638953582346,-0.769325995008842,177.09269479311
ISR,-4.62319199981226,-4.52383341944915,12.340306711885,14.5355496216976,-2.19524290981259,-0.782294357870526,39.7915286787204
ITA,-6.44148166688565,-4.88033078077298,18.0868902156733,16.9026221072165,1.18426810845677,2.03814043234195,228.254947566471
JPN,-3.03247413737011,-3.16010411574383,14.5445043270385,12.383638564813,2.16086576222559,0.914534504910421,85.5321629840005
KOR,-4.15424975326136,-3.84274660118335,11.0976542282545,13.1183526579115,-2.02069842965701,-0.494790499471847,60.1099795460818
LTU,-4.15439606347201,-3.78809675501454,10.9401840659446,13.5639041874321,-2.62372012148743,-0.731796110355759,109.714412700899
LUX,-4.08118021086342,-3.73810744090174,9.50196928329797,13.4251738349612,-3.92320455166321,-1.33193698572379,119.757020801347
LVA,-3.93918929751562,-3.55397577261261,9.91522072640089,13.3172891601056,-3.40206843370467,-1.02483155595618,60.3442824422281
MEX,-4.2691883181729,-3.54035279742314,8.70108376345423,14.3657374209861,-5.66465365753185,-1.71234808480976,58.6390954063416
NLD,-4.96511147984539,-4.36072787918859,11.6432176839557,15.91255884488,-4.26934116092437,-1.48261403779657,291.088173500934
NOR,-3.96798436099787,-3.53966237343633,8.74189904613577,13.6486851961292,-4.90678614999342,-1.5390036207622,92.4972662587392
NZL,-3.1687644335121,-2.87464090614307,11.1833652645428,12.1138961781505,-0.930530913607688,-0.196122157696266,122.601109474121
POL,-4.42637371461967,-3.84661155830337,11.0247081547553,14.6391219552709,-3.6144138005155,-1.20293314245947,39.4316087182653
PRT,-4.94742422408839,-4.45441422666444,12.1886817610072,15.8965609521134,-3.70787919110618,-1.35871795702982,89.4999807571893
SVK,-4.33510162227031,-3.81019332855326,9.54948376649278,13.5604936147465,-4.01100984825374,-1.18737288615989,60.262334457245
SVN,-4.83943160016564,-4.18198707701392,12.4796965546243,14.8882316211656,-2.40853506654129,-0.669312004838361,43.6914668718318
SWE,-4.28884143990296,-3.69002469185946,9.92154857902679,14.5310158695027,-4.60946729047589,-1.47082357427945,239.528489148437
TUR,-4.80376930288738,-4.40954718730759,11.1119978764704,15.030357680143,-3.91835980367261,-1.31884293866673,40.001708312377
USA,-3.77368264262563,-3.68436665624201,13.9259490757125,13.8092556283848,0.11669344732769,0.183628099724388,220.451285154061
