Country,Year,Cyclically-adjusted.current.disbursements.of.general.government.as.a.percentage.of.potential.GDP,"Cyclically-adjusted.current.disbursements.of.general.government.excluding.gross.interest.payments,.as.a.percentage.of.potential.GDP",Cyclically-adjusted.current.receipts.of.general.government.as.a.percentage.of.potential.GDP,Cyclically-adjusted.direct.taxes.on.business,Cyclically-adjusted.direct.taxes.on.households,Cyclically-adjusted.general.government.net.lending,Cyclically-adjusted.general.government.net.lending.as.a.percentage.of.potential.GDP,Cyclically-adjusted.total.direct.taxes.received.by.general.government,"Employment.rate.gap,.percentage.points","Employment.rate,.supply.definition,.as.a.percentage.of.population.aged.15-74",Net.one-offs.of.general.government,Net.one-offs.of.general.government.as.a.percentage.of.potential.GDP,Output.gap.as.a.percentage.of.potential.GDP,Potential.employment.of.total.economy,Productive.capital.stock.scrapping.rate,"Productive.capital.stock,.volume","Productive.capital.stock,.volume,.annual.average",Ratio.of.potential.to.actual.real.GDP.of.the.total.economy,Trend.employment.coefficient,"Trend.employment.rate,.as.a.percentage.of.population.aged.15-74",Trend.labour.efficiency,"Trend.working-age.population,.age.15-74",Underlying.general.government.net.lending,Underlying.general.government.net.lending.as.a.percentage.of.potential.GDP,Underlying.general.government.primary.balance,Underlying.general.government.primary.balance.as.a.percentage.of.potential.GDP
AUS,2015,34.3285402388739,33.4783322732818,34.6411522447558,75104512237.2875,200406883559.048,-13367260339.7795,-0.811924896893762,,-0.772121744339813,66.1781416367504,10969591584.1633,0.666290944407936,-0.380996704067826,11885514.2610212,4.480313112,6673467534612.73,6604003518535.21,1.00382453840595,1.00000000000002,66.9502633810903,94936.1368925427,17752752.0591924,-24336851923.9428,-1.4782158413017,-18500851923.9428,-1.12373829109113
AUS,2016,34.6059111878258,33.7723200632085,34.649296387849,76298362991.5647,206899299191.132,-25716830217.2779,-1.51148130017667,,-0.844792538411369,66.3160774613768,3198188083.71099,0.187970346350433,-0.0838849112710371,12099550.5724978,4.51037366,6843075249938.18,6779832296730.36,1.00083955337131,1.00000000000001,67.1608699997882,95385.7496462784,18015774.0251667,-28915018300.9889,-1.6994516465271,-22775018300.9889,-1.33857920989027
AUS,2017,33.9071060347382,33.0056546093073,35.1003480226305,90450461894.3905,218077350952.888,-11804411972.1762,-0.654848432678401,,-0.703790804554757,66.6639099390875,199886755.231937,0.0110886953696071,0.0528993191754035,12311622.5851348,4.543884563,7019238122087.85,6952009516502.8,0.999471286494091,1.00000000000001,67.3677007436423,95824.708904443,18275260.1754732,-12004298727.4082,-0.665937128048008,-3989298727.40817,-0.22130590030971
AUS,2018,33.8837836716945,32.9267607044163,34.9957246010196,93152561226.779,229820334827.139,-16644150828.79,-0.882020949079883,,-0.197813077719331,67.4002628679496,53303134.7285164,0.0028246848977633,0.601621972622768,12527237.159572,4.578092828,7196682889750.19,7131334840709.06,0.994019758719333,1.00000000000001,67.5980759456689,96232.8181857325,18531943.3790402,-16697453963.5185,-0.884845633977646,-6959453963.51852,-0.368801283593427
AUS,2019,33.8491260102357,33.2562534549007,34.714176459997,98167578083.9134,241967108607.059,-25883458985.567,-1.29810966725293,,0.106771503354253,67.9941428121081,0.0,0.0,0.17685176878961,12754069.1442114,4.60970676,7351406815961.35,7293829545250.89,0.998234604445368,1.00000000000001,67.8873713087538,96604.8450304542,18787101.1917747,-25883458985.567,-1.29810966725293,-21703458985.567,-1.08847391446799
AUS,2020,42.2550322586814,41.8897879717498,35.9903251871245,112858245907.421,276580271943.804,-178814558837.978,-8.67107350046004,,-2.21688625637025,66.0275901669608,0.0,0.0,-4.02727526402855,12995601.600829,4.637100149,7485618438490.91,7432689573932.11,1.04196270633253,1.00000000000001,68.2444764233311,96950.000956971,19042715.6627524,-178814558837.978,-8.67107350046004,-176855558837.978,-8.57607769532097
AUS,2021,36.8503513705308,36.3228691795999,35.9017715236345,138344537005.596,269617894037.101,-75500073084.0161,-3.38905925045603,,-0.516369219659708,68.0781021556179,0.0,0.0,-0.961011402958556,13239828.079216,4.658884058,7662097207069.68,7596705827380.66,1.0097033644686,1.00000000000001,68.5944713752776,97282.7369313345,19301596.4898708,-75500073084.0161,-3.38905925045603,-69844073084.0161,-3.13517182574786
AUS,2022,35.1452390722981,33.9397377509769,35.8020597849759,153806750071.463,300524528565.9,-44087449919.6595,-1.78832550356196,,1.39014306738345,70.3345923624609,0.0,0.0,0.642875383333008,13490371.4710963,4.67490404,7841260655360.38,7773431891232.79,0.993612311046516,1.00000000000001,68.9444492950775,97596.548789705,19567016.0673247,-44087449919.6595,-1.78832550356196,-24136449919.6595,-0.979050252065622
AUS,2023,35.4766400303813,33.9755691111486,36.8685883868399,160284761209.605,349081052501.091,-24072257090.9177,-0.922108421336706,,1.79347249836629,71.0378983859283,0.0,0.0,0.358355692237677,13738084.8390429,4.686777124,8040163317247.87,7964425432460.68,0.996429239102556,1.00000000000001,69.244425887562,97889.3384360742,19839986.6313436,-24072257090.9177,-0.922108421336706,-3845257090.91768,-0.147295865624402
AUS,2024,36.3211771738801,34.6951460179087,36.6740032751006,155322553033.723,370566567025.337,-47935723591.7563,-1.75290224932129,,2.01320268538139,71.5576292183277,0.0,0.0,-0.775469167863452,13991467.7018592,4.696124433,8239396708041.35,8165483239662.04,1.00781529689644,1.00000000000001,69.5444265329463,98143.850716008,20118747.683153,-47935723591.7563,-1.75290224932129,-25882216165.9688,-0.946454784351036
AUT,2015,48.9612694399311,46.6662110544766,50.7100702420022,8549589099.74064,42362192047.0818,3659371800.45097,1.04387556381887,,-0.453785588081914,64.4405625463627,-1750000000.0,-0.499206513111867,-2.47737051333746,4324160.69845764,4.480313112,1430518445782.85,1424680060514.48,1.02540303236672,1.03383682238353,64.8943481344446,40636.9107019934,6663385.67651388,5409371800.45097,1.54308207693074,11783041800.451,3.36124069203115
AUT,2016,49.0268812804143,46.9567297477394,49.0863412567915,9006890422.26782,37626063845.3167,-2518661586.56071,-0.699391342015954,,-0.393386990933067,64.7669237166529,-700000000.0,-0.194378610458617,-1.26054478681293,4365902.20909691,4.51037366,1447706832687.05,1441160011711.28,1.01276637372661,1.03559971024825,65.160310707586,40566.1483456256,6700247.68403788,-1818661586.56071,-0.505012731557337,4167948413.43929,1.1573714586679
AUT,2017,48.7152677984913,46.8660080835616,48.8550054325098,9407372095.9287,38073612806.21,-3277983487.24087,-0.89327165489254,,0.186488559111368,65.7489130228269,0.0,0.0,0.198848366207383,4408330.78045267,4.543884563,1466954378073.5,1459461905930.53,0.998015462558206,1.03754868224474,65.5624244637156,40469.1161226005,6723867.85039103,-3277983487.24087,-0.89327165489254,2226566512.75913,0.606753743977758
AUT,2018,49.0945924450684,47.4357283640764,49.1432077207405,10385242394.373,39805174980.7167,-2745130649.0305,-0.727596529772183,,0.657122220790001,66.7337194799052,0.0,0.0,1.56464246105768,4454573.82684443,4.578092828,1488514065391.23,1480108052649.13,0.984594614590825,1.03963388875583,66.0765972591152,40367.9433322941,6741530.30213724,-2745130649.0305,-0.727596529772183,2303419350.9695,0.610521006338041
AUT,2019,49.3106272461132,47.8478077258027,49.3594880265402,10488285958.1253,41191071395.815,-3026375879.02136,-0.781997274949472,,0.701606057549057,67.3253125268748,0.0,0.0,2.24459173946054,4503849.01370348,4.60970676,1512532545759.97,1503990452910.29,0.978046841390103,1.04178725125106,66.6237064693257,40267.0234739633,6760129.7681886,-3026375879.02136,-0.781997274949472,1625134120.97864,0.419924855614318
AUT,2020,52.7964517867908,51.5236641521175,49.3637465174375,9798715035.0624,44400352609.269,-17863427770.9988,-4.45456168891842,,-1.03888485284091,66.0360096538995,0.0,0.0,-5.36491933509628,4551940.99578027,4.637100149,1530437082962.03,1523490970051.35,1.05669059821583,1.04393371784161,67.0748945067404,40186.4894270154,6786355.80309835,-17863427770.9988,-4.45456168891842,-13596007770.9988,-3.39040502838174
AUT,2021,53.6288327090917,52.5451085335685,50.1662908794285,12150712961.6441,45936922797.4919,-18791797006.1035,-4.5486121743157,,-0.379924730154016,67.0268710734988,418100000.0,0.1012023889713,-1.7205910316373,4600719.37689236,4.658884058,1552433080648.1,1544437972453.52,1.01750713653753,1.0459955699982,67.4067958036528,40146.3029375884,6825304.95930063,-19209897006.1035,-4.649814563287,-15557247006.1035,-3.76567941361941
AUT,2022,52.086587152425,51.114660496739,49.288700073582,14916104681.5007,46353697226.2216,-20872885571.4737,-4.76367193753735,,0.413260808447021,68.0648050884421,903800000.0,0.206267920283639,2.27895932892741,4649975.3319631,4.67490404,1573433685327.8,1565731394016.85,0.977718199873365,1.04784436012343,67.6515442799951,40186.449240526,6873420.82350383,-21776685571.4737,-4.96993985782099,-18393735571.4737,-4.19787296146833
AUT,2023,50.8214298962758,49.6177103021027,49.638556532052,16000711818.2802,49700919959.6408,-13029869226.5751,-2.75600096899105,,0.319750140415309,68.1784424992556,888700000.0,0.187972574287005,0.240102537139286,4690807.08696829,4.686777124,1590465687482.6,1584470523894.2,0.99760472574287,1.0494671092444,67.8586923588403,40307.0085882476,6912610.49087574,-13918569226.5751,-2.94397354327806,-10236499226.5751,-2.16516384753714
AUT,2024,51.5042227946106,50.0393785272697,50.5427314749168,16947090901.3077,52319317699.1137,-12040185924.0657,-2.45885892156401,,0.148685783865219,68.1523778264747,649700000.0,0.13268238974176,-1.22694795913026,4714660.55689567,4.696124433,1603284540227.7,1598617047348.77,1.01242188971363,1.05089264343173,68.0036920426095,40488.3901268947,6932947.92574141,-12689885924.0657,-2.59154131130577,-8115094981.43296,-1.65727288766798
BEL,2015,52.6665871135906,49.6822195849491,50.6108366772451,13975460529.5882,54022347438.0745,-10396691807.2586,-2.50295982309896,,-0.180258249616536,55.217221894394,-1486866751.68371,-0.35795691656145,0.0390257066915867,4625409.65823377,4.480313112,1720698984366.13,1711257635025.05,0.999609895174249,0.983015482182716,55.3974801440105,51115.4958728744,8349494.68136389,-8909825055.57493,-2.14500290653751,2193274944.42505,0.528021717742253
BEL,2016,52.2569644402222,49.4857745698176,50.1653447862283,15193994475.994,53696475247.8461,-10191380416.1222,-2.37674361403378,,-0.050942598145312,55.5877758665769,-300000000.0,-0.0699633469752705,-0.0766920507069724,4668171.96269031,4.51037366,1750443186910.43,1739157263634.37,1.00076750912556,0.983121247918767,55.6387184647222,51231.4978085693,8390150.04569196,-9891380416.12222,-2.30678026705851,679419583.87778,0.158448226962117
BEL,2017,51.2412939600877,48.8307060395643,50.7185986571836,18462451345.9776,55576505930.7732,-3154965823.85492,-0.711007207224926,,0.169043366351133,56.1470744559199,1850000000.0,0.416918409518277,-0.0731984318315448,4720278.16901064,4.543884563,1779589809072.97,1768635931205.73,1.00073252051184,0.983246941764996,55.9780310895687,51355.4097086244,8432376.19675809,-5004965823.85493,-1.12792561674321,4387234176.1451,0.988712808055483
BEL,2018,51.3469790218134,49.163887090146,50.6427000897747,20061614084.3735,56814544121.3621,-5590034758.67218,-1.21953451474405,,0.300337693228336,56.6801693219339,3500000000.0,0.763567846332687,0.243761181008462,4778322.76385752,4.578092828,1810069592464.7,1798357261326.94,0.997568315692302,0.983390422325284,56.3798316287056,51489.7619667045,8475234.18538316,-9090034758.67215,-1.98310236107673,-408834758.672139,-0.089192307481494
BEL,2019,51.351944543181,49.3217573310251,49.0422930206684,17644842430.4117,56007390822.5432,-13132006076.6078,-2.76772042141608,,0.467404379909169,57.2723283113646,0.0,0.0,1.04851533762049,4838842.50325164,4.60970676,1843500673294.77,1830864570400.01,0.989623644304746,0.983549292505707,56.8049239314554,51627.8888573621,8518350.46745333,-13132006076.6078,-2.76772042141608,-4727306076.60783,-0.996333803851813
BEL,2020,53.1812865545996,51.324681831503,49.0109608660421,17787177185.9556,61063383954.093,-23721408133.1839,-4.84506037843296,,-0.252808580490992,56.9692526612902,500000000.0,0.102124215207427,-5.27958614668115,4899610.66646853,4.637100149,1869059888197.12,1858799334198.5,1.05573863047998,0.983719941348576,57.2220612417812,51797.3591814835,8562450.49573825,-24221408133.1839,-4.94718459364038,-16293208133.1839,-3.32786218762534
BEL,2021,52.6981402646153,51.0204023854188,48.7026636393058,20125808446.4295,60759419990.6493,-23712722357.8184,-4.63715282489193,,-0.0221615720050608,57.5995821515748,770000000.0,0.150577720317697,-1.04440931676096,4961932.03517763,4.658884058,1897736635626.23,1887356619735.56,1.01055432350562,0.983897277534809,57.6217437235798,52024.9152953647,8611214.64664584,-24482722357.8184,-4.78773054520963,-17151722357.8184,-3.35411331449659
BEL,2022,51.8983554419381,50.3053363437883,47.8676443810172,21460022179.0107,67761906057.7925,-25622569339.2588,-4.61121199393411,,0.313928447425447,58.3208409481809,0.0,0.0,1.41914235912333,5025285.03062528,4.67490404,1926795266277.21,1915568412899.34,0.986007154802215,0.984075276845159,58.0069125007555,52295.4859142941,8663252.04010786,-25622569339.2588,-4.61121199393411,-18297369339.2588,-3.2929191384939
BEL,2023,52.4449230947701,50.4265957210852,48.3804451691536,23155836953.0458,71797870581.0163,-28666296522.1569,-4.85232515124207,,0.0211622773516496,58.4065564961742,0.0,0.0,0.938778684395092,5086794.30529582,4.686777124,1958371065690.09,1946987663564.06,0.990699524041891,0.984248613191083,58.3853942188225,52582.463579727,8712443.19466446,-28666296522.1569,-4.85232515124206,-19726696522.1569,-3.33912494107484
