Variable,Measurement;;;;
"GR.real.DI.pc.hh,""Chain linked volume (rebased), Calendar and seasonally adjusted, Real gross disposable income per capita of households and NPISH growth rate""";;;;
"GR.real.FC.pc.hh,""Chain linked volume (rebased), Calendar and seasonally adjusted, Real final consumption expenditure per capita of households and NPISH growth rate""";;;;
"GR.real.GDP.pc,""Chain linked volume (rebased), Calendar and seasonally adjusted, growth rate real GDP per capita""";;;;
"I.CC,""Normalized, consumer confidence, index""";;;;
"I.real.DI.pc.hh,""2007-Q1, Chain linked volume (rebased), Calendar and seasonally adjusted, Real gross disposable income per capita of households and NPISH, Index""";;;;
"I.real.FC.pc.hh,""2007-Q1, Chain linked volume (rebased), Calendar and seasonally adjusted, Real final consumption expenditure per capita of households and NPISH Index""";;;;
"I.real.GDP.pc,""2007-Q1, Chain linked volume (rebased), Calendar and seasonally adjusted, Real GDP per capita Index""";;;;
"S.CT.hh,""Current prices, Calendar and seasonally adjusted, Net cash transfers to households and NPISH, Percentage of balance of household and NPISH gross primary income""";;;;
"S.Debt.hh,""Current prices, Debt of households and NPISH, Percentage of household and NPISH gross disposable income""";;;;
"S.LUN,""Calendar and seasonally adjusted, Labour underutilisation rate, Percentage of labour force""";;;;
"S.NFW.hh,""Current prices, Net financial worth of households and NPISH, Percentage of household and NPISH gross disposable income""";;;;
"S.SR.hh,""Current prices, Calendar and seasonally adjusted, Gross savings rate of households and NPISH, Percentage of household and NPISH gross disposable income adjusted for the net change in pension entitlements""";;;;
"S.UR,""Calendar and seasonally adjusted, Unemployment rate, Percentage of labour force""";;;;
;;;;
;;;;
;;;;
;;;;OECD Data Explorer • Household indicators dashboard – indicator view
