Country,Year,GR.real.DI.pc.hh,GR.real.FC.pc.hh,GR.real.GDP.pc,I.CC,I.real.DI.pc.hh,I.real.FC.pc.hh,I.real.GDP.pc,S.CT.hh,S.Debt.hh,S.LUN,S.NFW.hh,S.SR.hh,S.UR
AUS,2015,0.53,1.09,0.86,99.67,114.2,107.32,107.21,95.29,186.54,22.56,204.12,16.03,6.06
AUS,2016,-0.09,1.04,1.07,99.94,114.1,108.44,108.35,94.59,193.64,21.94,225.23,15.09,5.71
AUS,2017,0.25,0.9,0.79,99.8,114.39,109.42,109.21,93.73,198.96,21.86,232.74,14.53,5.61
AUS,2018,1.2,0.98,1.29,100.26,115.76,110.49,110.62,93.02,199.38,21.17,223.72,14.72,5.31
AUS,2019,0.59,-0.58,0.41,99.83,116.45,109.85,111.07,92.95,197.05,20.6,263.02,15.71,5.16
AUS,2020,4.54,-6.89,-2.95,99.24,121.74,102.27,107.79,95.78,188.08,25.39,264.9,24.94,6.44
AUS,2021,3.06,4.85,5.16,100.87,125.47,107.24,113.36,94.18,191.71,20.9,282.15,23.63,5.14
AUS,2022,-2.04,5.69,2.54,98.71,122.91,113.34,116.24,92.03,193.89,15.93,254.13,17.61,3.72
AUS,2023,-5.12,0.01,-0.39,97.84,116.61,113.35,115.78,89.65,198.25,15.95,275.86,13.15,3.69
AUS,2024,,,,98.4,,,,,,,,,4.02
AUT,2015,-0.23,0.14,0.3,99.67,96.69,101.83,100.95,88.83,87.58,13.03,218.82,13.02,6.15
AUT,2016,1.34,0.53,0.83,100.17,97.99,102.37,101.78,90.7,86.73,13.18,219.94,13.74,6.45
AUT,2017,0.24,1.24,1.63,101.07,98.23,103.64,103.44,89.97,85.8,12.03,227.67,12.82,5.93
AUT,2018,0.93,0.36,1.99,101.37,99.14,104.01,105.5,88.83,85.33,10.35,222.63,13.41,5.21
AUT,2019,-0.14,0.23,1.3,100.87,99.01,104.26,106.87,88.35,86.33,9.76,230.68,13.04,4.84
AUT,2020,-0.93,-7.98,-6.73,99.55,98.09,95.93,99.67,91.72,88.4,16.76,247.8,19.15,6.03
AUT,2021,1.94,4.35,4.39,100.46,99.99,100.11,104.05,90.08,88.23,13.86,258.58,17.26,6.2
AUT,2022,0.75,3.74,4.1,97.04,100.74,103.85,108.32,90.65,82.83,11.2,225.94,14.97,4.76
AUT,2023,-1.36,-1.32,-1.8,97.35,99.36,102.47,106.37,90.59,75.58,11.6,220.32,14.91,5.11
AUT,2024,,,,98.62,,,,,,,,,
BEL,2015,-0.1,1.04,0.89,100.54,99.72,106.84,100.93,81.77,102.73,14.03,421.86,11.59,8.65
BEL,2016,0.96,1.09,0.68,100.33,100.67,108.01,101.62,83.04,104.24,13.06,425.99,11.47,7.85
BEL,2017,1.26,1.51,1.08,101.15,101.94,109.64,102.71,83.16,104.93,12.79,415.08,11.11,7.1
BEL,2018,0.84,1.15,1.42,100.8,102.79,110.91,104.17,83.36,105.18,11.84,386.23,10.87,5.96
BEL,2019,2.32,0.9,1.89,99.93,105.18,111.91,106.14,84.08,106.86,10.81,402.11,12.12,5.37
BEL,2020,0.55,-7.59,-5.2,99.63,105.76,103.41,100.62,87.76,108.89,14.86,409.04,19.07,5.54
BEL,2021,2.25,5.14,5.76,101.29,108.14,108.73,106.42,86.34,109.07,14.58,410.99,16.63,6.28
BEL,2022,-1.86,2.81,3.4,98.18,106.13,111.78,110.03,85.03,105.34,12.54,347.75,12.73,5.57
BEL,2023,1.4,-0.25,0.39,99.51,107.62,111.49,110.47,85.07,99.25,11.97,339.75,14.13,5.53
BEL,2024,,,,99.97,,,,,,,,,
CAN,2015,2.49,1.5,-0.16,,114.18,110.36,103.49,86.36,169.56,14.11,353.46,8.56,7.0
CAN,2016,-1.2,1.04,-0.02,,112.81,111.51,103.47,87.0,177.07,13.93,381.25,6.46,7.07
CAN,2017,2.65,2.43,1.79,,115.8,114.21,105.32,87.59,177.13,13.08,389.95,6.56,6.43
CAN,2018,0.26,1.21,1.31,,116.1,115.6,106.7,87.2,177.89,11.85,379.66,5.54,5.84
CAN,2019,1.27,0.11,0.43,,117.58,115.72,107.16,87.24,177.06,11.23,409.9,6.77,5.68
CAN,2020,6.35,-7.35,-6.14,,125.04,107.22,100.57,95.14,169.99,18.11,414.42,18.12,9.69
CAN,2021,0.06,5.13,5.33,,125.11,112.72,105.94,90.64,176.4,13.96,442.99,14.08,7.53
CAN,2022,-1.7,3.72,2.46,,122.99,116.91,108.54,88.03,178.26,10.18,390.04,9.12,5.28
CAN,2023,-1.23,-0.94,-1.27,,121.48,115.82,107.16,87.35,174.9,10.26,401.44,8.85,5.38
CAN,2024,,,,,,,,,,,,,6.35
CHE,2015,,1.21,0.4,100.32,,105.62,103.74,,,12.47,,,4.8
CHE,2016,,0.55,0.98,100.07,,106.2,104.76,,,12.79,,,4.92
CHE,2017,,0.22,0.43,100.63,,106.43,105.2,,,12.6,,,4.8
CHE,2018,,-0.06,2.12,100.35,,106.37,107.44,,,11.93,,,4.71
CHE,2019,,0.49,0.42,99.69,,106.89,107.89,,,11.68,,,4.39
CHE,2020,,-4.09,-2.88,98.4,,102.52,104.79,,,15.12,,,4.82
CHE,2021,,1.49,4.79,100.57,,104.04,109.8,,,13.73,,,5.02
CHE,2022,,3.4,2.17,97.01,,107.58,112.19,,,11.89,,,4.12
CHE,2023,,-0.01,-0.82,96.62,,107.57,111.27,,,11.89,,,4.04
CHE,2024,,,,,,,,,,,,,
CHL,2015,-0.37,1.34,1.1,98.77,138.37,135.48,121.53,96.62,67.94,23.81,204.96,,6.33
CHL,2016,3.55,2.16,0.63,97.81,143.29,138.41,122.29,97.3,68.54,24.3,201.04,,6.68
CHL,2017,-0.41,2.12,-0.05,99.16,142.71,141.34,122.23,96.56,72.7,24.05,208.18,,6.97
CHL,2018,2.29,1.98,2.19,101.45,145.98,144.14,124.91,96.41,75.95,23.8,207.31,,7.38
CHL,2019,1.45,-1.12,-1.22,99.55,148.09,142.53,123.38,95.87,78.36,23.81,224.04,,7.22
CHL,2020,7.14,-9.01,-7.76,95.76,158.66,129.69,113.81,117.23,69.61,35.84,202.85,,10.77
CHL,2021,8.99,19.59,10.04,98.12,172.92,155.09,125.24,121.54,67.12,25.63,185.0,,8.86
CHL,2022,-16.3,0.84,1.25,96.33,144.73,156.39,126.81,99.77,81.6,21.18,199.56,,7.88
CHL,2023,2.18,-5.84,-0.45,96.47,147.88,147.26,126.23,99.29,78.63,22.35,193.53,,8.68
CHL,2024,,,,97.23,,,,,,,,,8.46
COL,2015,,2.11,1.97,100.34,,127.46,125.46,,,,,,8.95
COL,2016,,0.48,0.98,97.67,,128.08,126.69,106.43,45.02,,74.57,7.44,9.23
COL,2017,2.46,0.78,0.1,97.28,,129.08,126.82,105.98,46.04,,90.71,9.09,9.3
COL,2018,1.59,1.45,0.79,99.3,,130.95,127.81,107.26,46.44,,99.39,8.79,9.53
COL,2019,0.25,1.74,0.88,98.29,,133.23,128.93,107.36,49.6,,107.29,7.45,10.37
