Country,Year,Compensation.rate.total.economy,Dependent.employment.total.economy,Employment.country.specific,General.government.employment,Hours.worked.per.worker.total.economy,Labour.force,Labour.force.participation.rate.as.a.percentage.of.population.aged.15-74,Labour.productivity.total.economy,Total.employment.(labour.force.survey.basis),Total.employment.(national.accounts.basis),Total.population,Total.self-employed,Unemployment.rate,Unemployment.level,Unit.labour.cost.in.total.economy,Wage.rate.total.economy,Working-age.population.age.15-74
AUS,2015,75640.2393752781,10553218.8500833,,,1671.31999722177,12524529.4954417,70.4429032895231,0.970082256789831,11766268.1147083,,23816000.0,1213049.26462502,6.05421050754297,758261.38073335,0.881479152504647,67707.3042974332,17779689.5224
AUS,2016,76395.3264288698,10761260.3863333,,,1663.36951904453,12690923.1170416,70.3349302680778,0.979791481599049,11965779.1267917,,24190900.0,1204518.74045832,5.71387899495082,725143.99025,0.883846400170012,68239.3115338613,18043556.8339528
AUS,2017,77345.981228096,11003196.1129333,,,1670.02386185106,12944694.4720083,70.6213090302855,0.983123245779283,12219313.9481583,,24592588.0,1216117.83522497,5.60368980062503,725380.523850001,0.892942156075079,69106.6479407943,18329728.873274
AUS,2018,79025.5035666958,11329216.0073917,,,1661.02272970755,13240759.916825,71.1777250015056,0.985684823366392,12538061.5768,,24963258.0,1208845.56940833,5.30708467217246,702698.340024975,0.913103839546329,70683.4435390348,18602392.6959522
AUS,2019,81439.753534863,11594828.8030583,,,1655.49553626368,13529027.7029666,71.6964691214407,0.980536729451535,12830403.686775,,25334826.0,1235574.88371665,5.16388931658763,698624.016191676,0.946058761269253,72761.8332560003,18869866.0739498
AUS,2020,84847.37775541,11421012.9486083,,,1618.35555576059,13471113.0472667,70.5700844799417,0.976732965781046,12603996.97595,,25649248.0,1182984.0273417,6.43685542741838,867116.07131665,0.992157044813986,75651.3458033757,19088985.2924799
AUS,2021,87708.7583417839,11746831.4394,,,1627.77326722286,13689943.8094167,71.7668522364378,1.0,12986293.311175,,25685412.0,1239461.87177505,5.13990786257038,703650.498241675,1.0,78127.9619729421,19075580.6933189
AUS,2022,91153.798304435,12349523.7822167,,,1632.97071284252,14091715.3348167,73.0528947491037,0.994613786075832,13567361.8022416,,26014399.0,1217838.020025,3.72100571233845,524353.532575,1.0514693257905,81044.9064798151,19289742.5669632
AUS,2023,95795.4796263373,12809341.3675298,,,1651.36944533186,14562565.1242028,73.7571116161027,0.980937189075078,14025685.1016077,,26648878.0,1216343.73407785,3.68671328173434,536880.0225952,1.12415977183275,84947.9273585663,19743947.1328532
AUS,2024,99184.4255509925,13181165.7112144,,,1626.29083104055,15001444.7923005,74.6244334170664,0.966872648103644,14384937.6810297,,27127237.7495232,1203771.96981528,4.1096515689422,616507.111270775,1.18479046605199,87826.1935603149,20102591.2095832
AUT,2015,43710.7783407304,3742125.25,,,1516.97768841561,4400025.0,66.0660368255154,0.993984233960907,4148250.0,4291767.75,8629519.0,549642.499999999,5.72212657882625,251775.0,0.869391355088603,36006.2846399917,6660040.78861389
AUT,2016,44726.5844605089,3799374.75,,,1527.43427302867,4490200.0,66.8847098875888,1.00241015416334,4220175.0,4348025.74999999,8739806.0,548650.999999994,6.0136519531424,270025.0,0.884024839554112,36849.7093159868,6713343.0159846
AUT,2017,45440.5882589206,3871535.0,,,1517.44885090058,4508025.0,67.048998991934,1.00960812168691,4260100.0,4420614.0,8795073.0,549079.000000005,5.49963675889109,247925.0,0.893749620744532,37447.8638767311,6723478.4527392
AUT,2018,46738.7533004277,3956760.0,,,1520.20539081772,4539075.0,67.3320884835569,1.01565435148118,4319025.0,4498736.99999999,8837707.0,541976.999999994,4.84790403331081,220050.000000003,0.917707879064395,38471.6381271546,6741325.12777839
AUT,2019,48015.4924437741,4010682.75,,,1521.80360275675,4559200.0,67.4583886691125,1.02204497450167,4354650.0,4550206.0,8877637.0,539523.249999999,4.48653272503948,204550.0,0.938907477071119,39584.818764835,6758536.76606946
AUT,2020,48892.4312646331,3931164.0,,,1416.46586140291,4540300.0,66.9887734670887,0.971412877525759,4296825.0,4475724.50000001,8916845.0,544560.50000001,5.36253111027906,243475.0,1.00235084219558,40326.4691160176,6777702.83737263
AUT,2021,50288.2317890827,4003635.5,,,1450.46907736224,4589575.0,67.3870360110695,1.0,4305875.0,4565045.0,8951520.0,561409.500000005,6.18140023858418,283700.0,1.0,41517.1748462116,6810768.46776
AUT,2022,52745.3981364766,4120715.75,,,1447.71077327644,4663550.0,67.7685180844743,1.02685596946825,4442450.0,4683939.25,9052856.00000001,563223.500000004,4.74102346924553,221100.0,1.02461477152572,43613.8179266551,6881587.69266111
AUT,2023,56298.1208832833,4167292.5,,,1447.38638487839,4723750.0,68.1911063040728,1.00992793645957,4482900.0,4722872.75,9133299.00000001,555580.250000005,5.09870336067743,240850.0,1.11525818581514,46687.7528258455,6927223.00021971
AUT,2024,61016.7054977168,4169059.6550232,,,1423.8155286255,4732334.92285632,68.2331012031379,1.00366433402273,4491911.61218633,4726736.31971887,9156955.79564549,557676.664695667,5.08043734412761,240423.310669985,1.21579726776324,50617.5715086833,6935541.31266525
BEL,2015,54210.6462047107,3841275.0,,870000.0,1427.73755702833,5131086.69096408,61.4919918338221,0.992897556128672,4687225.0,4607500.0,11274000.0,766225.0,8.65044224931387,443861.690964078,0.918483277118125,39542.4435896935,8344316.9394
BEL,2016,54617.5428214908,3886775.0,,872600.0,1433.53724023246,5149112.64669624,61.3541227748813,0.992325804533068,4745325.0,4665175.0,11331000.0,778400.000000001,7.84188799899945,403787.646696235,0.925295370043432,40476.2817502943,8392447.6690657
BEL,2017,55666.6032736171,3943650.0,,880300.0,1437.17799853469,5184174.48572644,61.4752802818595,0.992139808042496,4815650.0,4734850.0,11375000.0,791200.0,7.10864356014827,368524.485726442,0.942963843591421,41303.8428866659,8432941.60182336
BEL,2018,56682.7542672142,3999975.0,,887100.0,1441.6718619443,5196648.86017278,61.307746503461,0.996139630351578,4886150.0,4804400.0,11427000.0,804425.0,5.97498250367563,310498.860172783,0.955938384031229,42266.9141682136,8476333.18226664
BEL,2019,57856.9186357845,4061675.0,,897500.0,1440.66220006899,5244608.84525224,61.5470119253687,1.00459318950937,4962725.0,4880350.0,11489000.0,818675.0,5.37473534384593,281883.845252242,0.967164453638438,43172.4596379573,8521305.39109162
BEL,2020,57142.7687548337,4040625.0,,904100.0,1351.71552481265,5248567.23989231,61.3338160334345,0.957477897796626,4956225.0,4875075.0,11539000.0,834450.0,5.5699436918772,292342.239892315,0.998115551243309,42476.1515854602,8557379.23926207
BEL,2021,59963.5839984379,4097100.0,,918600.0,1411.64313776811,5374838.25264891,62.4510192009516,1.0,5038075.0,4957300.0,11586000.0,860200.0,6.26555138627552,336763.252648911,1.0,44853.6525835347,8606486.04525418
BEL,2022,64457.8955246221,4175625.0,,929900.0,1445.82293967944,5435721.17099365,62.7403145472445,1.02262870349831,5133550.0,5052825.0,11680000.0,877200.0,5.55898953401275,302171.170993652,1.05105739181041,48337.9853315372,8663841.12068878
BEL,2023,69594.6352454387,4205225.0,,937372.600379302,1446.57247572984,5475003.473586,62.7950808211788,1.02738668398823,5172050.0,5092375.0,11760000.0,887150.0,5.53339326719321,302953.473586002,1.1287343604243,52294.7761415858,8718841.35188413
BEL,2024,71872.1990544341,4212743.30264,,940164.955051904,1444.69221017363,5493524.02354788,62.7523761018196,1.03420973144621,5184345.75,5104725.85,11799514.9296811,891982.547360002,5.62804990426166,309178.273547878,1.15724667554938,53886.3485573639,8754288.46651845
CAN,2015,67465.9252551157,15220216.6666667,,3535175.0,1710.24013774025,19242458.3333334,70.0928970389631,0.971230847457359,17905275.0,,35704498.0,2685058.33333335,6.94912942083365,1337183.33333333,0.881558525999845,58107.5794365608,27452793.572845
CAN,2016,66990.3080528383,15322858.3333333,,3539908.33333334,1701.50424683819,19377225.0,69.8814568767842,0.975352337348818,18014783.3333333,,36110803.0,2691925.0,7.03114954110651,1362441.66666667,0.872188762126537,57439.5221083099,27728707.8232587
CAN,2017,68299.169045799,15665725.0,,3605666.66666667,1689.0047123218,19661200.0,70.1452622955414,0.983856067521104,18400891.6666667,,36545075.0,2735166.66666665,6.4101292562678,1260308.33333333,0.882357901852468,58860.4676770465,28029262.9274974
CAN,2018,70841.0324912584,15908125.0,,3681850.0,1702.44489101398,19889700.0,69.9967452646368,0.993139054944162,18728908.3333333,,37072620.0,2820783.33333335,5.83614467119489,1160791.66666665,0.90454598435626,61095.947385377,28415178.3412257
CAN,2019,72135.3692551652,16285825.0,,3765450.0,1690.91174229514,20270033.3333333,70.3355988971056,0.991679660216762,19114425.0,,37618495.0,2828599.99999997,5.70106775025868,1155608.33333335,0.925283199624253,62309.2679676959,28819024.2937812
CAN,2020,75832.709653154,15310108.3333333,,3730133.33333333,1651.86759400247,19978933.3333333,68.6307477907923,0.997411578399778,18047083.3333333,,38028638.0,2736975.0,9.66943513834573,1931850.0,0.962947714458263,65412.8144749684,29110761.5412195
CAN,2021,77872.920593391,16301225.0,,4026050.0,1687.0907945524,20487775.0,70.0645560736668,1.0,18952041.6666667,,38239864.0,2650816.66666667,7.49585220129235,1535733.33333333,1.0,67419.9825473237,29241282.8227426
CAN,2022,81278.3883052426,17050375.0,,4175600.0,1686.06627832958,20796825.0,69.9720325644643,0.998699395025145,19701608.3333334,,38939056.0,2651233.33333338,5.26626860911064,1095216.66666668,1.0515304372636,70592.9201557152,29721624.8232323
CAN,2023,84287.6517683401,17523966.6666666,,4255000.0,1685.01767290847,21330275.0,69.7406606748353,0.987344044649863,20177083.3333333,,40097761.0,2653116.66666667,5.4063609900326,1153191.66666667,1.10692646782831,73212.6726993127,30585134.688431
CAN,2024,87262.7479194325,17843966.8683334,,4424913.24583333,1684.19701473444,21888718.2066667,69.8243547196733,0.982423257146664,20506993.8808333,,41107711.1252219,2663027.01249997,6.31249538135366,1381724.32583335,1.15390207354421,75756.3462673637,31348257.058077
CHE,2015,87848.3102114295,4429845.15525,,,1576.61996224314,4766715.00370448,74.8601000195304,0.938132035269754,4537292.09536784,4899154.8135166,8282396.0,469309.658266596,4.81301919998029,229422.908336638,0.998518422038697,74228.7516165885,6367497.50863394
CHE,2016,87575.9487299603,4497976.0745,,,1577.04416248938,4842461.68391514,75.2587218245833,0.944576870236438,4604244.96384395,4967268.17868889,8373338.0,469292.104188891,4.91933102666455,238216.72007118,0.990070979565802,73973.3557633445,6434419.24937575
CHE,2017,87901.7654452312,4543204.5175,,,1559.09025293729,4870072.02966902,75.1609232625095,0.949472808614194,4636501.12735508,5012550.00618779,8451840.0,469345.488687791,4.7960461547797,233570.902313943,0.989550332084164,74129.2234381566,6479526.61871868
