Country	Total spending LC	Total spending USD	Non-Health Spending amount LC	Description	IS	BS	Workforce	C/S	Investment	Sector Supp.	Gov Cons
											
Australia	342	236	239.2		"Payments to lower-income Australians (pensioners, other social security and veteran income support recipients, and eligible concession cardholders

Women’s economic support package

Discount utility bills

Cash payments to vulnerable households, as well as the new home care package for the senior citizens

Pandemic Leave Disaster State and Territory governments, which provides a lump sum payment to help workers during their 14-day self-isolation period "	"Measures include tax-free cash flow assistance

Extension of aviation and tourism support"	"Wage subsidies

JobMaker program, comprising job hiring credit
 Infrastructure projects, and others for job creation

Programs for job creation at state and local government levels

Arts industry for job creation "	Home Builder program  (support confidence in the residential construction sector) 	"Spending on infrastructure

Investment in construction and infrastructure projects

The Commonwealth government will help finance fast-track infrastructure projects across States and Territories "		
Canada	290	216	289.9		"Recovery benefits, and enhanced employment insurance (CAN 120.2 bn) 

Others, including support to students, seniors, and vulnerable groups (CAN 22.9 bn)"	"Emergency business account with 25% loan forgiveness (CAN 13.8 bn)

Emergency rent subsidy (CAN 8.4 bn)

Others, including sector-specific support and sub-nationals support (CAN 14 bn)"	Wage subsidies and protecting jobs  (CAN 110.5.2 bn)				
Chile	25400	32	24199		Cash transfers for the most vulnerable						
Colombia	46304	12.5	30037		"Expanded transfers for vulnerable groups including expanded social programs and support to workers in the informal sector

Support for recently unemployed workers "		Payroll subsidy for three months equivalent to 40 percent of the minimum wage per worker for businesses with a revenue fall above 20 percent and a subsidy worth 50% of June's bonuses for employees earning minimum wage for businesses with a revenue fall above 20 percent 		Increased infrastructure spending to support the recovery 		
Costa Rica			0.8000		Monatlicher Zuschuss von ¢125.000 an Haushalte, die durch die Pandemie finanziell betroffen sind (IS).						
Germany	516	589	346		"Temporary relief to affected (Mieter) tenants

Income support for families"	Grants to hard hit small businesses and self-employed	"Increased access to childcare and basic social security benefits

There is also support to firms and households provided through the “Kurzabeit” program, part of which is considered discretionary because the program parameters have been changed"		Incentivizing green and digital investment		
Spain	94.2	107	74.14	"
"	"Unemployment benefit for workers temporary laid off under the ERTE due to COVID-19, with no requirement for prior minimum contribution or reduction of accumulated entitlement (about €21.7 bn),

Introduction of a new means-tested ""minimum income scheme""(about €3 bn annually) and new rental assistance programs for certain vulnerable renters and additional state contribution to the State Housing Plan 2018-21, 

Various measures to expand existing benefits for workers and other support for households and firms."	"Exemptions of social contributions for companies that maintain employment under the ERTEs (about €7.7 bn)

An allowance for self-employed workers affected by economic activity suspension (about €6.5 bn), and exemption of social contributions for self-employed that receive this benefit (about €3.3 bn, 

Corporate solvency support (€10 bn)

Measures taken by regional governments  support to firms (about €5.5 bn)

Various measures to expand existing benefits for workers and other support for households and firms (IS,BS); "		Measures taken by regional governments on social services and education			
United Kingdom	407	522	271		"Support for low-income households by temporarily increasing Universal Credit and Working Tax Credit by £20 per week in 2020-21. The increase to Universal Credit was extended by a further 6 months from April 2021 and a one-off payment of £500 was provided to eligible Working Tax Credit claimants in April 2021

Rent support by increasing the Local Housing Allowance

Support for low-income people in need to self-isolate"	"Grant support for sectors impacted by local and national restrictions

Entitle every diner to a 50% discount of up to £10 in August "	"Paid sick leave for self-isolating individuals and compensation for small firms needing to close for over 2 weeks, and support for low-income people in need to self-isolate

Coronavirus Job Retention Scheme to subsidise furloughed employees' wages (initially for 3 months and extended several times until September 2021) and firms' social security contributions (until the 1st August 2020)

Income support for the self-employed, Cover the cost of 25 hours' work a week at the National Minimum Wage for six months for hired unemployed up to 24 years old

Boost of Active Labour Market Poilicies, including 250,000 subsidized jobs for young people, Funding of 40,000 traineeships and doubling the number of work coaches to 27,000"	Government support for charities	Public sector and social housing decarbonization and Green Homes Grant		
Greece			31.54717392		"Barzuschüsse und volle Deckung der Renten

Gesundheitsleistungen für Arbeitnehmer in stark betroffenen Unternehmen

Arbeitslosenunterstützung

Zuschüsse zu Hypothekenzahlungen und Elternurlaub "	Unterstützung für kurzfristige Beschäftigung					
