Country;Year;ab_us;on_us;health_us;nhealth_us;acc_us;of_us;be_us;gu_us;qf_us;ab_per;on_per;ab_ppp;on_ppp;health_per;health_ppp;nhealth_per;nhealth_ppp;acc_per;acc_ppp;of_per;of_ppp;be_per;be_ppp;gu_per;gu_ppp;qf_per;qf_ppp;;real_gdp_per;total_netspend_usd;total_moving_usd;share_onw0_mo;share_on_mo;share_onw0_t;share_on_t;share_nhealth_mo;share_nhealth_t;share_health_mo;share_health_t;share_acc_mo;share_acc_t;share_nhealth_on;share_health_on;share_of_mo;share_of_t;share_be_mo;share_be_t;share_gu_mo;share_gu_t;share_be_of;share_gu_of;total_intensity_per;total_mo_per
AUS;2020;218.44778;218.44778;11.46091;206.98687;0.00000;24.16458;10.35625;13.80833;0.00000;16.17785;16.17785;17.81043;17.81043;0.84877;0.93443;15.32908;16.87601;0.00000;0.00000;1.78959;1.97018;0.76697;0.84436;1.02262;1.12582;0.00000;0.00000;;1226.51571721458;242.61235636411800000000000000;242.61235636411800000000000000;90.039841%;90.039841%;90.039841%;90.039841%;85.315879%;85.315879%;4.723961%;4.723961%;0.000000%;0.000000%;94.753477%;5.246523%;9.960159%;9.960159%;4.268640%;4.268640%;5.691520%;5.691520%;42.857143%;57.142857%;19.780615%;19.780615%
CAN;2020;303.34856;240.10444;39.21135;200.89308;63.24412;65.92269;3.86905;62.05364;0.00000;18.50397;14.64614;17.78914;13.93131;2.39186;2.27512;12.25429;11.65619;3.85783;3.66954;4.02122;3.82496;0.23601;0.22449;3.78521;3.60047;0.00000;0.00000;;1723.48815255626;306.02713176974400000000000000;306.02713176974400000000000000;78.458546%;78.458546%;78.458546%;78.458546%;65.645514%;65.645514%;12.813032%;12.813032%;20.666180%;20.666180%;83.669042%;16.330958%;21.541454%;21.541454%;1.264284%;1.264284%;20.277170%;20.277170%;5.869074%;94.130926%;17.756265%;17.756265%
FRA;2020;260.66232;198.05783;20.26109;177.79675;62.60449;404.65264;23.90353;380.74911;0.00000;10.14747;7.71030;9.25009;6.81292;0.78875;0.69695;6.92155;6.11597;2.43716;2.15351;15.75294;13.91951;0.93055;0.82225;14.82239;13.09726;0.00000;0.00000;;2907.09024981028;602.71047750105500000000000000;602.71047750105500000000000000;32.861190%;32.861190%;32.861190%;32.861190%;29.499528%;29.499528%;3.361662%;3.361662%;10.387158%;10.387158%;89.770115%;10.229885%;67.138810%;67.138810%;3.966006%;3.966006%;63.172805%;63.172805%;5.907173%;94.092827%;20.732431%;20.732431%
DEU;2020;417.74267;417.74267;45.53054;372.21214;0.00000;1054.37340;113.82634;940.54706;0.00000;11.03371;11.03371;10.03758;10.03758;1.20258;1.09401;9.83112;8.94357;0.00000;0.00000;27.84883;25.33465;3.00646;2.73504;24.84237;22.59961;0.00000;0.00000;;4161.78471555813;1472.11607280853000000000000000;1472.11607280853000000000000000;28.377020%;28.377020%;28.377020%;28.377020%;25.284157%;25.284157%;3.092863%;3.092863%;0.000000%;0.000000%;89.100817%;10.899183%;71.622980%;71.622980%;7.732158%;7.732158%;63.890822%;63.890822%;10.795639%;89.204361%;35.372230%;35.372230%
ITA;2020;135.45335;127.48550;10.81350;116.67200;7.96784;662.75387;3.69936;659.05452;0.00000;7.25141;6.82486;5.88011;5.45355;0.57889;0.46258;6.24596;4.99097;0.42655;0.34085;35.48011;28.35117;0.19804;0.15825;35.28207;28.19292;0.00000;0.00000;;2337.65981585712;790.23937489161000000000000000;790.23937489161000000000000000;16.132517%;16.132517%;16.132517%;16.132517%;14.764134%;14.764134%;1.368383%;1.368383%;1.008282%;1.008282%;91.517857%;8.482143%;83.867483%;83.867483%;0.468131%;0.468131%;83.399352%;83.399352%;0.558179%;99.441821%;33.804721%;33.804721%
JPN;2020;1025.64224;782.33295;89.83728;692.49567;243.30929;1428.03837;0.00000;146.92138;1281.11699;20.42597;15.58039;19.53768;14.69211;1.78914;1.68713;13.79126;13.00497;4.84558;4.56932;2.92598;2.75916;0.00000;0.00000;2.92598;2.75916;25.51383;24.05920;;5324.85222823165;2210.37132066688000000000000000;2210.37132066688000000000000000;35.393734%;35.393734%;35.393734%;35.393734%;31.329382%;31.329382%;4.064352%;4.064352%;11.007621%;11.007621%;88.516746%;11.483254%;64.606266%;64.606266%;0.000000%;0.000000%;6.646909%;6.646909%;0.000000%;10.288336%;41.510473%;41.510473%
KOR;2020;83.99356;56.08029;4.31387;51.76642;27.91327;165.70331;0.00000;59.97123;105.73207;5.15552;3.44221;4.31379;2.60048;0.26479;0.20004;3.17742;2.40044;1.71332;1.29435;3.68103;2.78090;0.00000;0.00000;3.68103;2.78090;6.48983;4.90286;;2156.53957143070;221.78359836001700000000000000;221.78359836001700000000000000;25.286041%;25.286041%;25.286041%;25.286041%;23.340961%;23.340961%;1.945080%;1.945080%;12.585812%;12.585812%;92.307692%;7.692308%;74.713959%;74.713959%;0.000000%;0.000000%;27.040427%;27.040427%;0.000000%;36.191935%;10.284235%;10.284235%
ESP;2020;53.08861;52.47394;5.00836;47.46558;0.61466;183.53245;0.72735;171.42247;11.38263;4.17822;4.12985;2.96923;2.92085;0.39417;0.27878;3.73568;2.64207;0.04838;0.03421;13.54868;9.58236;0.05724;0.04049;13.49144;9.54188;0.89585;0.63359;;1796.52769554142;236.00639791235400000000000000;236.00639791235400000000000000;22.234119%;22.234119%;22.234119%;22.234119%;20.111991%;20.111991%;2.122128%;2.122128%;0.260443%;0.260443%;90.455531%;9.544469%;77.765881%;77.765881%;0.308191%;0.308191%;72.634671%;72.634671%;0.396306%;93.401720%;13.136808%;13.136808%
GBR;2020;449.51076;440.54616;144.71429;295.83187;8.96460;436.70419;1.28066;435.42353;0.00000;16.58884;16.25800;15.30527;14.97444;5.34057;4.91893;10.91744;10.05551;0.33083;0.30471;16.11622;14.84384;0.04726;0.04353;16.06896;14.80031;0.00000;0.00000;;2941.98833677897;877.25034253987000000000000000;877.25034253987000000000000000;50.218978%;50.218978%;50.218978%;50.218978%;33.722628%;33.722628%;16.496350%;16.496350%;1.021898%;1.021898%;67.151163%;32.848837%;49.781022%;49.781022%;0.145985%;0.145985%;49.635036%;49.635036%;0.293255%;99.706745%;29.818281%;29.818281%
USA;2020;3521.30000;3503.30000;483.80000;3019.50000;18.00000;510.00000;56.00000;454.00000;0.00000;16.80521;16.71931;17.62502;17.53911;2.30891;2.42212;14.41040;15.11699;0.08590;0.09012;2.43395;2.55329;0.26726;0.28036;2.16669;2.27293;0.00000;0.00000;;19974.21388716760;4013.30000000000000000000000000;4013.30000000000000000000000000;87.292253%;87.292253%;87.292253%;87.292253%;75.237336%;75.237336%;12.054917%;12.054917%;0.448509%;0.448509%;86.190164%;13.809836%;12.707747%;12.707747%;1.395360%;1.395360%;11.312386%;11.312386%;10.980392%;89.019608%;20.092405%;20.092405%
