Country	Total spending LC	Total spending USD	Non-Health Spending amount LC	Non-Health Spending Description		Forgone Revenues amount LC	Forgone Revenues Description
France	222	253	155.4	Support for wages of workers under the subsidized short-time work scheme (Workforce); direct financial support for affected small and very small enterprises (and regardless of size for heavily affected firms in December 2020), liberal professions, and independent workers (BS); direct transfers for low-income families (IS); extension of expiring unemployment and other benefits (IS,Confidence); additional transfers for self-employed (BS); additional spending in social programs (Confidence); incentives to purchase greener vehicles (Investment); subsidies for green investment for the auto and aerospace sectors (Investments).		32.6	Exoneration of social security contributions for affected firms in selected sectors; carry back for corporate income taxes; permanent cuts in production taxes (recovery plan) for 2021 onward. (The amount reported for forgone revenue includes the equivalent cuts in production taxes for 2 years) (All BS)
Japan	90100	844	78900	"• Cash handout of JPY 100K per person (JPY 12.9 tn); (IS)
• Lump-sum transfer to affected firms (JPY 2 mn per SME, JPY 1 mn for the self-employed) (JPY 2.3 tn); (BS)
• Subsidies for financial institutions' lending (JPY 3.8 tn); (BS)
• Expansion of work subsidies (JPY 0.9 tn); (IS,Workforce)
• Incentives to accelerate recovery, including for consumption in service sectors and infrastructure investments (JPY 10.8 tn); (Investment, Infrastructure)
• Transfers to local governments for COVID-19 (JPY 1 tn). (Gv Cons)

Additional measures announced May 27, 2020 include: 
• Transfers to local governments (JPY 2 tn);  (Gov Cons)
• Expansion of work subsidies (JPY 1.3 tn); (IS,Workforce)
• Subsidies for public/private financial institutions' lending (JPY 9.3 tn); (BS)
• Replenishment of cash transfers for firms (JPY 1.9 tn); (BS)
• Subsidies to affected firms for rent payment (JPY 2 tn). (BS)

The government announced additional measures on December 8 2020, including: 
• Incentives for firms to invest in green technologies (JPY 2.0 tn) (Investment)
• Subsidies to accelerate business restructuring of SMEs (JPY 1.1 tn) (Investment)
• Extension of the Employment Adjustment Subsidy (JPY 1.5 tn) (Workforce)
• Transfers to the local governments (JPY1.5 tn) (Gov Cons)
•  Subsidies for financial institutions' lending (JPY 3.2 tn) (BS)
•  Measures to enhance national resilience (primarily public investments) (JPY 4.4 tn) (Investment)

In April 2020
•  Cash transfers to affected firms (JPY 1.2 tn) (BS)
•  Replenishment of the emergency loan program for affected households (JPY 1.0 tn) (IS)
•  Top up the Employment Adjustment Subsidy (JPY 0.5 tn) (Workforce)
•  Transfers to the local governments (JPY 3.9 tn) (Gov Cons)"			Forgone revenue : Revenue measures included in the past economic packages include expansion of the loss carry-back and carry-forward schemes, tax incentives for firms’ decarbonization and digitalization, and reduction of property tax and the aviation fuel tax. (BS)
Korea	123700	105	106200	"• The government has announced consumption coupons for the poor, emergency family care support (IS,Confidence,Workforce), and support for business re-opening (KRW 5.6 tn) (BS).
• The 1st supplementary budget included support for SMEs, additional consumption coupons, and grants to local governments (KRW 8.8 tn) (BS).
• The 2nd supplementary budget included cash transfers to whole households (KRW 14.3 tn) (IS). 
• The 3rd supplementary budget includes support for companies, employment, and social safety nets (BS,Confidence); boost to consumption (IS), investment, and local economies; and Korean new deal for digital and green investment (KRW 23.7 tn) (Investement).
• The 4th supplementary budget: KRW 7.8 tn (KRW 3.9 tn for SME support, KRW 1.5 tn for employment relationship (BS), KRW 0.4 tn support for unemployed and low income household (IS), KRW 1.8 tn in daycare support and mobile bills (IS,Workforce)
• Customized Relief Package (December 2020; KRW 4.6 tn): Rent subsidy for small business owners and income support for freelancers, platform workers, and etc. (BS,IS)
• 2021 supplementary budget: KRW 10.7 tn (KRW 8.2 tn support for SME (BS) and vulnerable workers (IS), KRW 2.5 tn support for employment)                                                      • 2021 2nd supplementary budget (30 trillion won): pandemic relief package, employment support, and support for local governments (IS,Gov Cons)."		3400	"• Temporary corporate/income tax cuts for landlords who reduce commercial rents (BS).
• Rental fees reduction for tenants of public properties  (BS)
• Rental fees reduction for tenants of commercial properties and reduction in airport facility fees, ports and terminal charges (BS). 
• VAT reduction for the self-employed (KRW 0.7 tn) (BS). 
• Corporation tax cut for SMEs located in disaster areas (KRW 0.3 tn) (BS).
• Consumption tax cut for auto purchases (KRW 0.8 tn) (IS,BS).
• Raising income tax deduction for credit/debit card and cash receipt expenditure (KRW 0.4 tn) (IS).
• Raising ceiling of deductible entertainment expenses when calculating corporation tax (KRW 0.2 tn) (BS).
• Social security (healthcare insurance) contribution cut for households (KRW 0.9 tn) (IS)."
Mexico	151	7	48	"• Loans with optional repayment to be granted by the Ministry of Economy to SMEs that maintain employees on payroll, self-employed, and domestic workers. Eligibility is assessed using IMSS database. (BS,Workforce)
• Loans with optional repayment to be granted by the Ministry of Economy to family businesses, previously registered in the Welfare Census. (BS)
• Unemployment subsidy for 3 months to workers that hold a mortgage with the Housing Institute. (IS,Confidence)
• Housing program (Confidence)."			
Austria				"In 2020, the government announced one of the largest multi-year fiscal package in Europe, totaling 49.6 billion euros (12.6 percent of 2019 GDP) to support the economy. Short-term work arrangement (IS,Workforce), liquidity support for firms (fixed cost subsidy, and loss compensation) (BS). 
In 2021, several emergency support measures have been extended in light of renewed lockdowns. They include a new phase of short-term work arrangement (June 2021), fixed cost subsidy, hardship fund for small businesses, revenue replacement, and unemployment assistance(Workforce). At the same time, the budget envisages a significant amount of public investment as well as incentives for private investment to jump start the economy (Gov Cons, Investment). Measures to reallocate labor including upskilling and retraining are also included. The latest 2021 stability program envisages a deficit of over 8 percent of GDP."			On the revenue side, the government announced deferral of personal and corporate income taxes, social security contributions (3 months), and VAT payments, as well as VAT reduction in some categories (IS,BS). In tandem with emergency support, the multi-year package also includes measures to jump start the economy, including investment in climate protection, affordable housing, health, and digitalization, innovation and research (Investment). 
Belgium	37	42	23.4	"• Federal government eased access to temporary unemployment for firms affected by Covid-19, raised the benefit replacement rate, and introduced a daily premium, as well as eased access to replacement income for the self-employed. It also introduced Covid-19 parental leave and increased unemployment benefits (extension of switching on allowance for the young, freezing of degressivity, etc.), social assistance benefits, and support to local social services. Additional measures have been taken to support hard-hit sectors and vulnerable groups as the pandemic evolved, while key temporary measures have been extended until end-December 2021.
• Regional governments provided transfers for companies and self-employed affected by closures or significantly reduced turnover; further support to specific, affected sectors in addition to the health care sector; support for utility bills for affected households; and a host of smaller support measures. Similar measures have been reintroduced in Oct-Nov 2021 in the context of the re-imposition of restrictions and the second lockdown. These are expiring in 2021."		4.2	Loss carry backward for CIT and PIT, tax exemption for regional support measures (for firms affected by closures and reduced turnover), social security contribution exemption for self-employed, temporary reduction in VAT in the hospitality sector (e.g., food and non-alcoholic beverages), and increase in the CIT allowance for restaurant and reception costs. Suspension of penalties for delays or non-performance of suppliers to the public sector (All BS).
Czech republic	523	23	375	"• Payments for employment support: Employees affected during the shutdown due to government measures will receive full wages of which the government covered 80 percent up to CZK 39,000/month (since October the government has covered 100% up to CZK 50,000/month in case of business shutdown due to government measures). Staff in businesses affected receive 60-100% of gross wages with a state contribution of 60% of total labor costs per employee (up to CZK 29,000/month) (CZK 49.2bn) (IS,BS,Workforce).
• Care Allowance to parents, who cannot work because they need to care for children up to 13 years, of 80% of eligible income until end of June 2020 (calculated based on a progressive table) for sick leave. During the other waves of COVID, care allowance to parents with children up to 10 years, 70% of eligible income - since March 2021 80% of eligible income (in total CZK 13.2bn) (Worforce,BS). 
• Care Allowance to self-employed persons (CZK 434 per day in March 2020, CZK 500 per day since April), who cannot work because they need to care for children up to 13 years. During the other waves of COVID for parents with children up to 10 years, CZK 400 per day (CZK 3.1bn) (Workforce,BS)
• The state covers half of business property rents in Q2-Q4 2020 (CZK 9.9bn) (BS).
• Programs in support of the sports, culture, tourism, transport, restaurants, agriculture and other closed sectors (CZK 45.7bn) (BS,Sector).
• One-off cash benefit for pensioners in amount of CZK 5000 (CZK 15.0bn) (IS).
• Loss carryback measure: Taxpayers who report tax losses in 2020 due to the state of emergency, will be able to reduce their tax bases for the tax years 2019 and 2018 by this loss (maximum CZK 30 million) (CZK 4.3bn) (BS,Confidence).
• Self-employed receive lump sum of CZK 500 per day during Mar 12 and Jun 8 (CZK 20.2bn), additional lump-sum assistance grant (CZK 500 per day) to small business (Ltd) during Mar 12 and Jun 8 (CZK 1.7bn) and additional lump-sum assistance grant (CZK 350 per day) to contractors (CZK 0.1bn). The subjects in affected sectors received identical lump-sum during  Oct 5 2020 and Feb 15 2021 (CZK 7.6bn) and lump-sum of CZK 1000 per day during Feb 1 and May 31 2021 (CZK 14bn) (BS,Confidence)
• Other expenditure (CZK 9.6bn) (IS)."			"• The effective reduction in the personal income taxation and increase in the basic rebate for taxpayers (in total CZK 99.1bn) (IS).
• Waived social security contributions paid by employers (24.8%) with a maximum of 50 employees for the period between June and August. This support will be provided concurrently with the wage compensation if two conditions are satisfied – minimum employment level of 90% and wages paid in March 2020 are at least 90% (CZK 13.3bn) (BS,IS (indirect)).
• Introduction of extraordinary allowance at CZK 370 per day for employees who have been ordered to quarantine (CZK 1.1bn) (IS).
• Reduced VAT rate to 10% for accommodation, sports and culture services (CZK 2.6bn) (BS,Sector).
• Reduced road tax rate for vehicles above 3.5t (CZK 2bn) and decrease in excise tax on diesel oil (CZK 5.6bn) (BS).
• Abolition of the real property acquisition tax (CZK 27.6bn) (IS,BS,Investment).

"
Denmark	79.5	12	80	"
Grants to businesses (announced: DKK 35.8 bn; uptake: DKK 22.6 bn) (BS)
Employment support & unemployment benefits  (announced DKK 30.8 bn; uptake DKK 20.9 bn) (IS)
Boosting business activity (announced: DKK 9.6 bn; uptake 6.5 bn) (Confidence,Investment)
Consumption support to Households (announced: DKK 2.2 bn; uptake 2.2 bn) (IS)
Upskilling & Education (announced: DKK 1.1; uptake 1.1 bn) (Investment, Education)"			
Estonia		1.5871	1.1521	"The 2020 COVID-19 support package of about €2.3 billion (8.5 percent of GDP): support to the Unemployment Insurance (IS,Confidence) Fund to cover for wage reduction (€250 million) (IS, keeping the); health insurance fund (€213 million) (IS,Confidence); business loans to rural companies through the rural development fund (€200 million) (BS);  business loans earmarked for liquidity support to companies (€500 million) (BS); support to local authorities (€130 million) (Gov Cons); investment loans to companies (€50 million) (Investments, BS); and compensation for direct costs of cancelled cultural and sporting events (€3 million) (IS). 
A package of €5 million was approved on December 17 to support businesses in Ida-Viru county and more generally culture, sports, and education all over Estonia (IS,Supporting Sector). On December 30, the government approved a €30-million package to further support businesses in Harju and Ida-Viru counties, which were under the most stringent restrictions (BS).

A supplementary budget (2.2 percent of GDP), promptly enacted in April 2021, enhances the response to surging virus effects. The package mostly targets healthcare expenditure and support for employees and households (IS, Supporting Sector). In addition to the 2020 unused measures which were carried over, this new support package brings the total fiscal support for 2021 to 6½ percent of GDP.
"			The government has also suspended payments to the Pillar II pension fund (BS,IS).
Finland	11.3	12.9	6.1	"•	Support for enterprises: grants provided for companies by Business Finland and ELY Centres, support for solvency of sole entrepreneurs, support for catering entrepreneurs, support for agricultural and natural resource economy enterprises, general cost support for companies, estimated increase in Finnvera’s loss compensation etc. (€4 billion) (BS)
•	Extension of unemployment security: eliminating the waiting period, speeding up the layoff procedure, making entrepreneurs eligible for unemployment security, extending the payment period of startup grants, streamlining unemployment benefit payments etc. (€700 million) (IS)
•	Extension of social benefits: support for individuals arriving from other countries and parents of small children, temporary increase in social assistance (€200 million) (IS,Confidence)
•	Children and young people, and wellbeing of the elderly: free leisure activities, early childhood education and care, basic education and general upper secondary education, guidance counselling and youth work, student health care, ensuring properly functioning services for the elderly (€300 million) (Confidence)
•	Investment projects: basic transport infrastructure maintenance, developing the transport network, renovation construction, and public transport support. The sums for the years 2021 and 2022 are based on a technical assumption concerning the timing of the projects. (€400 million) (Investment)
•	R&D&I, competence and wellbeing: additional starting places for higher education and developing continuous learning, research appropriations for the Academy of Finland, public employment and business services and developing the service structure. (€400 million) (Investment, Workforce)
 "		1.1	"•	Lowering of private sector pension contributions for the period May 1 - 31 December  2020 (1.1) (IS,BS)"
