Country,Quarter,ab_us,health_us,nhealth_us,acc_us,of_us,be_us,gu_us,qf_us,ab_per,ab_ppp,health_per,health_ppp,nhealth_per,nhealth_ppp,acc_per,acc_ppp,of_per,of_ppp,be_per,be_ppp,gu_per,gu_ppp,qf_us.1,qf_ppp,gdp_ppp_bn,gdp_real_bn
AUS,Q1.2020,130.0051,2.1168,127.8883,0.0,24.0029,10.3255,13.6774,0.0,8.69731177491333,10.599546192138643,0.14161344105067059,0.1725864552969005,8.55569833386266,10.426959736841743,0.0,0.0,1.6057885790793376,1.9569989738501388,0.690773613741827,0.8418563133825332,0.9150149653375106,1.1151426604676056,0.0,0.0,1226.51571721458,1494.77336635199
CAN,Q1.2020,81.0,2.4,78.6,63.75,51.7,3.7,48.0,0.0,4.774240068056559,4.699771209907165,0.1414589649794536,0.13925248029354564,4.6327811030771056,4.560518729613619,3.7575037572667362,3.6988940077973065,3.0472618705990637,2.999730512990129,0.21808257100999098,0.21468090711921622,2.8291792995890725,2.785049605870913,0.0,0.0,1723.48815255626,1696.60508992738
FRA,Q1.2020,16.5,5.5,11.0,48.5,348.0,0.0,348.0,0.0,0.630538110393977,0.5675778383927643,0.21017937013132568,0.18919261279758812,0.42035874026265135,0.37838522559517623,1.8533999002489625,1.6683348583060043,13.298621964672968,11.970732591556484,0.0,0.0,13.298621964672968,11.970732591556484,0.0,0.0,2907.09024981028,2616.81248571801
DEU,Q1.2020,143.0,11.2,131.8,0.0,1072.0,223.0,849.0,0.0,3.9751844662002656,3.436025882487833,0.3113431190310697,0.2691153138731729,3.6638413471691957,3.16691056861466,0.0,0.0,29.799984250116676,25.75818004214655,6.199063887850763,5.358278124439068,23.600920362265914,20.39990191770748,0.0,0.0,4161.78471555813,3597.31733749424
ITA,Q1.2020,22.0,3.63,18.37,0.0,591.0,0.0,591.0,0.0,1.1469339016069102,0.9411121263567402,0.18924409376514018,0.15528350084886214,0.9576898078417699,0.7858286255078781,0.0,0.0,30.81081526589472,25.281693939856066,0.0,0.0,30.81081526589472,25.281693939856066,0.0,0.0,2337.65981585712,1918.15761738117
JPN,Q1.2020,497.0,12.1906,484.8094,0.0,518.0,499.0,19.0,0.0,10.88877715515526,9.333592345811455,0.26708395731918655,0.22893780855301635,10.621693197836073,9.104654537258439,0.0,0.0,11.348866330725201,9.72796948718377,10.932595171876207,9.3711520735612,0.41627115884899385,0.35681741362257074,0.0,0.0,5324.85222823165,4564.33255009445
KOR,Q1.2020,24.0,2.5,21.5,14.0,215.0,101.0,114.0,0.0,1.465070020161209,1.1128940232744176,0.15261146043345927,0.11592646075775184,1.3124585597277498,0.9969675625166657,0.854624178427372,0.6491881802434102,13.124585597277498,9.969675625166659,6.1655030015117545,4.683429014613174,6.959082595765744,5.2862466105534835,0.0,0.0,2156.5395714307,1638.14696019506
ESP,Q1.2020,14.892900000000001,4.1786,10.7143,0.0,175.6152,11.0,164.6152,11.4316,1.124910642975805,0.8289824886619253,0.3156236604515372,0.23259313009035992,0.8092869825242677,0.5963893585715654,0.0,0.0,13.264804540977552,9.775257038109551,0.8308668609024338,0.6122922584104626,12.433937680075118,9.162964779699088,0.8634670551902056,0.6363163801131858,1796.52769554142,1323.91849014805
GBR,Q1.2020,83.000000005,6.384615385,76.61538462,0.0,423.0,423.0,0.0,0.0,2.628755024499684,2.8212212457603547,0.20221192496151416,0.2170170189046427,2.42654309953817,2.604204226855712,0.0,0.0,13.397149099956392,14.378031167286023,13.397149099956392,14.378031167286023,0.0,0.0,0.0,0.0,2941.98833677897,3157.38816403392
USA,Q1.2020,1395.0,9.45,1385.55,0.0,859.0,405.0,454.0,0.0,6.999858177403903,6.984004516424125,0.047418394104994176,0.04731099833706665,6.952439783298908,6.936693518087059,0.0,0.0,4.310306935046561,4.300544716565106,2.0322168902140363,2.027614214445714,2.2780900448325245,2.272930502119393,0.0,0.0,19974.2138871676,19928.975197
