Country	Total spending LC	Total spending USD	Non-Health Spending amount LC	Non-Health Spending Description		Forgone Revenues amount LC	Forgone Revenues Description
							
Australia	342	236	239.2	"At the Commonwealth government level 
• Measures include tax-free cash flow assistance, wage subsidies, payments to lower-income Australians (pensioners, other social security and veteran income support recipients, and eligible concession cardholders)(Confidence, Income support, keeping/increase the workforce), and the Home Builder program  (support confidence in the residential construction sector and encourage consumers to proceed with purchases or renovations that may have been delayed due to uncertainty). 
• FY2021 budget, released on October 6, includes additional spending measures under the JobMaker program, comprising job hiring credit, infrastructure projects, and others for job creation  (keeping/increase the workforce and income support). 
• The 2020-21  MYEFO extends coronavirus supplement and other income support measures through end-March 2021.                                                                          • The FY2022 budget adds spending on infrastructure investment, extension of aviation and tourism support, women’s economic support package, and various programs for job creationAt state and local government levels (goverment consumption, support confidence and local economy/business (aviation and tourism), income support, keeping/increasing the workforce) 
• Measures include discount utility bills, cash payments to vulnerable households, and construction and infrastructure projects (Income support, government consumption).
• The Commonwealth government will help finance fast-track infrastructure projects across States and Territories and the arts industry for job creation, as well as the new home care package for the senior citizens (Government consumption into infrastructure, arts industry job creation, income support). 
• Pandemic Leave Disaster Payment has been arranged with the State and Territory governments, which provides a lump sum payment to help workers during their 14-day self-isolation period (Income support)."		102.5	"At the Commonwealth government level 
• Measures include raising the asset write-off threshold, accelerated depreciation deductions, and COVID-19 Relief and Recovery Fund which provides waiver of fees and charges to affected industries (e.g., aviation industry), regions, and communities (release pressure/income support, supporting business).
• FY2021 budget includes additional revenue measures under the JobMaker program, comprising extension of immediate expensing, loss carry-backs, income tax cut for lower- and middle-income earners, and tax incentives for R&D (keeping/increasing the workforce, support business) .                                                                                                                                                            • The FY2022 budget extends temporary full expensing and loss carry-backs for businesses, and retains the low- and middle-income tax offset for FY2021-22 (supporting business).

At state and local government levels
• Measures include payroll tax relief for businesses (supporting business). "
Canada	290	216	289.9	"Households (CAN 253.6 bn)
of which:	
• Emergency response benefit, Recovery benefits, and enhanced employment insurance (Income support) (CAN 120.2 bn)
• Wage subsidies and protecting jobs (income support, confidence) (CAN 110.5.2 bn)
• Others, including support to students, seniors, and vulnerable groups (income support) (CAN 22.9 bn)"			
Chile	25400	32	24199	Additional spending: cash transfers for the most vulnerable (income support)			Forgone revenue: Tax deferrals (CIT,VAT) and suspension of stamp tax for six months (supporting business).
Colombia	46304	12.5	30037	"• Expanded transfers for vulnerable groups including expanded social programs and support to workers in the informal sector (income support). 
• Support for recently unemployed workers (income support).
• Payroll subsidy for three months equivalent to 40 percent of the minimum wage per worker for businesses with a revenue fall above 20 percent and a subsidy worth 50% of June's bonuses for employees earning minimum wage for businesses with a revenue fall above 20 percent (income support, business support)  
• Increased infrastructure spending to support the recovery (gov cons, confidence)."		1995	"• No road tolls during the quarantine period (income and business support).
• Elimination of withholding tax for companies in bankruptcy protection (business support).
• Tariff reduction for soy beans and corn, no VAT for internet connection and new trucks (business supporting).
• No interest costs on delayed payment of electricity and gas for most strata 1-4 households. Lowered interest rate on tax arrears (income support).
• For a duration of six months, public sector workers earning between Col Pesos 10-15 mn will pay additional taxes worth 10% of their salaries, those earning above 15 mn will contribute 15% (government consumption)."
Costa Rica			0.8000	protect workers and companies against the impact of COVID-19, including (i) an interest-free 3-month moratorium on the payment of value-added taxes, business income taxes, and customs duties (BS); (ii) a temporary adjustment to social security contributions by making them proportional to the time worked for a period of 6 months (including a deferral of the payment until the end of 2020) in 2020, as well as for one month during the May-June travel restrictions in 2021 (BS); (iii) a deferral of the roll-out of the VAT on construction and tourism services (BS, support of a sector); (iv) a one-off tax relief on car registration tax in 2020 (IS,BS); (v) a 4-month moratorium on taxes to be paid to the Costa Rican Tourism Institute for firms in the tourism sector facing liquidity constraints (BS, support of a sector); (vi) a monthly subsidy of ¢125,000 (≈US$205) for three months to about 375 thousand households economically affected by the crisis with a monthly income of less than CRC 750,000 (≈US$1,230) prior to COVID-19 (IS, poorest)			protect workers and companies against the impact of COVID-19, including (i) an interest-free 3-month moratorium on the payment of value-added taxes, business income taxes, and customs duties (BS); (ii) a temporary adjustment to social security contributions by making them proportional to the time worked for a period of 6 months (including a deferral of the payment until the end of 2020) in 2020, as well as for one month during the May-June travel restrictions in 2021 (BS); (iii) a deferral of the roll-out of the VAT on construction and tourism services (BS, support of a sector); (iv) a one-off tax relief on car registration tax in 2020 (IS,BS); (v) a 4-month moratorium on taxes to be paid to the Costa Rican Tourism Institute for firms in the tourism sector facing liquidity constraints (BS, support of a sector); (vi) a monthly subsidy of ¢125,000 (≈US$205) for three months to about 375 thousand households economically affected by the crisis with a monthly income of less than CRC 750,000 (≈US$1,230) prior to COVID-19 (IS, poorest)
Germany	516	589	346	including grants to hard hit small businesses and self-employed (BS), increased access to childcare and basic social security benefits (IS, Confidence), temporary relief to affected (Mieter) tenants (IS), income support for families (IS), and incentivizing green and digital investment (Confidence, Investment). There is also support to firms and households provided through the “Kurzabeit” program, part of which is considered discretionary because the program parameters have been changed (IS and BS). 		109	 a temporary VAT reduction (the general VAT cut was expired at end-2020, but special VAT cuts for restaurants and food services remain in place) (BS, suporting a sector), corporate tax reliefs (BS), personal income tax reliefs (IS), and social security contribution reduction (IS,BS).
Spain	94.2	107	74.14	"• Unemployment benefit for workers temporary laid off under the ERTE due to COVID-19, with no requirement for prior minimum contribution or reduction of accumulated entitlement (about €21.7 bn) (IS) ; and exemptions of social contributions for companies that maintain employment under the ERTEs (about €7.7 bn) (BS);
• An allowance for self-employed workers affected by economic activity suspension (about €6.5 bn), and exemption of social contributions for self-employed that receive this benefit (about €3.3 bn) (BS or IS for self employed));
• Corporate solvency support (€10 bn) (BS, Confidence);
• Measures taken by regional governments on social services, education and support to firms (about €5.5 bn) (Confidence, BS); 
• Introduction of a new means-tested ""minimum income scheme""(about €3 bn annually) (IS, Confidence); and new rental assistance programs for certain vulnerable renters and additional state contribution to the State Housing Plan 2018-21 (IS, Confidence);
• Various measures to expand existing benefits for workers and other support for households and firms (IS,BS);"		0.8	"• Flexibility in filing income tax and VAT installment payment for SMEs and self-employed (BS);
• Tax incentives for landlords that reduce rents of properties used for activities related to the hotel, restaurant and tourism industries (IS,Confidence, Support);
• Reduction in the contribution for Employed Agricultural Workers who have completed a maximum of 55 real days of contribution in 2019 (IS,BS);
• Other revenue measures (BS)."
United Kingdom	407	522	271	"• Coronavirus Job Retention Scheme to subsidise furloughed employees' wages (initially for 3 months and extended several times until September 2021) (IS) and firms' social security contributions (until the 1st August 2020) (BS); 
• Income support for the self-employed (initially for 3 months, but extended too until September 2021) (BS,IS);                                                                                                               • Paid sick leave for self-isolating individuals and compensation for small firms needing to close for over 2 weeks, and support for low-income people in need to self-isolate (IS, Confidence, BS).  
• Grant support for sectors impacted by local and national restrictions (BS, Supporting); 
• Support for low-income households by temporarily increasing Universal Credit and Working Tax Credit by £20 per week in 2020-21. The increase to Universal Credit was extended by a further 6 months from April 2021 and a one-off payment of £500 was provided to eligible Working Tax Credit claimants in April 2021 (IS,Confidence); 
• Rent support by increasing the Local Housing Allowance (IS,Confidence); 
• Government support for charities (BS,Confidence/Security); 
• Cover the cost of 25 hours' work a week at the National Minimum Wage for six months for hired unemployed up to 24 years old (BS,IS, Keeping/increasing the workforce)).
• Boost of Active Labour Market Poilicies, including 250,000 subsidized jobs for young people (BS,IS,Keeping/increasing the workforce).
• Entitle every diner to a 50% discount of up to £10 in August (BS,Support of a Sector). 
• Public sector and social housing decarbonization and Green Homes Grant (Confidence, Investments).
• Support for low-income people in need to self-isolate (IS,Confidence) 
• Funding of 40,000 traineeships and doubling the number of work coaches to 27,000 (Confidence, Kepping/increasing)."		34	"• Property tax (business rate) holiday for firms in affected sectors (BS).
• Temporary cut on stamp duty land tax until June 2021 (BS).
• VAT reduced at 5% for hospitality, accommodation, and attractions until the end of September 2021, at 12.5% until March 2022, aftern which it will return to normal (BS)."
Greece			31.54717392	Transfers an bedürftige Personen: Barzuschüsse und volle Deckung der Renten (IS)- und Gesundheitsleistungen für Arbeitnehmer in stark betroffenen Unternehmen (BS,IS), Arbeitslosenunterstützung (IS,Confidence), Unterstützung für kurzfristige Beschäftigung (IS), Zuschüsse zu Hypothekenzahlungen und Elternurlaub (IS).			"Umsatzsteuersenkungen für Produkte, die für den COVID-Schutz erforderlich sind.
Steuer- und Sozialversicherungsaufschub für betroffene Unternehmen (BS 2x)."
Ireland			44.0078285	"
I. Employment Wage Support Scheme. Employers, whose turnover has fallen 30%, will receive a flat-rate subsidy of up to €203 weekly per employee (BS).

II. The Pandemic Unemployment Payment—a payment available to those who have lost employment due pandemic at a flat rate of €350 per week (IS, Confidence).

III. Covid Restrictions Support Scheme (CRSS) provides 10 to 5 percent turnover compensation payments to the affected firms in several sectors (accommodation, food and the arts, recreation and entertainment). It will only apply at the time of increased restrictions, and is capped at 5 thousand euros per week (BS, Confidence).

IV. Additional €200 million investment in training, education, skills development, work placement schemes, recruitment subsidies, job search and assistance measures, to help those who have lost their jobs find a new one, retrain, or develop new skills, in particular for emerging growth sectors (Cofnidence, Keeping/Increasing).

V. Measures to support SMEs3 include but not limited to: (a) The Restart Grant for Enterprises ( €550 million); (b) Waiver of commercial rates; (d) MicroFinance Ireland and the Local Enterprise Measures: a package of liquidity and enterprise investment measures worth €55 million to reduce lending rate for micro and small businesses (BS); (e) The Future Growth Loan Scheme (€500 million) with the European Investment Bank Group, so businesses with up to 499 employees can invest for the longer-term at competitive rates (BS).

VI. Measures to support hospitality and tourism sector include: (a) CRSS; (b) temporary VAT rate cut from 13.5 to 9 percent until end-2021; (c) Stay and Spend Incentive through a tax credit; (d) €10 million Restart Fund for the Tourism sector; (e) €10 million Performance Support Scheme for the culture sector to assist planning for events in the context of COVID-19 (BS,Confidence, Supporting a Sector).

"			VII.Tax measures include but not limited to: (a) reduction in the standard rate of VAT from 23 to 21 percent for 6-month starting Sep 2020; (b) warehousing of tax liabilities for affected businesses to delay payment of their PAYE and VAT debts in part of in full for a set period with no interest or penalties; (c) Interest rate reduction to 3%, applying to agreed repayments of all tax debt (where agreement has been reached prior to September 30 2020); (d) To provide immediate cash-flow support to previously profitable companies, the early carryback of trading losses will be allowed, leading to an immediate refund of some or all of corporation tax paid; (e) Income tax relief for self-employed individuals who were profitable in 2019, but as a result of the COVID-19 pandemic, incur losses in 2020; (f) RCT (Relevant Contract Tax) rate review scheduled to take place in March 2020 is suspended (BS)
Italy	180	205	150	including broadening the wage supplementation fund to provide income support to laid-off workers and the self-employed (IS,BS), vouchers for the payment of babysitters (€80 bn) (Confidence,IS), grants for SME  (€60 bn) (BS), education (€4 bn) (Confidence, Supporting), and other (€10 bn).		10	 corporate income tax credits (€4 bn) and social security contribution reduction (€6 bn) (BS 2x).
NLD	16.6	18.9	61.1	"• Companies expecting a reduction in revenues over 20% can request a compensation for labor costs (max 90% of labor costs) to allow companies to continue paying wages; compensation for affected sectors (for example, hospitality  and travel) (BS,IS,Supporting). 
• Income support for entrepreneurs and self-employed (administered at municipal and regional level) for a period of three months through expedited procedures (IS,BS).
• Support for start-ups and small innovation companies through loans provided by government regional agencies (IS,BS). 
• Scaling up of the short-time working scheme (unemployment benefit compensation available to companies needing to reduce their staff by at least 20 percent) (IS,Confidence). 
• Allowances for SMEs affected by the outbreak to help them finance their fixed costs (BS). 
• 60.4 billion in 2020-2022."		4.6	"Forgone revenue (info not available for 2021-2022, 4.6 bn in 2020):
• Reduction of tourist taxes and taxes in the culture sector (BS).
• The interest rate on tax deferrals is reduced from 4% to just above 0% (BS,IS). "
Portugal	12.1	13.8	8.7	"• Support measures for employment (IS,Keeping/Increasing) and resumption of activity (BS) (€3.0 bn);
• Non-repayble subsidies to businesses affected by the pandemic, program Apoiar.pt (€1.1 bn) (BS);
• Social protection programs, such as extension of unemployment coverage and support to self-employed and informal workers (€0.6 bn) (IS,BS);
• Extraordinary financial incentive (subsidy) to businesses for normalization of economic activity (€0.3 bn) (BS);
• Family support programs (€0.2 bn) (IS, Confidence);
• Other support measures (€0.2 bn) (Confidence);
• Investment, incl. digital education, teleworking (€0.4 bn) (Investments, Confidence);
• Investment under the Recovery and Resilience Plan in 2021 (€0.5 bn) (Investments, Confidence, Supporting the Infrastructure);
• Support to national airlines (€1.3 bn in 2020 and €1.1 bn in 2021) (BS);"		1.2	"• Exemption from payment of the Single Social Fee (€0.7 bn) (BS,IS);
• Lowering of reduced electricity VAT rate (€0.2 bn) (BS,IS);
• VAT refund program for catering, accommodation and culture (€0.2) (BS,Supporting);
• Other tax relief measures, such as road toll reductions (BS,IS), property rents (IS), SME taxes (BS) (€0.1)."
Turkey	177	25.2	112.9	"• Cash aid and raised minimum pension (TL 29.8 bn) (IS,Confidence);
• Unemployment benefits (TL 7.3 bn) (IS);
• Short-time work allowance (TL 36.7 bn) (IS,Confidence, Keeping the); 
• Cash aid to employees (TL 14 bn) (IS).
• Normalization support (TL 4.8 bn) (Investment, Confidence).
• Social Support Program (TL 9.9 bn) (IS, Confidence)."		44.6	"• VAT rate on food and beverage, cinema, theatre, museum and accommodation services was reduced from 8% to 1% until 31 December (BS)
• VAT rate on workplace rental services, passenger transportation, maintenance and repair of small home appliances, wedding and marriage organizations, residential maintenance, repair, painting, and cleaning services was reduced from 18% to 8% (BS)
• Withholding tax on workplace rent was reduced from 20% to 10% until 31 December, 2020. It is prolonged for five months for 2021.It was again prolonged to end of September.
• VAT rate on passenger transportation by air was reduced to 1% from 1 April, 2020 to 30 June, 2020. 
• VAT rate on education and training services between 1 September, 2020 and 30 June, 2021 was reduced from 8% to 1% temporarily. It was again prolonged to end of September 2021.
· Support to tradespeople (TL 9 bn), Supports for Artists (TL 0,2 bn) and Additional Payments for Treasury Interest Supported Loans Given to Agricultural Producers and Tradesmen (1,2 bn) (All BS)"
USA	5238	5238	4263	"• Coronavirus Preparedness and Response Supplemental Appropriation (March 6, 2020) of $1.2 bn (Infrastructure, Confidence).
• Families First Coronavirus Response Act (March 16, 2020) includes 2 weeks paid sick leave, up to 3 months emergency leave for those infected (at 2/3 pay), food assistance, free virus testing; federal transfers to states for Medicaid (increased by 6.2 percent during emergency period); and $1 bn in expanded unemployment insurance. Estimated increase in spending from this Act is $38.8 bn (IS,Confidence).
• Coronavirus Aid, Relief, and Economic Security Act (March 27, 2020) includes $437 bn unemployment insurance (IS,Confidence) and $350 bn  in emergency appropriations, and $349 bn forgivable small business loans and other items (BS). Estimated increase in spending from this Act is $1512bn.
• Paycheck Protection Program and Health Care Enhancement Act (April 23, 2020) includes $62.1 bn for the Small Business Administration's loans programs and other expense, and $321 bn for the Paycheck Protection Program and small business assistance (of the $310 for the Paycheck Protection Program only $176bn was used) (BS).
• The federal government (through an Executive Order by President Trump on August 8, 2020) reallocated $44 billion from the Department of Homeland Security's Disaster Relief Fund to provide extra unemployment benefits of $300 dollar per week following the expiration of the enhanced unemployment benefits mad available by the CARES act (IS). Of the $44 billion, it is estimated that $18 billion is pre-COVID-19 appropriated funds (and therefore represents additional COVID-19 expenditure)
• Consolidated Appropriation Act (Dec.21, 2020) includes $329bn support to households (IS), $347bn support for businesses (BS), $92bn for education and childcare (Confidence, IS), and support for other areas. The total estimated cost is $796.9bn.
• American Rescue Plan (Mar.12, 2021) includes $794.2bn support to households (IS), $86.4bn support for business (BS), $362.1bn support for state, local and triable governments (Gov Cons), $171bn support for education, (Infrastructure, Confidence) $38.9bn support for providing childcare (IS), and other spending in areas including transportation (BS), federal emergency management authority (Gov Cons), international response and others. The total estimated cost is $1646.4bn. "		378	"• Coronavirus Aid, Relief, and Economic Security Act (March 27, 2020) includes tax rebates: phaseout rate of 5% for Adjusted Gross Income over $75,000 for single/$112,500 for head of household/$150,000 for married filing jointly (IS). The Act also includes higher limits on losses for corporations and individual taxpayers, employee retention credit for affected employers, and other revenue provisions (BS).  The total estimated revenue cost is $288 bn.
• American Rescue Plan (Mar.12, 2020) will lead to revenue changes due to the provision of the recovery rebates, child tax credit, earned income tax credit, dependent care assistance, credit for paid sick and family leave, employee retention credit and supporting pension plans. The estimated revenue change is $10bn. Please note that the support of pension plans is estimated to introduce revenue gains, which outweighs revenue losses from other measures."
