Country,Year,Adjustment.for.the.change.in.net.equity.of.households.in.pension.fund.reserves,Compensation.of.employees.received.by.households,"Compensation.of.employees,.total.economy",Consumer.price.index,Consumer.price.index.with.fixed.interest.rates,"Consumer.price.index,.harmonised",Core.inflation.index,"Core.inflation.index,.harmonised",Current.disbursements.of.households.and.non-profit.institutions.serving.households,Direct.taxes.on.households,Employees.and.self-employed.contributions.to.social.security,"Exports.of.goods.and.services,.deflator.(national.accounts.basis)","Final.domestic.expenditure,.deflator","General.government.fixed.capital.formation,.deflator,.based.on.appropriation.account","Government.final.consumption.expenditure,.deflator","Gross.capital.formation,.deflator",Gross.current.receipts.of.households.and.non-profit.institutions.serving.households,Gross.disposable.income.of.household.and.non-profit.institutions.serving.households,"Gross.domestic.product,.market.prices,.deflator","Gross.national.product,.market.prices,.deflator",Gross.saving.of.households.and.non-profit.institutions.serving.households,Gross.saving.ratio.of.households.and.non-profit.institutions.serving.households,Gross.self-employment.income.received.by.households,"Gross.total.fixed.capital.formation,.deflator","Imports.of.goods.and.services,.deflator.(national.accounts.basis)","Mainland.gross.domestic.product,.market.prices,.deflator",Net.current.receipts.of.households.and.non-profit.institutions.serving.households,Net.disposable.income.of.households.and.non-profit.institutions.serving.households,Net.saving.of.households.and.non-profit.institutions.serving.households,Net.saving.ratio.of.households.and.non-profit.institutions.serving.households,Net.self-employment.income.received.by.households,"Offshore.gross.domestic.product,.market.prices,.deflator",Other.current.income.payable.by.households.and.non-profit.institutions.serving.households,Other.current.income.received.by.households.and.non-profit.institutions.serving.households,"Private.final.consumption.expenditure,.deflator","Private.final.consumption.expenditure,.nominal.value,.appropriation.account","Purchasing.power.parity,.national.currency.per.USD",Real.gross.disposable.income.of.households.and.non-profit.institutions.serving.households,Real.net.disposable.income.of.households.and.non-profit.institutions.serving.households,"Total.domestic.expenditure,.deflator",Total.employers.social.contributions,"Wages,.total.economy"
AUS,2015,,794264000000.0,798248000000.0,0.901402553904124,,,0.904186627785878,,336338000000.0,198693000000.0,-74531999999.9995,0.575014826468176,0.914029485199402,0.900956184747596,0.892584657336042,0.881002059393873,,,0.814420979871051,,,,,0.8729402786515,0.853064445252956,,1337682000000.0,1001344000000.0,72761999999.9998,7.26643391282115,170927000000.0,,212177000000.0,245853000000.0,0.901116087260306,928582000000.0,1.4736913104531,,1111226415948.72,0.917133374624614,83717999999.9995,714530000000.0
AUS,2016,,817767000000.0,822110000000.0,0.912916056102156,,,0.918142053738804,,345860000000.0,206509000000.0,-78396000000.0,0.560878599089635,0.921057848172536,0.901039585669665,0.901461705534506,0.871316627043933,,,0.82186989354399,,,,,0.880844620066696,0.827171099082137,,1366667000000.0,1020807000000.0,61909000000.0001,6.0647115468448,173811000000.0,,217747000000.0,247852000000.0,0.906753753686737,958898000000.0,1.45015607837434,,1125781940079.7,0.91964346291892,87769000000.0,734341000000.0
AUS,2017,,846148000000.0,851052999999.999,0.931128323215407,,,0.933763799208496,,360083000000.0,218337000000.0,-81137999999.9997,0.620906143774898,0.932469271984305,0.905475261350887,0.913242241331089,0.897069047381365,,,0.850953776179895,,,,,0.890824053724801,0.824836250144693,,1411821000000.0,1051738000000.0,56705000000.0006,5.39155188839812,183875000000.0,,222884000000.0,256947000000.0,0.918145969520421,995033000000.0,1.47755300047585,,1145501951666.09,0.935142803399073,90658999999.9997,760394000000.0
AUS,2018,,889637000000.0,895297000000.0,0.949131253925058,,,0.949177254738596,,378114000000.0,232943000000.0,-84902000000.0003,0.669524119499593,0.949236439186111,0.935519649178003,0.932414164008165,0.910317621173331,,,0.870656349407271,,,,,0.907298966114291,0.871414005073151,,1477880000000.0,1099766000000.0,62916999999.9975,5.7209442735998,190237000000.0,,230073000000.0,272830000000.0,0.933438034633165,1036849000000.0,1.47040296645812,,1178188545137.01,0.951115007679232,94509000000.0003,800788000000.0
AUS,2019,,937785999999.999,944280000000.0,0.963994138580699,,,0.964590710268696,,388111000000.0,242931000000.0,-90901000000.0004,0.730841568211811,0.968003647014586,0.960832746924145,0.952584118469667,0.930319768894056,,,0.899915300435662,,,,,0.927351711590159,0.898844009994783,,1533841000000.0,1145730000000.0,81310999999.999,7.0968727361594,187631000000.0,,236081000000.0,280762000000.0,0.950307146103087,1064419000000.0,1.45925298902502,,1205641780868.72,0.969940780179516,100619000000.0,843661000000.0
AUS,2020,,966155000000.0,969043000000.0,0.972576931128323,,,0.976671526765258,,385518000000.0,252147000000.0,-95213999999.9998,0.71729718628055,0.97821512853583,0.960718293067489,0.965531727955916,0.940867388402412,,,0.911215736395849,,,,,0.930511588734531,0.874548963665352,,1612406000000.0,1226888000000.0,214224000000.0,17.4607625145898,217117000000.0,,228585000000.0,257646000000.0,0.962505557203035,1012664000000.0,1.43116258332013,,1274681471518.19,0.982178662579365,105028000000.0,864015000000.0
AUS,2021,,1028320000000.0,1030300000000.0,1.0,,,1.0,,395513000000.0,263823000000.0,-102538999999.999,0.872287226703549,1.0,0.965133332301953,0.984201172808749,0.953566916020336,,,0.962978772436116,,,,,0.959089231468073,0.911445743255427,,1668796000000.0,1273283000000.0,186516000000.0,14.6484324380362,206548000000.0,,234229000000.0,278573000000.0,0.981445925448293,1086767000000.0,1.41668278665097,,1297354206670.53,0.999999999999997,112544000000.0,917756000000.0
AUS,2022,,1120173000000.0,1125706000000.0,1.06615030353779,,,1.05936263278483,,460485000000.0,304889000000.0,-114013000000.0,1.09954591537096,1.05885580481182,1.03994473361501,1.02125558384168,1.05108040186117,,,1.04214723052827,,,,,1.04743278997909,1.07567245984737,,1782443000000.0,1321958000000.0,96336999999.9978,7.28744786142964,192622000000.0,,269609000000.0,323100000000.0,1.0338195943404,1225621000000.0,1.37211487853381,,1278712463216.01,1.06178546474614,124840000000.0,1000866000000.0
AUS,2023,,1216391000000.0,1227077000000.0,1.12622985137116,,,1.12101645491062,,563243000000.0,351902000000.0,-127006000000.001,1.03283129199887,1.11786322538054,1.10910774474987,1.07220900910416,1.10427857418316,,,1.07932091390718,,,,,1.10687254649055,1.07776334569291,,1911913000000.0,1348670000000.0,26048000000.0002,1.9313842526341,190417000000.0,,338347000000.001,356854000000.0,1.09346976962793,1322622000000.0,1.39112750387639,,1233385720813.21,1.11940419330648,138950000000.001,1088127000000.0
AUS,2024,,1295196444388.03,1307366349159.24,1.16197523550346,,,1.15739141864981,,600696523594.385,364132217459.74,-136405867457.774,0.975936348775658,1.15697743684095,1.15699644783229,1.11582784946343,1.15022973030018,,,1.10578551913425,,,,,1.13113624751978,1.07228390204208,,2024471411217.97,1423774887623.58,35743346524.3393,2.51046333483226,193279510594.068,,372970173592.419,375815162256.918,1.13590583252997,1388031541099.24,1.40136086349419,,1253426865898.25,1.16417605124064,149714738055.538,1157651611103.7
