Country,QGov.Cons,QGross.Cap.form,QM,QPrivate.Consumption,QReal.GDP.Growth,QX,Quarter
AUS,1.593446362,-0.520984512,1.362030982,0.420687492,0.974734457,2.93809308,2015-Q1
AUS,0.906745539,-1.18658397,0.894381867,0.627285255,0.119912654,-3.107855054,2015-Q2
AUS,1.187432471,-1.599091425,-0.149594386,0.908221099,0.969621534,4.514291527,2015-Q3
AUS,0.873251647,-0.690196441,-0.312478597,0.486756249,0.627171731,1.311298841,2015-Q4
AUS,1.502908348,0.341685649,-1.945157717,0.841664746,0.912872746,2.249220266,2016-Q1
AUS,1.990727834,-1.168276618,1.594002347,0.436427013,0.65044974,0.421533933,2016-Q2
AUS,1.49225022,-1.863368595,2.12762289,0.603791297,-0.008745368,1.46013173,2016-Q3
AUS,-0.272316486,3.227475738,1.57260311,0.735187561,1.154853921,3.882116445,2016-Q4
AUS,1.583348337,0.468136631,4.148625851,0.504208757,0.3018993,-2.745230318,2017-Q1
AUS,1.166786463,0.680125892,-0.219436487,0.602573681,0.620478855,2.777693267,2017-Q2
AUS,-0.113873046,2.802006771,2.420709179,0.684332533,0.928994812,1.738203777,2017-Q3
AUS,1.692504068,-0.005191684,0.748791705,0.985744616,0.419283875,-1.932544255,2017-Q4
AUS,1.349098365,1.460422477,3.726207452,0.628677525,1.023493508,3.776294318,2018-Q1
AUS,0.302531813,-0.706907517,0.453526599,0.690887877,0.75321918,1.255081795,2018-Q2
AUS,0.907685637,0.647887739,-1.892939225,0.157305263,0.373707595,0.673126878,2018-Q3
AUS,1.734589985,-1.68097962,0.36769723,0.264005758,0.22494105,-0.052727232,2018-Q4
AUS,1.147694511,-0.427057913,-0.50080446,0.26901287,0.709596754,0.601632039,2019-Q1
AUS,3.27057841,-2.057773062,0.252042149,0.302747475,0.316607552,2.522677318,2019-Q2
AUS,0.951945643,1.710405859,-0.287756709,-0.188437602,0.572657153,0.232348076,2019-Q3
AUS,1.446234219,-0.197266768,-0.388833197,0.330137769,0.579552167,-0.49727746,2019-Q4
AUS,2.327677215,-0.363748412,-5.633405508,-1.233942922,-0.154150364,-3.581268721,2020-Q1
AUS,2.132138933,-5.470865548,-13.736214906,-12.635558013,-6.709320101,-7.774313474,2020-Q2
AUS,2.105695397,1.871977785,6.138255926,7.619238771,3.503510376,-4.072178864,2020-Q3
AUS,0.885553652,4.653476204,5.41530262,4.689747185,3.381253775,5.231312401,2020-Q4
AUS,0.228812884,5.041576541,1.700930824,1.46387253,2.212354267,0.781031569,2021-Q1
AUS,1.738030656,2.423313976,2.004181208,0.884964716,0.854025981,-3.292905778,2021-Q2
AUS,3.197760786,0.709584962,-3.422065504,-4.628988156,-1.689984899,0.12410275,2021-Q3
AUS,0.939450876,0.364035754,2.431280809,6.347557552,3.486221719,-0.981625662,2021-Q4
AUS,2.615737961,0.847253481,9.146818923,2.412819091,0.948248799,0.013838741,2022-Q1
AUS,-0.503229298,0.155605908,2.512442644,2.228702152,1.059749456,4.561121034,2022-Q2
AUS,-0.206573598,0.340029437,4.495684376,0.770304813,0.467112738,0.282710168,2022-Q3
AUS,0.646050034,-0.241764063,-2.24077911,0.936754233,0.640864539,2.285895944,2022-Q4
AUS,0.144922232,2.104904864,3.065702807,0.454889129,0.4611999,0.863196289,2023-Q1
AUS,0.889470338,2.627561055,2.395673939,0.508661748,0.43546821,3.967418794,2023-Q2
AUS,1.379310345,0.988773972,2.724377396,-0.098209819,0.506591098,1.060813645,2023-Q3
AUS,0.388726919,0.304277903,-2.672529556,0.109980247,0.082338981,-2.252077777,2023-Q4
AUS,1.477706281,-0.52461792,5.454631533,0.465214763,0.127174421,0.725154541,2024-Q1
AUS,1.166493645,0.599593824,0.470751214,-0.17532767,0.229452554,0.508056403,2024-Q2
AUS,1.711884737,1.504790592,-0.30449076,-0.115050503,0.319793322,-0.021807568,2024-Q3
AUS,0.569886023,0.705883839,0.706245438,0.680988981,0.570188301,0.078300652,2024-Q4
AUT,-0.676739167,-0.712665079,-5.266289122,1.210005965,-0.104032245,0.215634188,2015-Q1
AUT,0.582344289,1.973327613,3.480028029,-0.516953157,0.63130167,0.062518193,2015-Q2
AUT,0.200174868,-0.077862289,6.408574992,0.219470247,0.286952805,1.796823579,2015-Q3
AUT,-0.927937604,2.973572317,1.350191348,0.8862779,0.531137424,0.015898559,2015-Q4
AUT,0.84510853,0.604059552,-1.950977499,-0.033566811,1.009221032,1.566655745,2016-Q1
AUT,0.772337434,1.127781774,1.889470614,1.095239751,0.070256482,-0.019085481,2016-Q2
AUT,0.436705582,0.841137926,-1.46472311,0.289636494,0.572267722,1.234876465,2016-Q3
AUT,0.980020396,-0.150834729,0.54817893,1.0362354,0.412945079,-1.017053497,2016-Q4
AUT,0.487643147,1.499300863,3.369394309,0.259702652,1.085506416,3.122458614,2017-Q1
AUT,-1.677419242,1.029236804,1.328188106,0.440307128,0.367143625,0.985770205,2017-Q2
AUT,0.564385858,2.028615886,1.330655125,0.559656498,0.556975952,1.301166929,2017-Q3
AUT,-0.089207721,0.579976603,0.105380308,-0.439040128,0.528402339,1.941329499,2017-Q4
AUT,0.186672697,-0.055909683,2.660212489,0.686278378,0.469075863,1.395608316,2018-Q1
AUT,1.568266959,3.307126337,0.39786808,-0.124811142,0.837567174,1.287091304,2018-Q2
AUT,-0.701998424,-1.128185954,0.859184428,-0.152775964,0.50658508,-0.001053338,2018-Q3
AUT,0.590316972,3.098452122,2.223101803,1.262480422,0.955718404,1.074769757,2018-Q4
AUT,1.958210431,2.950349689,1.535089026,-0.192394988,0.809006288,3.642032423,2019-Q1
AUT,-1.519873402,0.547259091,-0.98155153,0.082868091,-0.303603296,-1.509157694,2019-Q2
AUT,0.073747753,-1.540352162,-0.389641275,0.102717408,0.21868683,-0.130008076,2019-Q3
AUT,-0.450900447,-2.705185545,-1.658695707,-0.034145459,-0.352503989,-0.030783224,2019-Q4
AUT,-0.085623585,-1.467501265,-2.581294117,-3.919903712,-2.21771048,-2.809191195,2020-Q1
AUT,-2.785547887,-6.000211962,-15.187730009,-11.103726717,-11.895950208,-18.779696606,2020-Q2
AUT,3.183157366,6.960349641,11.397941927,11.418610092,11.505232837,16.090130288,2020-Q3
AUT,1.881458483,0.838118933,4.621275099,-2.307623047,-1.372359492,2.416780587,2020-Q4
AUT,4.050257766,2.911163968,3.10377387,-2.426786351,-1.427358165,-5.187785995,2021-Q1
AUT,1.089071273,2.98152537,5.573816399,3.92901246,4.592530048,11.796110189,2021-Q2
AUT,1.081489288,-2.459288983,1.303488423,8.894707002,3.62282639,2.937413181,2021-Q3
AUT,-0.406999457,-1.505344309,2.70401333,-3.755151049,0.034404166,2.00539943,2021-Q4
AUT,-1.516359754,3.068973928,4.574646199,2.458420799,0.29053339,1.319931349,2022-Q1
AUT,0.459531564,-1.66833245,-1.427533821,0.416441282,2.809064607,3.172001833,2022-Q2
AUT,-0.462847324,0.318498328,-1.402569353,0.280793467,-0.055520727,0.598872657,2022-Q3
AUT,1.89789546,0.158822374,1.039749161,-0.231707065,-0.00667986,0.82272344,2022-Q4
AUT,-0.646623654,-0.805563952,-0.957244123,0.006247127,-0.674952915,0.973029881,2023-Q1
AUT,0.631674335,-1.783651381,-1.476944765,0.099201547,-0.376731314,-2.922756153,2023-Q2
AUT,0.833908007,-1.819024228,-3.202918811,-0.750524336,-0.809258235,-1.519962704,2023-Q3
