date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH_SECO,crea_recession
1998-03-31,2.0712,2.0197,1.6251,1.9211,2.8896,3.7204,1.6442,2.1462,1.4186,1.3839,1.3334,1.7047,1.8537,1.6710,1.2507,1.9025,2.8768,1.3525,1.9782,1.4531,1.8505,0.7888,2.0296,1.3802,3.1371,2.5248,1.0095,0
1998-06-30,0.6618,1.4407,0.6841,0.8392,1.0016,1.0285,0.8350,1.4262,0.6601,0.3477,0.8532,0.6951,0.7731,0.8035,0.7472,0.9523,1.0731,0.5088,1.0349,0.8013,1.0577,0.0236,1.0323,0.4813,1.7584,1.3727,1.0158,0
1998-09-30,-0.0228,0.3726,0.0656,0.2658,0.2220,0.0226,0.1952,-0.2717,-0.0213,-0.2677,-0.1346,0.0138,-0.0099,0.4229,0.1743,0.1474,-0.0253,-0.1486,0.1874,0.0590,-0.2524,-0.5013,0.0359,-0.2127,-0.0997,0.1655,0.0248,0
1998-12-31,0.1229,-0.2961,-0.3189,-0.1258,0.3198,-0.3141,-0.1394,-0.1576,-0.5308,-0.4382,-0.8162,-0.2717,-0.4134,-0.1224,-0.1133,-0.1311,-0.3220,-0.5758,-0.1175,-0.1563,-0.5939,-0.7286,-0.3315,-0.6632,0.3300,0.2837,-0.1337,0
1999-03-31,0.1332,0.7085,-0.0029,0.1431,0.1019,-1.1668,0.4756,0.2300,-0.0402,-0.5432,0.1437,0.2093,0.1197,0.5590,0.5766,0.2508,-0.0096,-0.0782,0.3377,0.4862,0.0285,-0.4280,0.1421,-0.4618,1.1512,0.1665,0.1657,0
1999-06-30,0.6842,0.8204,0.2726,0.4711,0.7983,-0.2020,0.4998,0.9966,0.3843,0.0755,0.3694,0.4911,0.7225,1.3743,0.0537,0.5037,0.2954,0.1413,0.6410,0.4837,0.5256,0.0391,0.4742,0.5077,1.4965,1.1360,0.6472,0
1999-09-30,0.8270,0.7591,0.3011,0.6833,1.1656,1.6027,0.8812,0.4654,0.0665,-0.0525,0.5734,0.4012,0.4863,-1.1219,0.5322,0.4378,1.5481,0.2730,0.6190,0.6622,0.7819,-0.0611,0.8171,0.6514,0.9883,0.4165,0.5637,0
1999-12-31,1.7776,2.2010,1.0630,1.6446,2.4309,3.2635,1.5600,3.7851,1.3870,1.2046,2.1992,1.4988,2.4631,1.7143,1.2338,1.7924,2.2409,1.4258,2.0860,1.6407,2.7023,0.9536,1.9954,1.8440,4.0640,3.2798,2.4095,0
2000-03-31,0.2361,-0.1740,0.2280,0.5880,0.4993,0.2856,0.1917,0.6275,0.0159,0.1643,-0.7376,0.3400,-0.4500,-0.3386,-0.4977,0.4335,0.1861,0.1336,0.2915,-0.0005,0.1580,-0.3187,0.3557,-0.0343,-0.3876,1.3243,0.5454,0
2000-06-30,0.5230,0.1505,0.4183,0.6464,0.9007,-0.1258,0.3030,-0.2970,0.1842,0.3236,-0.0055,0.3818,0.2787,0.1763,0.2449,0.4500,-0.0007,0.3869,0.3222,0.2482,-0.1967,-0.0380,0.1395,0.0960,0.6199,0.3548,0.3127,0
