date,CH,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,crea_recession
1990-02-28,-0.0992,1.7498,-0.7212,0.5321,0.5753,0.8486,-1.1384,0.1389,-0.1599,0.5760,-2.4641,0.6008,-0.8022,-5.6934,-0.7410,-0.3492,0.4656,0.8753,-0.4976,-0.7477,-0.0227,-1.1388,0.3733,0.0040,-2.0803,0.4349,0.2588,0
1990-03-31,-0.2064,1.4313,-0.8494,0.3058,0.7371,0.8302,-0.8994,-0.6455,-0.9067,1.1564,-1.5485,-0.0053,-0.9158,-6.6662,-0.9779,-0.8008,0.3620,-0.3216,-0.4731,-1.0810,-0.4120,-1.2807,0.2177,-0.0912,-1.9888,-0.0465,0.3392,0
1990-04-30,-0.3520,0.9984,-0.9961,0.0080,0.5324,0.7779,-0.6342,-1.1636,-1.7435,1.5757,-0.6930,-0.6784,-0.6766,-7.1169,-1.2226,-1.2322,0.1653,-1.7525,-0.4536,-1.0591,-0.4535,-1.4618,-0.0107,-0.4365,-1.5869,-0.4835,0.4123,0
1990-05-31,-0.6893,0.4167,-1.1680,-0.5502,-0.2130,0.3105,-0.7561,-1.4336,-2.4694,1.5902,-0.3177,-1.2980,-0.4999,-6.8733,-1.2805,-1.4473,-0.3499,-2.9816,-0.4165,-0.9884,-0.2267,-2.0226,-0.2663,-1.0733,-1.3929,-0.7093,0.2588,0
1990-06-30,-1.0350,0.3393,-1.3704,-1.3071,-0.7726,-0.4459,-1.1692,-1.6689,-2.9354,1.0371,-0.3155,-1.8905,-0.1405,-6.2663,-1.0087,-1.4006,-1.0604,-3.8247,-0.3017,-0.8986,-0.1078,-2.7458,-0.5245,-1.7369,-1.6185,-0.9281,-0.0711,0
1990-07-31,-1.3646,0.5545,-1.6100,-2.1991,-1.0509,-1.3839,-2.0882,-1.9741,-3.4676,0.0522,-0.4565,-2.5379,0.3600,-5.9449,-0.5284,-1.2753,-1.8383,-4.2790,-0.2503,-0.8145,-0.0907,-3.4096,-0.8094,-2.3998,-2.2149,-1.3295,-0.3255,0
1990-08-31,-1.8760,0.2417,-1.8967,-3.1485,-1.2395,-2.1587,-3.4024,-2.4568,-4.7382,-1.1417,-0.5891,-3.5080,0.1908,-6.4573,-0.1272,-1.3704,-2.4817,-4.4572,-0.6597,-0.9858,-0.2780,-4.1321,-1.1878,-3.4553,-3.1184,-1.8774,-0.5204,0
1990-09-30,-2.6140,-0.2571,-2.2436,-4.0487,-1.5986,-2.8679,-4.8603,-3.1945,-6.7171,-2.2251,-0.6549,-4.6605,-1.0603,-8.0071,0.1578,-1.7399,-2.8423,-4.5551,-1.2983,-1.3358,-0.6020,-4.9212,-1.7467,-4.9397,-4.0671,-2.4403,-0.8715,0
1990-10-31,-3.5936,-0.8646,-2.6617,-4.6828,-2.1523,-3.6849,-6.6142,-4.3109,-9.3630,-3.1810,-0.6930,-5.7546,-2.6354,-9.8435,0.0808,-2.2312,-3.2440,-5.2227,-1.8974,-1.7321,-1.1119,-5.7940,-2.3745,-6.7208,-4.9200,-3.0248,-1.6061,0
1990-11-30,-4.6628,-1.5422,-3.1436,-5.1698,-2.7203,-4.5864,-8.6287,-5.7253,-12.1093,-4.0979,-0.8224,-6.9525,-4.1192,-11.3265,-0.5256,-2.7333,-4.0656,-6.4664,-2.4237,-2.0644,-1.8246,-6.7174,-2.9354,-8.3386,-5.5662,-3.6917,-2.5413,0
1990-12-31,-5.6156,-2.2087,-3.6330,-5.7050,-3.3918,-5.5721,-10.3769,-7.1455,-13.6086,-4.8402,-1.0579,-8.4951,-4.8649,-12.1747,-1.6775,-3.0981,-5.1723,-7.7732,-2.7968,-2.3836,-2.6904,-7.7915,-3.4192,-9.3127,-5.9822,-4.4892,-3.6240,0
1991-01-31,-6.3959,-3.0428,-3.9986,-6.4985,-4.1782,-6.4331,-11.5561,-8.1676,-13.7299,-5.3813,-1.4844,-10.1654,-4.8772,-12.1753,-3.0203,-3.3014,-6.3320,-8.5772,-3.3789,-2.6847,-3.5362,-9.0013,-3.8608,-9.5713,-6.2860,-5.3779,-4.8108,0
1991-02-28,-6.9325,-3.8170,-4.0789,-7.3589,-4.7922,-6.8923,-12.3529,-8.1849,-12.9451,-5.8648,-2.3107,-11.4167,-4.8979,-11.1076,-4.3285,-3.4583,-7.4312,-8.4415,-4.1852,-3.0964,-4.2683,-10.0571,-4.3651,-9.1419,-6.6725,-6.3450,-5.9003,0
