Country,Year,Balance.of.primary.income.as.a.percent.of.GDP,Balance.of.secondary.income.as.a.percent.of.GDP,Competitors.price.of.goods.and.services.exports,Contribution.to.world.trade.growth.goods.and.services.in.USD.OECD.reference.year.prices,Current.account.balance.as.a.percentage.of.GDP,Export.market.for.goods.and.services.volume.in.USD,Goods.and.services.trade.volume.in.USD,Indicator.of.competitiveness.based.on.relative.consumer.prices,Indicator.of.competitiveness.based.on.relative.unit.labour.costs.in.total.economy,Net.exports.of.goods.and.services.as.a.percent.of.GDP,Price.of.commodity.exports,Price.of.commodity.imports,Share.of.country.s.trade.in.world.trade.volume.in.USD.at.OECD.reference.year.prices,Terms.of.trade.goods.and.services,nan
AUS,2015,-2.30901399553928,-0.0901777581041086,0.885623924399935,0.059178207731865,-4.66991526095456,349950422880.868,329195426130.504,99.9562082918167,99.8550719725433,-2.27072350731115,0.578037534088399,0.65978174856851,0.0139571932812934,0.674057897580843,
AUS,2016,-2.38134593721783,-0.0484116223187578,0.856489449606246,0.0548457281319981,-3.28740209587618,360817121838.687,342015599621.686,100.952545983293,99.4596197397232,-0.857644536339583,0.536469575198816,0.597303831299095,0.0141707054103748,0.678068418628273,
AUS,2017,-3.02255913407346,-0.0761267507627922,0.866929784448046,0.0774634348167231,-2.59779071630671,383777332372.726,360545892021.333,104.179199328817,101.870161766961,0.500895168529542,0.621659051567723,0.666313215544653,0.014123749554614,0.752762919507936,
AUS,2018,-3.31911083017278,-0.0382427307206069,0.937930284128274,0.0689647885141094,-2.2459439528024,404802494415.457,377997425618.181,99.8788567397344,97.6866522914101,1.11140960809098,0.719622476972169,0.80430495324992,0.0142296831074673,0.768319209470808,
AUS,2019,-2.9565533444708,-0.0340432178650797,0.979653780378198,0.0172197343242799,0.352797876904718,405252513308.073,382531665749.525,95.3405725179863,94.6290928913611,3.34339443924061,0.736363259822495,0.815833212166509,0.0141929418808326,0.813090547508964,
AUS,2020,-1.24296034754384,-0.10767270327707,0.960296846164105,-0.151820720736652,2.27694167080146,383950164270.289,341960726698.759,94.2560842955853,95.3158888376712,3.62757472162237,0.705462433934557,0.71636271175628,0.0138123090526209,0.820190996824536,
AUS,2021,-2.31926031681283,-0.160899222698121,1.0,0.0101636820631563,2.91871189974393,421159510638.257,344459455957.228,100.0,100.0,5.39887143925489,1.0,1.0,0.012577539201751,0.957036919814871,
AUS,2022,-4.52340274091638,-0.0998331009805569,1.16496450059612,0.0932708046340106,0.820630508302433,424972495433.614,369791686019.838,100.355937436373,101.04850984869,5.44386635019937,1.24834286281845,1.39837573184335,0.0127970989559033,1.02219398228991,
AUS,2023,-3.56850318444595,-0.0726739192998875,1.16675591787601,0.0859743648769705,0.241152217508647,438128904472.08,394418704298.851,100.394786080429,102.504367029932,3.8823293212545,1.16473052912296,1.29051507572264,0.0135101001235262,0.958309907389593,
AUS,2024,-3.33242397961766,-0.0361584359854481,1.16374644721705,0.0452308620742857,-1.69793680968888,455915276352.015,407623704386.039,102.818939427007,106.357265787075,1.66997669543916,1.17932480926742,1.33345065169073,0.0134863035246351,0.910147347094428,
AUT,2015,-1.02026565637689,-0.957084067564568,0.935757026546912,0.0332314197034674,1.57807718353015,222810381582.85,225542702284.02,96.2575239340067,97.6907822509005,3.85431049023323,0.808760523639324,0.742497617853105,0.0095613958469666,0.999999999994122,
AUT,2016,-0.0435904552412066,-1.00736135918727,0.903904249102478,0.031882651147979,2.57493037540993,230416127188.082,232995263002.919,97.2269274584106,98.2057970573152,3.84617576423509,0.783735751591507,0.689104537835759,0.0096563013097868,1.01002356711498,
AUT,2017,-0.946440476916921,-0.765855282470703,0.922310854472815,0.049443406577766,1.26300849850636,242890245959.183,244822788896.759,97.901954107081,97.8232049451378,3.19834757524927,0.800575481925798,0.755467263913717,0.0095899992432615,0.998291606663781,
AUT,2018,-1.03421094297257,-1.01620424222437,0.933393270221244,0.049197900029966,0.846053968487903,253519282091.163,257272313121.599,98.9059344320652,98.362725041683,3.09391109708024,0.797655833494204,0.811261458419089,0.0096845580751081,0.995185045095661,
AUT,2019,-0.227196543254106,-0.885535803740141,0.951212319696823,0.0290216880169901,2.37583393006878,259813804445.725,264914202363.783,98.2856306763611,97.2233701490549,3.4011942812138,0.804264188493933,0.81198044741421,0.0098290974163714,0.989546134041006,
AUT,2020,1.10276629800717,-0.992621420452328,0.922332894847094,-0.0966080516269308,3.37417501696103,238285431486.865,239097704092.982,99.7809526937875,100.285206664653,3.41143644801043,0.786862739351752,0.736384311584858,0.0096348536860799,1.00103484770279,
AUT,2021,1.65014787176927,-0.703652607409672,0.999999999999998,0.11203437878987,1.73585704481028,262994454087.193,266641224098.538,100.0,100.0,0.934187289187939,1.0,1.0,0.0097248802122837,0.99035155444247,
