Country,Variable,Year,FX.usd
Australia,FX.usd,2015,1.33088028393171
Australia,FX.usd,2016,1.34533734668894
Australia,FX.usd,2017,1.30488323032497
Australia,FX.usd,2018,1.33865493271747
Australia,FX.usd,2019,1.43866931581558
Australia,FX.usd,2020,1.45353177771504
Australia,FX.usd,2021,1.33148433378819
Australia,FX.usd,2022,1.44179687582345
Australia,FX.usd,2023,1.50508191252588
Australia,FX.usd,2024,1.52109894755004
Austria,FX.usd,2015,0.901451643908026
Austria,FX.usd,2016,0.904281526915113
Austria,FX.usd,2017,0.887107173889518
Austria,FX.usd,2018,0.847324485146496
Austria,FX.usd,2019,0.893348371188595
Austria,FX.usd,2020,0.877541570440431
Austria,FX.usd,2021,0.845553392731666
Austria,FX.usd,2022,0.950882523746785
Austria,FX.usd,2023,0.924835342532468
Austria,FX.usd,2024,0.923621226708075
Belgium,FX.usd,2015,0.901451643908026
Belgium,FX.usd,2016,0.904281526915113
Belgium,FX.usd,2017,0.887107173889518
Belgium,FX.usd,2018,0.847324485146496
Belgium,FX.usd,2019,0.893348371188595
Belgium,FX.usd,2020,0.877541570440431
Belgium,FX.usd,2021,0.845553392731666
Belgium,FX.usd,2022,0.950882523746785
Belgium,FX.usd,2023,0.924835342532468
Belgium,FX.usd,2024,0.923621226708075
Canada,FX.usd,2015,1.27827373713847
Canada,FX.usd,2016,1.32540915051133
Canada,FX.usd,2017,1.29810045815296
Canada,FX.usd,2018,1.29613299854131
Canada,FX.usd,2019,1.32695352547211
Canada,FX.usd,2020,1.34121039510007
Canada,FX.usd,2021,1.25353774248699
Canada,FX.usd,2022,1.30172768955079
Canada,FX.usd,2023,1.34934191981931
Canada,FX.usd,2024,1.35698184955142
Chile,FX.usd,2015,654.322285899602
Chile,FX.usd,2016,676.540499227524
Chile,FX.usd,2017,648.676822499138
Chile,FX.usd,2018,641.896064286734
Chile,FX.usd,2019,703.30757398292
Chile,FX.usd,2020,791.715210148851
Chile,FX.usd,2021,759.819638446656
Chile,FX.usd,2022,873.253767551602
Chile,FX.usd,2023,840.158912795345
Chile,FX.usd,2024,949.954654779157
Colombia,FX.usd,2015,2744.50947826087
Colombia,FX.usd,2016,3053.88271417592
Colombia,FX.usd,2017,2951.28814463737
Colombia,FX.usd,2018,2956.89718837835
Colombia,FX.usd,2019,3281.06534940633
Colombia,FX.usd,2020,3695.61150303108
Colombia,FX.usd,2021,3744.31855676721
Colombia,FX.usd,2022,4258.60941669412
Colombia,FX.usd,2023,4326.69183678085
Colombia,FX.usd,2024,3802.94775621118
Czechia,FX.usd,2015,24.5929809272853
Czechia,FX.usd,2016,24.4405997788444
Czechia,FX.usd,2017,23.3854697542192
Czechia,FX.usd,2018,21.7298061413828
Czechia,FX.usd,2019,22.9311282522429
Czechia,FX.usd,2020,23.2124591928603
Czechia,FX.usd,2021,21.6822229484284
Czechia,FX.usd,2022,23.3505731217454
Czechia,FX.usd,2023,22.1969169278185
Czechia,FX.usd,2024,23.2660063837129
Denmark,FX.usd,2015,6.72540849888637
Denmark,FX.usd,2016,6.73078313884184
Denmark,FX.usd,2017,6.60179308817993
Denmark,FX.usd,2018,6.31353824691009
Denmark,FX.usd,2019,6.66923030052073
Denmark,FX.usd,2020,6.54200684759081
Denmark,FX.usd,2021,6.28813722975093
Denmark,FX.usd,2022,7.07553846751679
Denmark,FX.usd,2023,6.88917680594766
Denmark,FX.usd,2024,6.87702084195999
Estonia,FX.usd,2015,0.901451643908026
Estonia,FX.usd,2016,0.904281526915113
Estonia,FX.usd,2017,0.887107173889518
Estonia,FX.usd,2018,0.847324485146496
Estonia,FX.usd,2019,0.893348371188595
Estonia,FX.usd,2020,0.877541570440431
Estonia,FX.usd,2021,0.845553392731666
Estonia,FX.usd,2022,0.950882523746785
Estonia,FX.usd,2023,0.924835342532468
Estonia,FX.usd,2024,0.923621226708075
Finland,FX.usd,2015,0.901451643908026
Finland,FX.usd,2016,0.904281526915113
Finland,FX.usd,2017,0.887107173889518
Finland,FX.usd,2018,0.847324485146496
Finland,FX.usd,2019,0.893348371188595
Finland,FX.usd,2020,0.877541570440431
Finland,FX.usd,2021,0.845553392731666
Finland,FX.usd,2022,0.950882523746785
Finland,FX.usd,2023,0.924835342532468
Finland,FX.usd,2024,0.923621226708075
France,FX.usd,2015,0.901451643908024
France,FX.usd,2016,0.904281526915113
France,FX.usd,2017,0.887107173889518
France,FX.usd,2018,0.847324485146496
France,FX.usd,2019,0.893348371188595
France,FX.usd,2020,0.877541570440429
France,FX.usd,2021,0.845553392731666
France,FX.usd,2022,0.950882523746785
France,FX.usd,2023,0.924835342532468
France,FX.usd,2024,0.923621226708075
Germany,FX.usd,2015,0.901451643908026
Germany,FX.usd,2016,0.904281526915113
Germany,FX.usd,2017,0.887107173889518
Germany,FX.usd,2018,0.847324485146496
Germany,FX.usd,2019,0.893348371188595
Germany,FX.usd,2020,0.877541570440431
Germany,FX.usd,2021,0.845553392731666
Germany,FX.usd,2022,0.950882523746785
Germany,FX.usd,2023,0.924835342532468
Germany,FX.usd,2024,0.923621226708075
Greece,FX.usd,2015,0.901451643908026
Greece,FX.usd,2016,0.904281526915113
Greece,FX.usd,2017,0.887107173889518
Greece,FX.usd,2018,0.847324485146496
Greece,FX.usd,2019,0.893348371188595
Greece,FX.usd,2020,0.877541570440431
Greece,FX.usd,2021,0.845553392731666
Greece,FX.usd,2022,0.950882523746785
Greece,FX.usd,2023,0.924835342532468
Greece,FX.usd,2024,0.923621226708075
Hungary,FX.usd,2015,279.193980574377
Hungary,FX.usd,2016,281.520989632349
Hungary,FX.usd,2017,274.476448600916
Hungary,FX.usd,2018,270.221171466215
Hungary,FX.usd,2019,290.602609417153
Hungary,FX.usd,2020,307.991307947487
Hungary,FX.usd,2021,303.157299203212
Hungary,FX.usd,2022,372.574270421607
Hungary,FX.usd,2023,353.151241185143
Hungary,FX.usd,2024,359.744216701174
Iceland,FX.usd,2015,131.896086478136
Iceland,FX.usd,2016,120.835383650166
Iceland,FX.usd,2017,106.82343857833
Iceland,FX.usd,2018,108.269281322542
Iceland,FX.usd,2019,122.636451471234
Iceland,FX.usd,2020,135.382140504423
Iceland,FX.usd,2021,126.950071365832
Iceland,FX.usd,2022,135.273134293243
Iceland,FX.usd,2023,137.951877470356
Iceland,FX.usd,2024,138.590579710145
Ireland,FX.usd,2015,0.901451643908026
Ireland,FX.usd,2016,0.904281526915113
Ireland,FX.usd,2017,0.887107173889518
Ireland,FX.usd,2018,0.847324485146496
Ireland,FX.usd,2019,0.893348371188595
Ireland,FX.usd,2020,0.877541570440431
Ireland,FX.usd,2021,0.845553392731666
Ireland,FX.usd,2022,0.950882523746785
Ireland,FX.usd,2023,0.924835342532468
Ireland,FX.usd,2024,0.923621226708075
Israel,FX.usd,2015,3.88694631171969
Israel,FX.usd,2016,3.8394716026727
Israel,FX.usd,2017,3.59943377407617
Israel,FX.usd,2018,3.59501559931614
Israel,FX.usd,2019,3.56424596586988
Israel,FX.usd,2020,3.44130483327059
Israel,FX.usd,2021,3.23048380936697
Israel,FX.usd,2022,3.3598211313445
Israel,FX.usd,2023,3.68577786953385
Israel,FX.usd,2024,3.72647170462387
Italy,FX.usd,2015,0.901451643908026
Italy,FX.usd,2016,0.904281526915113
Italy,FX.usd,2017,0.887107173889518
Italy,FX.usd,2018,0.847324485146496
Italy,FX.usd,2019,0.893348371188595
Italy,FX.usd,2020,0.877541570440431
Italy,FX.usd,2021,0.845553392731666
Italy,FX.usd,2022,0.950882523746785
Italy,FX.usd,2023,0.924835342532468
Italy,FX.usd,2024,0.923621226708075
Japan,FX.usd,2015,121.002299352218
Japan,FX.usd,2016,108.802707039338
Japan,FX.usd,2017,112.18305579867
Japan,FX.usd,2018,110.437805555556
Japan,FX.usd,2019,109.045862914863
Japan,FX.usd,2020,106.7624026523
Japan,FX.usd,2021,109.765277471924
Japan,FX.usd,2022,131.428293972332
Japan,FX.usd,2023,140.506108217266
Japan,FX.usd,2024,150.579142512077
Korea,FX.usd,2015,1131.30928845913
Korea,FX.usd,2016,1160.58940178179
Korea,FX.usd,2017,1130.63498682477
Korea,FX.usd,2018,1100.18592391304
Korea,FX.usd,2019,1165.29383430579
Korea,FX.usd,2020,1180.12780593199
Korea,FX.usd,2021,1144.45617832047
Korea,FX.usd,2022,1291.40852484472
Korea,FX.usd,2023,1306.01073546019
Korea,FX.usd,2024,1346.08531746032
Latvia,FX.usd,2015,0.901451643908026
Latvia,FX.usd,2016,0.904281526915113
Latvia,FX.usd,2017,0.887107173889518
Latvia,FX.usd,2018,0.847324485146496
Latvia,FX.usd,2019,0.893348371188595
Latvia,FX.usd,2020,0.877541570440431
Latvia,FX.usd,2021,0.845553392731666
Latvia,FX.usd,2022,0.950882523746785
Latvia,FX.usd,2023,0.924835342532468
Latvia,FX.usd,2024,0.923621226708075
Lithuania,FX.usd,2015,0.901451643908026
Lithuania,FX.usd,2016,0.904281526915113
Lithuania,FX.usd,2017,0.887107173889518
Lithuania,FX.usd,2018,0.847324485146496
Lithuania,FX.usd,2019,0.893348371188595
Lithuania,FX.usd,2020,0.877541570440431
Lithuania,FX.usd,2021,0.845553392731666
Lithuania,FX.usd,2022,0.950882523746785
Lithuania,FX.usd,2023,0.924835342532468
Lithuania,FX.usd,2024,0.923621226708075
Luxembourg,FX.usd,2015,0.901451643908026
Luxembourg,FX.usd,2016,0.904281526915113
Luxembourg,FX.usd,2017,0.887107173889518
Luxembourg,FX.usd,2018,0.847324485146496
Luxembourg,FX.usd,2019,0.893348371188595
Luxembourg,FX.usd,2020,0.877541570440431
Luxembourg,FX.usd,2021,0.845553392731666
Luxembourg,FX.usd,2022,0.950882523746785
Luxembourg,FX.usd,2023,0.924835342532468
Luxembourg,FX.usd,2024,0.923621226708075
Mexico,FX.usd,2015,15.8742021397986
Mexico,FX.usd,2016,18.6273949699636
Mexico,FX.usd,2017,18.8714924516516
Mexico,FX.usd,2018,19.1781627076746
Mexico,FX.usd,2019,19.2167448427442
Mexico,FX.usd,2020,21.400863614201
Mexico,FX.usd,2021,20.2233416966795
Mexico,FX.usd,2022,20.0653671626749
Mexico,FX.usd,2023,17.6934395682759
Mexico,FX.usd,2024,16.5752070220842
Netherlands,FX.usd,2015,0.901451643908026
Netherlands,FX.usd,2016,0.904281526915113
Netherlands,FX.usd,2017,0.887107173889518
Netherlands,FX.usd,2018,0.847324485146496
Netherlands,FX.usd,2019,0.893348371188595
Netherlands,FX.usd,2020,0.877541570440431
Netherlands,FX.usd,2021,0.845553392731666
Netherlands,FX.usd,2022,0.950882523746785
Netherlands,FX.usd,2023,0.924835342532468
Netherlands,FX.usd,2024,0.923621226708075
New Zealand,FX.usd,2015,1.43424500833647
New Zealand,FX.usd,2016,1.43652576283017
New Zealand,FX.usd,2017,1.40740141766265
New Zealand,FX.usd,2018,1.44562224397704
New Zealand,FX.usd,2019,1.51801896777558
New Zealand,FX.usd,2020,1.54124931311563
New Zealand,FX.usd,2021,1.41403551478292
New Zealand,FX.usd,2022,1.57779562278845
New Zealand,FX.usd,2023,1.62882332922392
New Zealand,FX.usd,2024,1.65641470324362
Norway,FX.usd,2015,8.06431832494196
Norway,FX.usd,2016,8.40022578423992
Norway,FX.usd,2017,8.27100913898301
Norway,FX.usd,2018,8.1348241200044
Norway,FX.usd,2019,8.79855526366144
Norway,FX.usd,2020,9.41320581192359
Norway,FX.usd,2021,8.59149748643264
Norway,FX.usd,2022,9.6129151526915
Norway,FX.usd,2023,10.5594852915804
Norway,FX.usd,2024,10.6624595238095
Poland,FX.usd,2015,3.77023783714474
Poland,FX.usd,2016,3.9441079631721
Poland,FX.usd,2017,3.77932822722567
Poland,FX.usd,2018,3.61139989875463
Poland,FX.usd,2019,3.83947584948867
Poland,FX.usd,2020,3.89944807304411
Poland,FX.usd,2021,3.86087240181317
Poland,FX.usd,2022,4.45774675818747
Poland,FX.usd,2023,4.20168672587678
Poland,FX.usd,2024,3.96558059006211
Portugal,FX.usd,2015,0.901451643908026
Portugal,FX.usd,2016,0.904281526915113
Portugal,FX.usd,2017,0.887107173889518
Portugal,FX.usd,2018,0.847324485146496
Portugal,FX.usd,2019,0.893348371188595
Portugal,FX.usd,2020,0.877541570440431
Portugal,FX.usd,2021,0.845553392731666
Portugal,FX.usd,2022,0.950882523746785
Portugal,FX.usd,2023,0.924835342532468
Portugal,FX.usd,2024,0.923621226708075
Slovak Republic,FX.usd,2015,0.901451643908026
Slovak Republic,FX.usd,2016,0.904281526915113
Slovak Republic,FX.usd,2017,0.887107173889518
Slovak Republic,FX.usd,2018,0.847324485146496
Slovak Republic,FX.usd,2019,0.893348371188595
Slovak Republic,FX.usd,2020,0.877541570440431
Slovak Republic,FX.usd,2021,0.845553392731666
Slovak Republic,FX.usd,2022,0.950882523746785
Slovak Republic,FX.usd,2023,0.924835342532468
Slovak Republic,FX.usd,2024,0.923621226708075
Slovenia,FX.usd,2015,0.901451643908026
Slovenia,FX.usd,2016,0.904281526915113
Slovenia,FX.usd,2017,0.887107173889518
Slovenia,FX.usd,2018,0.847324485146496
Slovenia,FX.usd,2019,0.893348371188595
Slovenia,FX.usd,2020,0.877541570440431
Slovenia,FX.usd,2021,0.845553392731666
Slovenia,FX.usd,2022,0.950882523746785
Slovenia,FX.usd,2023,0.924835342532468
Slovenia,FX.usd,2024,0.923621226708075
Spain,FX.usd,2015,0.901451643908026
Spain,FX.usd,2016,0.904281526915113
Spain,FX.usd,2017,0.887107173889518
Spain,FX.usd,2018,0.847324485146496
Spain,FX.usd,2019,0.893348371188595
Spain,FX.usd,2020,0.877541570440431
Spain,FX.usd,2021,0.845553392731666
Spain,FX.usd,2022,0.950882523746785
Spain,FX.usd,2023,0.924835342532468
Spain,FX.usd,2024,0.923621226708075
Sweden,FX.usd,2015,8.42932522327311
Sweden,FX.usd,2016,8.55645321303092
Sweden,FX.usd,2017,8.54703068040656
Sweden,FX.usd,2018,8.69041202169207
Sweden,FX.usd,2019,9.45588466034567
Sweden,FX.usd,2020,9.20972998227617
Sweden,FX.usd,2021,8.57694616843905
Sweden,FX.usd,2022,10.1076997493569
Sweden,FX.usd,2023,10.6031350362319
Sweden,FX.usd,2024,10.5799192201518
Switzerland,FX.usd,2015,0.962342149209487
Switzerland,FX.usd,2016,0.985124702773072
Switzerland,FX.usd,2017,0.984746508093354
Switzerland,FX.usd,2018,0.977904059304224
Switzerland,FX.usd,2019,0.993780631077861
Switzerland,FX.usd,2020,0.938997617949682
Switzerland,FX.usd,2021,0.914026063507748
Switzerland,FX.usd,2022,0.954656859040716
Switzerland,FX.usd,2023,0.898487211791831
Switzerland,FX.usd,2024,0.896113060731539
TUR,FX.usd,2015,2.72296580698287
TUR,FX.usd,2016,3.02245681661334
