Country,Variable,Year,FX.usd
AUS,FX.usd,2015,1.33088028393171
AUS,FX.usd,2016,1.34533734668894
AUS,FX.usd,2017,1.30488323032497
AUS,FX.usd,2018,1.33865493271747
AUS,FX.usd,2019,1.43866931581558
AUS,FX.usd,2020,1.45353177771504
AUS,FX.usd,2021,1.33148433378819
AUS,FX.usd,2022,1.44179687582345
AUS,FX.usd,2023,1.50508191252588
AUS,FX.usd,2024,1.52109894755004
AUT,FX.usd,2015,0.901451643908026
AUT,FX.usd,2016,0.904281526915113
AUT,FX.usd,2017,0.887107173889518
AUT,FX.usd,2018,0.847324485146496
AUT,FX.usd,2019,0.893348371188595
AUT,FX.usd,2020,0.877541570440431
AUT,FX.usd,2021,0.845553392731666
AUT,FX.usd,2022,0.950882523746785
AUT,FX.usd,2023,0.924835342532468
AUT,FX.usd,2024,0.923621226708075
BEL,FX.usd,2015,0.901451643908026
BEL,FX.usd,2016,0.904281526915113
BEL,FX.usd,2017,0.887107173889518
BEL,FX.usd,2018,0.847324485146496
BEL,FX.usd,2019,0.893348371188595
BEL,FX.usd,2020,0.877541570440431
BEL,FX.usd,2021,0.845553392731666
BEL,FX.usd,2022,0.950882523746785
BEL,FX.usd,2023,0.924835342532468
BEL,FX.usd,2024,0.923621226708075
CAN,FX.usd,2015,1.27827373713847
CAN,FX.usd,2016,1.32540915051133
CAN,FX.usd,2017,1.29810045815296
CAN,FX.usd,2018,1.29613299854131
CAN,FX.usd,2019,1.32695352547211
CAN,FX.usd,2020,1.34121039510007
CAN,FX.usd,2021,1.25353774248699
CAN,FX.usd,2022,1.30172768955079
CAN,FX.usd,2023,1.34934191981931
CAN,FX.usd,2024,1.35698184955142
CHL,FX.usd,2015,654.322285899602
CHL,FX.usd,2016,676.540499227524
CHL,FX.usd,2017,648.676822499138
CHL,FX.usd,2018,641.896064286734
CHL,FX.usd,2019,703.30757398292
CHL,FX.usd,2020,791.715210148851
CHL,FX.usd,2021,759.819638446656
CHL,FX.usd,2022,873.253767551602
CHL,FX.usd,2023,840.158912795345
CHL,FX.usd,2024,949.954654779157
COL,FX.usd,2015,2744.50947826087
COL,FX.usd,2016,3053.88271417592
COL,FX.usd,2017,2951.28814463737
COL,FX.usd,2018,2956.89718837835
COL,FX.usd,2019,3281.06534940633
COL,FX.usd,2020,3695.61150303108
COL,FX.usd,2021,3744.31855676721
COL,FX.usd,2022,4258.60941669412
COL,FX.usd,2023,4326.69183678085
COL,FX.usd,2024,3802.94775621118
CZE,FX.usd,2015,24.5929809272853
CZE,FX.usd,2016,24.4405997788444
CZE,FX.usd,2017,23.3854697542192
CZE,FX.usd,2018,21.7298061413828
CZE,FX.usd,2019,22.9311282522429
CZE,FX.usd,2020,23.2124591928603
CZE,FX.usd,2021,21.6822229484284
CZE,FX.usd,2022,23.3505731217454
CZE,FX.usd,2023,22.1969169278185
CZE,FX.usd,2024,23.2660063837129
DNK,FX.usd,2015,6.72540849888637
DNK,FX.usd,2016,6.73078313884184
DNK,FX.usd,2017,6.60179308817993
DNK,FX.usd,2018,6.31353824691009
DNK,FX.usd,2019,6.66923030052073
DNK,FX.usd,2020,6.54200684759081
DNK,FX.usd,2021,6.28813722975093
DNK,FX.usd,2022,7.07553846751679
DNK,FX.usd,2023,6.88917680594766
DNK,FX.usd,2024,6.87702084195999
EST,FX.usd,2015,0.901451643908026
EST,FX.usd,2016,0.904281526915113
EST,FX.usd,2017,0.887107173889518
EST,FX.usd,2018,0.847324485146496
EST,FX.usd,2019,0.893348371188595
EST,FX.usd,2020,0.877541570440431
EST,FX.usd,2021,0.845553392731666
EST,FX.usd,2022,0.950882523746785
EST,FX.usd,2023,0.924835342532468
EST,FX.usd,2024,0.923621226708075
FIN,FX.usd,2015,0.901451643908026
FIN,FX.usd,2016,0.904281526915113
FIN,FX.usd,2017,0.887107173889518
FIN,FX.usd,2018,0.847324485146496
FIN,FX.usd,2019,0.893348371188595
FIN,FX.usd,2020,0.877541570440431
FIN,FX.usd,2021,0.845553392731666
FIN,FX.usd,2022,0.950882523746785
FIN,FX.usd,2023,0.924835342532468
FIN,FX.usd,2024,0.923621226708075
FRA,FX.usd,2015,0.901451643908024
FRA,FX.usd,2016,0.904281526915113
FRA,FX.usd,2017,0.887107173889518
FRA,FX.usd,2018,0.847324485146496
FRA,FX.usd,2019,0.893348371188595
FRA,FX.usd,2020,0.877541570440429
FRA,FX.usd,2021,0.845553392731666
FRA,FX.usd,2022,0.950882523746785
FRA,FX.usd,2023,0.924835342532468
FRA,FX.usd,2024,0.923621226708075
DEU,FX.usd,2015,0.901451643908026
DEU,FX.usd,2016,0.904281526915113
DEU,FX.usd,2017,0.887107173889518
DEU,FX.usd,2018,0.847324485146496
DEU,FX.usd,2019,0.893348371188595
DEU,FX.usd,2020,0.877541570440431
DEU,FX.usd,2021,0.845553392731666
DEU,FX.usd,2022,0.950882523746785
DEU,FX.usd,2023,0.924835342532468
DEU,FX.usd,2024,0.923621226708075
GRC,FX.usd,2015,0.901451643908026
GRC,FX.usd,2016,0.904281526915113
GRC,FX.usd,2017,0.887107173889518
GRC,FX.usd,2018,0.847324485146496
GRC,FX.usd,2019,0.893348371188595
GRC,FX.usd,2020,0.877541570440431
GRC,FX.usd,2021,0.845553392731666
GRC,FX.usd,2022,0.950882523746785
GRC,FX.usd,2023,0.924835342532468
GRC,FX.usd,2024,0.923621226708075
HUN,FX.usd,2015,279.193980574377
HUN,FX.usd,2016,281.520989632349
HUN,FX.usd,2017,274.476448600916
HUN,FX.usd,2018,270.221171466215
HUN,FX.usd,2019,290.602609417153
HUN,FX.usd,2020,307.991307947487
HUN,FX.usd,2021,303.157299203212
HUN,FX.usd,2022,372.574270421607
HUN,FX.usd,2023,353.151241185143
HUN,FX.usd,2024,359.744216701174
ISL,FX.usd,2015,131.896086478136
ISL,FX.usd,2016,120.835383650166
ISL,FX.usd,2017,106.82343857833
ISL,FX.usd,2018,108.269281322542
ISL,FX.usd,2019,122.636451471234
ISL,FX.usd,2020,135.382140504423
ISL,FX.usd,2021,126.950071365832
ISL,FX.usd,2022,135.273134293243
ISL,FX.usd,2023,137.951877470356
ISL,FX.usd,2024,138.590579710145
IRL,FX.usd,2015,0.901451643908026
IRL,FX.usd,2016,0.904281526915113
IRL,FX.usd,2017,0.887107173889518
IRL,FX.usd,2018,0.847324485146496
IRL,FX.usd,2019,0.893348371188595
IRL,FX.usd,2020,0.877541570440431
IRL,FX.usd,2021,0.845553392731666
IRL,FX.usd,2022,0.950882523746785
IRL,FX.usd,2023,0.924835342532468
IRL,FX.usd,2024,0.923621226708075
ISR,FX.usd,2015,3.88694631171969
ISR,FX.usd,2016,3.8394716026727
ISR,FX.usd,2017,3.59943377407617
