country_id;country;period;esi;gdp_growth;real_gdppc;stringency;fatalities;icu;assistance_sme;assistance_sme_diff;transform;transform_diff;other;spending_pandemic;spending_pandemic_diff;transfers;transfers_diff;unemployment_transfer;unemployment_transfer_diff;universal_help;universal_help_diff;total_spending;total_spending_diff;employment;employment_growth;confidence_average;confidence_average_diff;cpi;cpi_diff;;;;;;;;;;;;;;;;;
1;Belgium;2019Q1;100.9333333;-0.23914;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10.533;;107.86;;;;;;;;;;;;;;;;;;
1;Belgium;2019Q2;98.26666667;0.44573;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8.933;1.600;108.09;0.23;;;;;;;;;;;;;;;;;
1;Belgium;2019Q3;95.8;0.68469;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-11.933;-3.000;107.7;-0.39;;;;;;;;;;;;;;;;;
1;Belgium;2019Q4;96.16666667;0.65436;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-11.767;0.167;108.38;0.68;;;;;;;;;;;;;;;;;
1;Belgium;2020Q1;98.26666667;-3.70143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-10.800;0.967;108.32;-0.06;;;;;;;;;;;;;;;;;
1;Belgium;2020Q2;62.7;-11.63846;7772.07999;71.51652;8.45564;44.17322;13.01968794;13.01968794;0.552624113;0.552624113;1.270921986;0.71;0.71;0.004312057;0.004312057;0.417588652;0.417588652;2.269503546;2.269503546;18.2446383;18.2446383;0.69600;-0.01136;-15.267;-4.467;108.33;0.01;;;;;;;;;;;;;;;;;
1;Belgium;2020Q3;87.06666667;11.88285;8695.62481;54.05609;0.25149;5.53646;13.01968794;0;0.552624113;0;1.270921986;1.202836879;0.492836879;0.004312057;0.004312057;0.864680851;0.447092199;3.2;0.930496454;20.11506383;1.870425532;0.70200;0.00862;-13.233;2.033;108.21;-0.12;;;;;;;;;;;;;;;;;
1;Belgium;2020Q4;96.06666667;-0.13863;8683.57015;58.19359;8.82097;67.01518;13.23438298;0.214695035;0.552624113;0;1.270921986;1.838297872;0.635460993;0.004312057;0.004312057;1.18422695;0.319546099;3.2;0;21.28476596;1.169702128;0.69900;-0.00427;-9.300;3.933;108.76;0.55;;;;;;;;;;;;;;;;;
1;Belgium;2021Q1;103.8;0.86218;8758.43783;62.35859;3.41525;35.70073;13.28748936;0.053106383;0.552624113;0;1.270921986;1.906382979;0.068085106;0.004312057;0.004312057;1.379404255;0.195177305;3.2;0;21.60113475;0.316368794;0.69000;-0.01288;-5.500;3.800;110.07;1.31;;;;;;;;;;;;;;;;;
1;Belgium;2021Q2;112.9666667;1.72854;8909.83110;57.40109;2.06241;50.92258;13.65979416;0.372304794;0.552624113;0;1.270921986;2.087943262;0.181560284;0.004312057;0.004312057;1.514666667;0.135262411;3.2;0;22.29026224;0.689127489;0.70500;0.02174;0.067;5.567;111.11;1.04;;;;;;;;;;;;;;;;;
2;Bulgaria;2019Q1;101.5;1.96521;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-26.000;;103.95;;;;;;;;;;;;;;;;;;
2;Bulgaria;2019Q2;101;1.10977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-25.500;0.500;104.73;0.78;;;;;;;;;;;;;;;;;
2;Bulgaria;2019Q3;103.5333333;0.64148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-25.300;0.200;105.07;0.34;;;;;;;;;;;;;;;;;
2;Bulgaria;2019Q4;104.1333333;0.75836;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-22.133;3.167;106.41;1.34;;;;;;;;;;;;;;;;;
2;Bulgaria;2020Q1;99.7;-2.98874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-22.333;-0.200;106.46;0.05;;;;;;;;;;;;;;;;;
2;Bulgaria;2020Q2;65.23333333;-7.04696;1505.85620;57.45826;0.35304;4.19333;2.1325;2.1325;0.348333333;0.348333333;0.583333333;0.418666667;0.418666667;0;0;2.5;2.5;0;0;5.982833333;5.982833333;0.72500;-0.02027;-30.467;-8.133;105.69;-0.77;;;;;;;;;;;;;;;;;
2;Bulgaria;2020Q3;81.26666667;7.54162;1619.42214;37.91370;0.93777;6.55652;2.243916667;0.111416667;0.348333333;0;0.685;0.747166667;0.3285;0.265;0.265;2.513333333;0.013333333;0;0;6.80275;0.819916667;0.73000;0.00690;-30.667;-0.200;105.7;0.01;;;;;;;;;;;;;;;;;
2;Bulgaria;2020Q4;84.46666667;-0.20441;1616.11181;46.57891;10.56293;44.36939;2.484;0.240083333;0.348333333;0;0;1.125416667;0.37825;1.41;1.41;2.35;-0.163333333;0.583333333;0.583333333;8.301083333;1.498333333;0.73100;0.00137;-30.867;-0.200;106.43;0.73;;;;;;;;;;;;;;;;;
2;Bulgaria;2021Q1;88.33333333;0.45033;1623.38968;54.32489;9.12870;60.59471;2.486666667;0.002666667;0.431666667;0.083333333;0.148333333;1.324166667;0.19875;1.370833333;1.370833333;2.3975;0.0475;0.583333333;0;8.7425;0.441416667;0.73000;-0.00137;-29.300;1.567;107.33;0.9;;;;;;;;;;;;;;;;;
2;Bulgaria;2021Q2;96.4;-0.25817;1619.19863;53.34087;7.86939;73.40035;2.505;0.018333333;0.431666667;0;0.23;1.443166667;0.119;1.635;1.635;2.495;0.0975;0.583333333;0;9.323166667;0.580666667;0.73300;0.00411;-20.400;8.900;108.2;0.87;;;;;;;;;;;;;;;;;
3;Czechia;2019Q1;107;0.51367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.933;;107;;;;;;;;;;;;;;;;;;
3;Czechia;2019Q2;103.0333333;0.78593;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.467;-2.467;108;1;;;;;;;;;;;;;;;;;
3;Czechia;2019Q3;102.7666667;0.54855;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.633;1.167;108;0;;;;;;;;;;;;;;;;;
3;Czechia;2019Q4;102.4333333;0.62927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.167;-1.467;108.8;0.8;;;;;;;;;;;;;;;;;
3;Czechia;2020Q1;99;-3.77148;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.733;-1.900;110.8;2;;;;;;;;;;;;;;;;;
3;Czechia;2020Q2;64.36666667;-8.90986;4092.54546;52.10315;0.32218;3.77130;16.1161915;16.1161915;0;0;0.785368478;0.824816209;0.824816209;0;0;0.982607136;0.982607136;0.190066344;0.190066344;18.89904967;18.89904967;0.79700;-0.00499;-11.367;-9.633;111.7;0.9;;;;;;;;;;;;;;;;;
3;Czechia;2020Q3;89.5;6.75303;4368.91619;36.74457;0.31002;4.30851;16.37798099;0.261789493;0;0;0.788954635;1.018468711;0.193652501;0;0;0.982607136;0;0.584543661;0.394477318;19.75255514;0.853505469;0.79600;-0.00125;-8.000;3.367;111.6;-0.1;;;;;;;;;;;;;;;;;
3;Czechia;2020Q4;86.9;0.73739;4401.13193;63.68815;10.93897;66.90662;16.84418146;0.466200466;0;0;0.701093778;1.194190425;0.175721714;0;0;0.944952483;-0.037654653;0.64192218;0.057378519;20.32634033;0.573785189;0.79600;0.00000;-15.900;-7.900;111.4;-0.2;;;;;;;;;;;;;;;;;
