"Country","mu_i_y","mu_i_d"
"AUS",-0.604660225379059,-0.776419149447033
"AUT",-2.41186780716098,-0.281039027826994
"BEL",-0.93730690882718,-0.359118041652943
"CAN",-1.98223119134296,-0.27883250519746
"CHE",-0.0418180287168487,-0.544239603297421
"CHL",-0.477088778621302,-0.870980723146674
"COL",0.152671700438197,0.217058214293709
"CRI",-1.4938177220954,0.122880946907192
"CZE",-4.30418146154696,-1.22507745158785
"DEU",-2.41727916971196,-1.05945814582391
"DNK",-0.760096774066256,-1.34291143384098
"ESP",-5.62492972367718,-1.37790008258925
"EST",-2.37402197539465,-0.579477621239362
"FIN",-2.35119182391539,-0.525933961396226
"FRA",-2.79891428139474,-0.609645810639466
"GBR",-4.05735713063399,-1.21245943840228
"GRC",-1.52751941781976,-0.812294401205094
"HUN",-3.16076834082655,-0.737609183206237
"IRL",5.38694807691628,1.4615251132995
"ISL",-5.69012708092332,-1.71515494771975
"ISR",-0.159587896277867,0.240909280223413
"ITA",-1.33186141303887,-0.530413345465851
"JPN",-1.74410442268921,0.105650170782551
"KOR",-0.860610026396244,-0.225529160763917
"LTU",-0.738166872081215,-0.65224072409105
"LUX",0.310866748391052,-0.129163191916677
"LVA",-1.52762822924761,-0.063676980233675
"MEX",-3.82566082514355,-1.90527833201953
"NLD",-0.691714384750401,-0.367820190639758
"NOR",-0.356702446924987,-0.711898835050891
"NZL",-2.10310318992608,0.569150800763014
"POL",-1.97426840136485,-0.687269333746209
"PRT",-4.0510716738015,-1.52162348309447
"SVK",-1.44762494435262,-0.0484789281899868
"SVN",-2.77719546673393,-0.242339146989516
"SWE",-0.593354635949277,-0.520830011803933
"TUR",2.51782451956251,0.176956566647957
"USA",-0.494207202534037,0.595435352745417
