"Country","mu_i"
"MEX",-1.62977921786461
"PRT",-1.43192698179884
"DNK",-1.25389752372547
"ESP",-1.22715488444039
"CZE",-1.06193277082671
"ISL",-1.03349358992175
"DEU",-1.0286572120737
"CHL",-0.978123251712765
"GBR",-0.897360745091383
"FRA",-0.84085104666017
"AUS",-0.674578233944437
"HUN",-0.670413306105553
"ITA",-0.647907346792795
"POL",-0.634824602324328
"GRC",-0.609634848217742
"EST",-0.582965493005543
"FIN",-0.534750639578357
"LTU",-0.50804382685816
"CHE",-0.484425765699563
"BEL",-0.464880277573469
"NOR",-0.440190706297795
"NLD",-0.422212331286238
"SVN",-0.402595836318291
"SWE",-0.377952533422334
"KOR",-0.299094552215948
"AUT",-0.277653413285533
"CAN",-0.214255160354439
"JPN",-0.202172256492407
"SVK",-0.0641126714832423
"LVA",-0.0212345161914696
"COL",0.146243065168186
"ISR",0.23306727460951
"LUX",0.293665461420979
"TUR",0.313036372678041
"NZL",0.345418428154178
"CRI",0.404759923025738
"USA",0.668076891475696
"IRL",0.944440022795617
