"Country","mu_i"
"ESP",-3.90297475881352
"ISL",-3.84591241449299
"CZE",-2.78143277661569
"PRT",-2.48154658629621
"GBR",-2.43540109378812
"MEX",-2.41630235288488
"HUN",-1.75100373257981
"SVN",-1.53560219372885
"AUT",-1.34815306202105
"FRA",-1.31289747961559
"DEU",-1.26239939989531
"EST",-1.21786808584129
"FIN",-1.17865394507386
"JPN",-1.13283198684783
"CAN",-0.995129912759314
"NZL",-0.962579131636358
"POL",-0.852326169392939
"LVA",-0.683402269802962
"GRC",-0.56434063086601
"CRI",-0.551567282974959
"SVK",-0.448127681477107
"ITA",-0.0380242746606539
"KOR",0.017421678826421
"NLD",0.142398982378232
"AUS",0.152999523550541
"BEL",0.178563256981454
"CHL",0.234948651852161
"LTU",0.243329093755071
"SWE",0.328506454571095
"DNK",0.337632130749907
"USA",0.369601078206135
"NOR",0.499277988068007
"ISR",0.560210725325834
"CHE",0.764770657624334
"COL",0.92917735792419
"LUX",0.968488434804245
"TUR",2.8973948504878
"IRL",5.16924557247448
